step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,2.5,500.0,1.0,-0.003757401223992929,0.08645188226364553,1.6079254001379013,0.0012969635426998138,0.00732421875,0.21703004837036133,2359.1203330806666,1.0,,
1024,2.5,500.0,1.0,-0.00458883517421782,0.027519628987647593,1.6017380058765411,0.0013568230788223445,0.001953125,0.37116217613220215,2758.9018112537074,2.0,,
1536,1.5,500.0,1.0,-0.003379163856152445,0.016312255698721856,1.5988476499915123,0.004235917003825307,0.013671875,0.5216939449310303,2944.2549888192866,3.0,,
2048,0.0,500.0,1.0,-0.0036823953269049525,0.026570258662104607,1.5975423827767372,0.002587908413261175,0.00732421875,0.6759741306304932,3029.7017403458826,4.0,,
2560,0.0,500.0,1.0,-0.004604690475389361,0.011004780448274687,1.592363029718399,0.0006783392746001482,0.00341796875,0.8969030380249023,2854.2661708867154,5.0,,
3072,0.0,500.0,1.0,-0.002652796363690868,0.01721463626017794,1.5891970172524452,-0.0019157268106937408,0.02734375,1.0509979724884033,2922.936181053286,6.0,,
3584,0.0,500.0,1.0,-0.00968418235424906,0.01831321671488695,1.592194713652134,0.006176882772706449,0.02783203125,1.203484058380127,2978.020336076587,7.0,,
4096,0.0,500.0,1.0,-0.003957433451432735,0.00891219983168412,1.5700231418013573,0.0018808977911248803,0.0166015625,1.37270188331604,2983.896248546903,8.0,,
4608,0.0,500.0,1.0,-0.004229057230986655,0.004682601545937359,1.5801993906497955,0.0031276264344342053,0.02734375,1.5342950820922852,3003.3336180131464,9.0,,
5120,0.0,500.0,1.0,-0.0053160006063990295,0.009343689016532153,1.5046968311071396,0.006593136378796771,0.0283203125,1.6978559494018555,3015.5679589918955,10.0,,
5632,1.5,500.0,1.0,-0.006661441060714424,0.005862573903868906,1.5235728695988655,0.001609119208296761,0.046875,1.8595020771026611,3028.7677918463887,11.0,,
6144,0.0,500.0,1.0,-0.004778727074153721,0.0029117233934812248,1.5151760429143906,0.0018208173860330135,0.025390625,2.010546922683716,3055.884909066869,12.0,,
6656,0.0,500.0,1.0,-0.012628418568056077,0.004009446420241147,1.4609975442290306,0.009583282808307558,0.12548828125,2.1679799556732178,3070.139086195162,13.0,,
7168,0.5,500.0,1.0,-0.0025994355673901737,0.0023533767962362617,1.3625772669911385,0.0016553523018956184,0.0234375,2.3225247859954834,3086.296449115243,14.0,,
7680,0.0,500.0,1.0,-0.004996973206289113,0.0033430525072617456,1.391549937427044,0.0032020066573750228,0.04052734375,2.499617099761963,3072.4705798865602,15.0,,
8192,0.0,500.0,1.0,-0.004768798069562763,0.01168716506799683,1.4817671850323677,0.005888786457944661,0.01220703125,2.656348943710327,3083.932184209806,16.0,,
8704,3.0,500.0,1.0,-0.0051216313149780035,0.006807068639318459,1.4559900611639023,0.006121504149632528,0.0205078125,2.809720039367676,3097.817532724301,17.0,,
9216,0.0,500.0,1.0,-0.002541742753237486,0.0025879812747007236,1.436666689813137,0.008445690385997295,0.02197265625,2.9664812088012695,3106.7110665177984,18.0,,
9728,1.5,500.0,1.0,-0.010504771838895977,0.012881623057182878,1.4567582979798317,0.011688742553815246,0.15234375,3.1239731311798096,3113.9832487375115,19.0,,
10240,1.0,500.0,1.0,-0.0039522850420325994,0.006649815870332532,1.5411963984370232,0.011663095094263554,0.02978515625,3.2845098972320557,3117.6645284672522,20.0,,
10752,1.0,500.0,1.0,-0.004019507090561092,0.002234193241747562,1.5276448801159859,0.0015295943594537675,0.03466796875,3.444257974624634,3121.7173856356644,21.0,,
11264,0.0,500.0,1.0,-0.007590233639348298,0.0021104332481627353,1.5196962282061577,-0.003946504613850266,0.05419921875,3.603945016860962,3125.463886741244,22.0,,
11776,0.0,500.0,1.0,-0.0039031378692016006,0.005804254797112662,1.509489931166172,-0.0014444197877310216,0.0205078125,3.7620038986206055,3130.246623167468,23.0,,
12288,1.0,500.0,1.0,-0.006721525220200419,0.002132475892722141,1.472983404994011,-0.0002648404333740473,0.0810546875,3.9212820529937744,3133.668997520467,24.0,,
12800,1.5,500.0,1.0,-0.013301102793775499,0.010026125586591661,1.452688306570053,0.0041792302508838475,0.216796875,4.081411123275757,3136.170215003155,25.0,0.0,500.0
13312,0.0,500.0,1.0,-0.011183712747879326,0.0020736650039907545,1.3636181205511093,0.015935823816107586,0.169921875,8.034571886062622,1656.8399895820219,26.0,,
13824,0.0,500.0,1.0,-0.004589358228258789,0.0011490511751617305,1.3531881496310234,0.005086061544716358,0.0439453125,8.196913003921509,1686.4885589717032,27.0,,
14336,1.5,500.0,1.0,-0.011068703257478774,0.013101327465847135,1.3311061039566994,-0.004918165534036234,0.11572265625,8.360594987869263,1714.710498571059,28.0,,
14848,0.5,500.0,1.0,-0.01159563532564789,0.002509492580429651,1.4741076081991196,0.00706686673220247,0.1025390625,8.522479057312012,1742.2160735333102,29.0,,
15360,0.0,500.0,1.0,-0.010679896804504097,0.0013567223868449219,1.4423724114894867,0.01327498719911091,0.13427734375,8.709984064102173,1763.4934676063972,30.0,,
15872,0.0,500.0,1.0,-0.004281295230612159,0.0006713467719237087,1.3953241035342216,0.0033752070157788694,0.03759765625,8.868147850036621,1789.7762045018742,31.0,,
16384,7.0,500.0,1.0,-0.0038760710740461946,0.09488275134935975,1.339104562997818,0.0026321906480006874,0.04931640625,9.065303087234497,1807.3306366415354,32.0,,
16896,2.5,500.0,1.0,-0.009027685038745403,0.005267883854685351,1.4302134066820145,0.007838019751943648,0.12158203125,9.270196914672852,1822.6150054328448,33.0,,
17408,1.5,500.0,1.0,-0.002266444149427116,0.005253621828160249,1.2505747824907303,0.001056792913004756,0.0009765625,9.432860136032104,1845.4635973562317,34.0,,
17920,0.0,500.0,1.0,-0.0054628248908557,0.0012973272605449893,1.323761723935604,0.004579823493259028,0.03369140625,9.623345136642456,1862.1383464432422,35.0,,
18432,0.0,500.0,1.0,-0.002873178047593683,0.0017706659891700838,1.286871112883091,0.003982474445365369,0.015625,9.799751043319702,1880.8641075188061,36.0,,
18944,0.0,500.0,1.0,-0.0054439170635305345,0.0014468303488683887,1.1430684998631477,0.006125080399215221,0.05078125,10.105139017105103,1874.6896967902412,37.0,,
19456,0.0,500.0,1.0,-0.0040114979492500424,0.0011897327094629873,1.2450110763311386,0.0030030421330593526,0.04150390625,10.311697006225586,1886.789341100076,38.0,,
19968,1.0,500.0,1.0,-0.004976365016773343,0.0043548070098040625,1.0205366164445877,0.008261068840511143,0.10791015625,10.514056921005249,1899.1717611978515,39.0,,
20480,0.0,500.0,1.0,-0.006750892265699804,0.008360608771909028,0.9438876807689667,0.013935214723460376,0.1318359375,10.746505975723267,1905.735691792759,40.0,,
20992,2.0,500.0,1.0,-0.004089575377292931,0.0016899283873499371,1.0736144334077835,0.020037318638060242,0.1005859375,10.962494850158691,1914.8925757256911,41.0,,
