step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.010928459698334336,0.04807059990707785,1.6059517711400986,0.0008792267180979252,0.0986328125,0.2169327735900879,2360.178185742767,1.0,,
1024,0.5,500.0,1.0,-0.008103198022581637,0.013250124204205349,1.6071910485625267,0.0043544681975618005,0.02685546875,0.3819279670715332,2681.1338479651317,2.0,,
1536,0.0,500.0,1.0,-0.0047720217844471335,0.007840626538381912,1.606252744793892,0.001398443360812962,0.00634765625,0.5382108688354492,2853.9000026579015,3.0,,
2048,0.0,500.0,1.0,-0.0035356783773750067,0.005999099259497598,1.6041474118828773,0.001919646980240941,0.0,0.695828914642334,2943.2522232174,4.0,,
2560,1.5,500.0,1.0,-0.004091075621545315,0.012835602246923372,1.607855185866356,0.002856161445379257,0.00390625,0.9141628742218018,2800.376248247062,5.0,,
3072,1.0,500.0,1.0,-0.003234445466659963,0.00711054092971608,1.6072074323892593,0.0008086323505267501,0.0,1.0681579113006592,2875.979260650077,6.0,,
3584,1.0,500.0,1.0,-0.005320653319358826,0.014838714676443487,1.6035559847950935,0.0028877868317067623,0.02197265625,1.2211310863494873,2934.9838359403293,7.0,,
4096,2.0,500.0,1.0,-0.004669946152716875,0.006594457838218659,1.5949909165501595,0.003203606465831399,0.0166015625,1.3967108726501465,2932.6040773407667,8.0,,
4608,0.0,500.0,1.0,-0.004793645115569234,0.002630587106978055,1.59787467867136,-0.0031015811255201697,0.0283203125,1.562251091003418,2949.58987485189,9.0,,
5120,0.0,500.0,1.0,-0.007367397309280932,0.013215661834692582,1.5830809324979782,0.005876977927982807,0.03564453125,1.7212369441986084,2974.6049881492772,10.0,,
5632,3.0,500.0,1.0,-0.0054865971906110644,0.0017006058697006665,1.545417234301567,0.00546082784421742,0.03271484375,1.8899457454681396,2979.9797234946304,11.0,,
6144,0.0,500.0,1.0,-0.008516808855347335,0.039235113305039704,1.5511630550026894,0.0010570265585556626,0.01904296875,2.048888921737671,2998.6984334852323,12.0,,
6656,3.0,500.0,1.0,-0.003171779797412455,0.003981454647146165,1.5446514561772346,0.004295360762625933,0.00732421875,2.2077748775482178,3014.8001355064034,13.0,,
7168,1.5,500.0,1.0,-0.007863855338655412,0.008426543034147471,1.4896687492728233,0.009123626805376261,0.11181640625,2.3658859729766846,3029.731813736333,14.0,,
7680,2.5,500.0,1.0,-0.00315206527011469,0.03291548806009814,1.4641398340463638,0.004658397869206965,0.0703125,2.5438830852508545,3019.006669185297,15.0,,
8192,0.5,500.0,1.0,-0.003328032558783889,0.0023795752276782878,1.4927216991782188,0.0007835283176973462,0.00830078125,2.7014517784118652,3032.443542196385,16.0,,
8704,3.5,500.0,1.0,-0.006742742843925953,0.023570851364638656,1.4436049833893776,0.011893460701685399,0.099609375,2.8576998710632324,3045.8062052407204,17.0,,
9216,0.0,500.0,1.0,-0.005409199220594019,0.020018212380819023,1.5102310553193092,-0.0012934011756442487,0.087890625,3.0156948566436768,3056.0121093474836,18.0,,
9728,3.5,500.0,1.0,-0.004239312838762999,0.01709228422259912,1.4663535505533218,3.19615937769413e-05,0.04638671875,3.1843416690826416,3054.948561095356,19.0,,
10240,2.5,500.0,1.0,-0.00529803684912622,0.009285089210607111,1.4951667934656143,0.004734571615699679,0.01806640625,3.3422508239746094,3063.8035681064107,20.0,,
10752,0.0,500.0,1.0,-0.005999965826049447,0.0026402522198623046,1.4632048159837723,0.0012446424225345254,0.02734375,3.506382703781128,3066.4080074332783,21.0,,
11264,0.0,500.0,1.0,-0.010067521769087762,0.0020126862582401372,1.4946106225252151,0.0036422423436306417,0.13330078125,3.664980888366699,3073.413025359542,22.0,,
11776,0.0,500.0,1.0,-0.003632238134741783,0.006071853975299746,1.527867168188095,0.002046845154836774,0.00048828125,3.820934772491455,3081.968340517212,23.0,,
