step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.011397971655242145,0.057997857918962836,3.6850836277008057,0.005400527734309435,0.08984375,0.16930413246154785,3024.1435489844575,1.0,,
1024,1.5,500.0,1.0,-0.005307057406753302,0.031999709201045334,3.680817186832428,-0.0020921698305755854,0.01513671875,0.3332982063293457,3072.3237645873896,2.0,,
1536,2.5,500.0,1.0,-0.010667153634130955,0.01743092993274331,3.674910932779312,0.00282860454171896,0.03125,0.4887690544128418,3142.5884804536095,3.0,,
2048,1.0,500.0,1.0,-0.014295796514488757,0.01338979386491701,3.6600787937641144,0.005937161622568965,0.11328125,0.6424350738525391,3187.870780028561,4.0,,
2560,1.0,500.0,1.0,-0.008925227797590196,0.013027359149418771,3.6452161073684692,0.0069691159296780825,0.05078125,0.8482551574707031,3017.9598408022844,5.0,,
3072,0.0,500.0,1.0,-0.014148593065328896,0.007456024701241404,3.6257621943950653,0.006067025475203991,0.08154296875,1.0094892978668213,3043.1229003532035,6.0,,
3584,0.5,500.0,1.0,-0.007411457598209381,0.004116377211175859,3.6198158860206604,0.007865400286391377,0.07373046875,1.1946732997894287,2999.98334325519,7.0,,
4096,0.0,500.0,1.0,-0.01249058055691421,0.0036235439765732735,3.626884549856186,0.007813295116648078,0.1005859375,1.3540799617767334,3024.9321425785683,8.0,,
4608,0.5,500.0,1.0,-0.007130896381568164,0.0019837865329463966,3.643119588494301,0.0010962286032736301,0.00927734375,1.5134472846984863,3044.7046597450667,9.0,,
5120,0.0,500.0,1.0,-0.014912943297531456,0.004857878462644294,3.637989968061447,0.003502094652503729,0.10302734375,1.6742231845855713,3058.1346902488267,10.0,,
5632,1.0,500.0,1.0,-0.011006005632225424,0.0024032198707573116,3.6563959568738937,0.0049133007414639,0.02880859375,1.8303182125091553,3077.060568762618,11.0,,
