step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.011190608842298388,0.04066729370970279,3.6851517409086227,0.0024649924598634243,0.1064453125,0.21515583992004395,2379.6704760152875,1.0,,
1024,1.0,500.0,1.0,-0.011783189489506185,0.009943570126779377,3.678701400756836,0.007585211889818311,0.0537109375,0.4175407886505127,2452.4550123822796,2.0,,
1536,0.5,500.0,1.0,-0.0073486980982124805,0.007325350044993684,3.674350455403328,0.002762945368885994,0.0126953125,0.598315954208374,2567.205485991539,3.0,,
2048,0.5,500.0,1.0,-0.008833402185700834,0.00676423977711238,3.678669959306717,0.004503206349909306,0.02783203125,0.7761631011962891,2638.620667284295,4.0,,
2560,0.0,500.0,1.0,-0.00818813347723335,0.005192925775190815,3.6756924092769623,0.007555188611149788,0.0322265625,1.011380910873413,2531.1927212361793,5.0,,
3072,0.0,500.0,1.0,-0.00955561432056129,0.0031391427473863587,3.6646376252174377,0.0021021119318902493,0.06591796875,1.1922879219055176,2576.5588525717194,6.0,,
3584,0.0,500.0,1.0,-0.012711490388028324,0.0032859671700862236,3.6628197729587555,0.0037293219938874245,0.0556640625,1.374526023864746,2607.444266440944,7.0,,
4096,0.0,500.0,1.0,-0.009151063743047416,0.0031328466357081197,3.646106004714966,0.0038147438317537308,0.02294921875,1.551767110824585,2639.571345099233,8.0,,
4608,0.0,500.0,1.0,-0.006516495603136718,0.0024839360849000514,3.6296563893556595,0.007362250937148929,0.02490234375,1.7403697967529297,2647.7131518814626,9.0,,
5120,0.5,500.0,1.0,-0.009558235120493919,0.00749729061499238,3.6006085872650146,0.004920759936794639,0.0576171875,1.937574863433838,2642.478541926456,10.0,,
5632,1.5,500.0,1.0,-0.016028969548642635,0.0024089012877084315,3.5824941843748093,-0.0026340920012444258,0.09716796875,2.1287081241607666,2645.736132669851,11.0,,
6144,0.0,500.0,1.0,-0.012469607405364513,0.009363841178128496,3.5961813628673553,0.0067636913154274225,0.08544921875,2.310753107070923,2658.8734128277533,12.0,,
6656,1.5,500.0,1.0,-0.011685967678204179,0.007180119981057942,3.6037006825208664,0.005583863472566009,0.05615234375,2.492825746536255,2670.062281428381,13.0,,
7168,1.5,500.0,1.0,-0.011014137067832053,0.0032259268045891076,3.5981437265872955,0.0004861284978687763,0.06298828125,2.692873954772949,2661.8401456537435,14.0,,
7680,0.5,500.0,1.0,-0.013437877991236746,0.00171680190396728,3.585049659013748,-0.0003276404459029436,0.087890625,2.8861939907073975,2660.9437982086765,15.0,,
8192,0.0,500.0,1.0,-0.0167704222840257,0.001409576307196403,3.6158824265003204,0.006234741536900401,0.13330078125,3.060012102127075,2677.1135951735546,16.0,,
8704,0.0,500.0,1.0,-0.012164847110398114,0.0008103518812276889,3.5619920045137405,0.009210017044097185,0.07763671875,3.2500438690185547,2678.117696493871,17.0,,
9216,0.0,500.0,1.0,-0.009610166889615357,0.0009268161811633036,3.612100914120674,0.008497374365106225,0.0478515625,3.433133125305176,2684.428381780499,18.0,,
9728,0.0,500.0,1.0,-0.008971314411610365,0.0006443341480917297,3.579127848148346,0.0014343250077217817,0.06640625,3.620244026184082,2687.111678008567,19.0,,
10240,1.0,500.0,1.0,-0.009693907340988517,0.005295861526974477,3.566814348101616,-0.001362452283501625,0.05419921875,3.7993648052215576,2695.1873602468822,20.0,,
10752,0.0,500.0,1.0,-0.016139188082888722,0.0009286128843086772,3.6008541882038116,0.01925506815314293,0.12890625,3.9851059913635254,2698.0461807795346,21.0,,
11264,0.0,500.0,1.0,-0.009316977579146624,0.005812685238197446,3.576553776860237,0.008714277762919664,0.06494140625,4.205552816390991,2678.36369955906,22.0,,
11776,1.0,500.0,1.0,-0.007063125493004918,0.0030140913877403364,3.5697782039642334,0.003026489866897464,0.02197265625,4.420289039611816,2664.079179997277,23.0,,
12288,1.0,500.0,1.0,-0.011453610961325467,0.00879003616864793,3.517489179968834,0.0002026776783168316,0.0400390625,4.638263940811157,2649.267087170341,24.0,,
12800,3.5,500.0,1.0,-0.00421936484053731,0.007024659003945999,3.473330169916153,0.005468795308843255,0.03369140625,4.833409070968628,2648.2343646189347,25.0,12.5,500.0
