step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.009686851233709604,0.029559892369434237,1.6055076271295547,0.002822338370606303,0.07080078125,0.23929381370544434,2139.6290696851856,1.0,,
1024,0.0,500.0,1.0,-0.0061655662138946354,0.01173912559170276,1.5972472876310349,0.006368552451021969,0.00634765625,0.43631982803344727,2346.902281785605,2.0,,
1536,2.0,500.0,1.0,-0.006563839269801974,0.016695161582902074,1.5994721502065659,0.004758430121000856,0.03125,0.6208019256591797,2474.2191293447504,3.0,,
2048,1.5,500.0,1.0,-0.007190127857029438,0.009085400786716491,1.6049832999706268,0.007175146718509495,0.05615234375,0.8123779296875,2520.994139744553,4.0,,
2560,4.0,500.0,1.0,-0.0025933404685929418,0.02002787438686937,1.5986046716570854,-0.00010882300557568669,0.0,1.0611088275909424,2412.570636898782,5.0,,
3072,3.5,500.0,1.0,-0.004038606537505984,0.01831385080004111,1.5941733196377754,0.00019799091387540102,0.005859375,1.2332611083984375,2490.9566831223783,6.0,,
3584,0.0,500.0,1.0,-0.005042390141170472,0.022416929714381695,1.5913606211543083,0.007753502461127937,0.01513671875,1.3952579498291016,2568.700648105239,7.0,,
4096,4.5,500.0,1.0,-0.005723619717173278,0.02090656355721876,1.5752414166927338,0.005136463150847703,0.04296875,1.5489630699157715,2644.3496811210157,8.0,,
4608,0.0,500.0,1.0,-0.005370063241571188,0.00768108174088411,1.5819866508245468,0.00335891789291054,0.0029296875,1.713899850845337,2688.605170090436,9.0,,
5120,1.0,500.0,1.0,-0.00816493429010734,0.008237334142904729,1.5693437308073044,0.002107796259224415,0.068359375,1.8733580112457275,2733.0600820904233,10.0,,
5632,2.0,500.0,1.0,-0.0036316035548225045,0.02129217889159918,1.5644083842635155,-0.001515831972938031,0.00341796875,2.0446619987487793,2754.4894967708474,11.0,,
6144,3.0,500.0,1.0,-0.0016135074547491968,0.012003093579551205,1.5591801851987839,0.0009600198827683926,0.005859375,2.205488920211792,2785.776860493135,12.0,,
