step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.49775,5.0,0.05120205879211426,9765.232332357036,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,9.0,0.10607695579528809,9427.118194547771,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.49325,13.0,0.15876507759094238,9447.921562856187,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,15.0,0.21368813514709473,9359.434011735264,4.0,,,
2500,1.0,500.0,1.0,1.0,500.0,1.0,0.48875,19.0,0.2708108425140381,9231.535845432063,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,20.0,0.32494497299194336,9232.332392704477,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.48425,21.0,0.38045382499694824,9199.539523694039,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,21.0,0.4344508647918701,9207.025061202852,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.47975,22.0,0.4884910583496094,9212.041700831674,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,23.0,0.5425889492034912,9215.07894206082,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.47525,26.0,0.5970618724822998,9211.775619055377,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,26.0,0.6507570743560791,9220.030386818262,12.0,,,
6500,1.0,500.0,1.0,1.0,500.0,1.0,0.47075,30.0,0.708064079284668,9179.960105541182,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,32.0,0.762031078338623,9185.977053929835,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.46625,32.0,0.8163800239562988,9186.897988578758,15.0,,,
8000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,33.0,0.872838020324707,9165.503579947052,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.46175,33.0,0.926551103591919,9173.805920740295,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,34.0,0.9808409214019775,9175.79987092681,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.45725,35.0,1.0342650413513184,9185.266464762051,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,35.0,1.086184024810791,9206.543064138657,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.45275,35.0,1.1398191452026367,9211.987747524028,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.4505,35.0,1.1930820941925049,9219.818194861904,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.44825,35.0,1.245384931564331,9234.092776082349,23.0,,,
12000,1.0,500.0,1.0,1.0,500.0,1.0,0.446,36.0,1.303067922592163,9209.036453087323,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.44375,36.0,1.3569579124450684,9211.781651706915,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.4415,37.0,1.4114530086517334,9210.366849136572,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.43925,37.0,1.4638679027557373,9222.143592728684,27.0,,,
