step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.49775,5.0,0.05074787139892578,9852.629996429443,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,9.0,0.10166072845458984,9836.640118575222,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.49325,10.0,0.15305185317993164,9800.600050471536,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,13.0,0.20351266860961914,9827.398037005883,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.48875,15.0,0.2547316551208496,9814.249425788686,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,19.0,0.30620694160461426,9797.295855799739,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.48425,19.0,0.3596937656402588,9730.49948132952,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,21.0,0.4125027656555176,9696.904682914086,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.47975,22.0,0.4645247459411621,9687.320297399143,9.0,,,
5000,1.0,500.0,1.0,1.0,500.0,1.0,0.4775,25.0,0.5209968090057373,9596.987761867345,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.47525,27.0,0.5728518962860107,9601.085438764065,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,28.0,0.6293947696685791,9532.967684430274,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.47075,29.0,0.6829979419708252,9516.866158108647,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,29.0,0.7347187995910645,9527.454590648988,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.46625,30.0,0.7874467372894287,9524.45371202719,15.0,,,
8000,1.0,500.0,1.0,1.0,500.0,1.0,0.46399999999999997,32.0,0.847153902053833,9443.384467220023,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.46175,34.0,0.8983957767486572,9461.308946444471,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,34.0,0.9516618251800537,9457.140931651016,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.45725,34.0,1.004112720489502,9461.089184657254,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,34.0,1.0593268871307373,9439.956751296775,20.0,,,
10500,1.0,500.0,1.0,1.0,500.0,1.0,0.45275,37.0,1.1184298992156982,9388.161034824938,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.4505,38.0,1.167745590209961,9419.86002107034,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.44825,38.0,1.2217907905578613,9412.413392598235,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.446,38.0,1.2746257781982422,9414.527938515961,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.44375,38.0,1.3255198001861572,9430.262752955095,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.4415,38.0,1.3765277862548828,9444.0520052044,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.43925,38.0,1.4281768798828125,9452.610660598097,27.0,,,
14000,0.0,500.0,0.0,0.0,500.0,1.0,0.437,38.0,1.4791176319122314,9465.102502970323,28.0,,,
14500,0.0,500.0,0.0,0.0,500.0,1.0,0.43474999999999997,40.0,1.5274779796600342,9492.771871727551,29.0,,,
15000,1.0,500.0,1.0,1.0,500.0,1.0,0.4325,41.0,1.584566593170166,9466.310891983545,30.0,,,
15500,0.0,500.0,0.0,0.0,500.0,1.0,0.43025,41.0,1.636791706085205,9469.744954336376,31.0,,,
16000,0.0,500.0,0.0,0.0,500.0,1.0,0.428,41.0,1.6887128353118896,9474.67187163586,32.0,,,
16500,0.0,500.0,0.0,0.0,500.0,1.0,0.42574999999999996,41.0,1.7405338287353516,9479.850220428452,33.0,,,
17000,0.0,500.0,0.0,0.0,500.0,1.0,0.4235,41.0,1.7919538021087646,9486.851714589106,34.0,,,
17500,0.0,500.0,0.0,0.0,500.0,1.0,0.42125,41.0,1.8448288440704346,9485.974840564591,35.0,,,
18000,0.0,500.0,0.0,0.0,500.0,1.0,0.419,42.0,1.902406930923462,9461.698077005261,36.0,,,
18500,0.0,500.0,0.0,0.0,500.0,1.0,0.41675,42.0,1.9587609767913818,9444.746050794101,37.0,,,
19000,0.0,500.0,0.0,0.0,500.0,1.0,0.4145,42.0,2.0105767250061035,9450.024842967543,38.0,,,
19500,0.0,500.0,0.0,0.0,500.0,1.0,0.41225,42.0,2.065448760986328,9441.047567158252,39.0,,,
20000,0.0,500.0,0.0,0.0,500.0,1.0,0.41,42.0,2.118485927581787,9440.704674790846,40.0,,,
20500,0.0,500.0,0.0,0.0,500.0,1.0,0.40775,42.0,2.170893669128418,9443.115658552935,41.0,,,
21000,0.0,500.0,0.0,0.0,500.0,1.0,0.40549999999999997,42.0,2.223994731903076,9442.468409999454,42.0,,,
21500,0.0,500.0,0.0,0.0,500.0,1.0,0.40325,43.0,2.272488832473755,9460.992587847319,43.0,,,
22000,1.0,500.0,1.0,1.0,500.0,1.0,0.401,43.0,2.332697868347168,9431.139925372372,44.0,,,
22500,0.0,500.0,0.0,0.0,500.0,1.0,0.39875,43.0,2.385645627975464,9431.40914817857,45.0,,,
23000,0.0,500.0,0.0,0.0,500.0,1.0,0.39649999999999996,43.0,2.4383156299591064,9432.74107642321,46.0,,,
23500,0.0,500.0,0.0,0.0,500.0,1.0,0.39425,43.0,2.4928786754608154,9426.852670901026,47.0,,,
24000,1.0,500.0,1.0,1.0,500.0,1.0,0.392,44.0,2.5520126819610596,9404.341980603924,48.0,,,
24500,0.0,500.0,0.0,0.0,500.0,1.0,0.38975,44.0,2.605794668197632,9402.122238950657,49.0,,,
25000,0.0,500.0,0.0,0.0,500.0,1.0,0.3875,44.0,2.6585237979888916,9403.714955988691,50.0,0.4,500.0,0.4
25500,0.0,500.0,0.0,0.0,500.0,1.0,0.36275,47.0,3.259122848510742,7824.191104564296,51.0,,,
26000,0.0,500.0,0.0,0.0,500.0,1.0,0.3605,47.0,3.312497854232788,7849.061688229197,52.0,,,
26500,0.0,500.0,0.0,0.0,500.0,1.0,0.35824999999999996,47.0,3.364900827407837,7875.41783821735,53.0,,,
27000,0.0,500.0,0.0,0.0,500.0,1.0,0.356,47.0,3.416541814804077,7902.7278059373975,54.0,,,
27500,0.0,500.0,0.0,0.0,500.0,1.0,0.35375,47.0,3.470792770385742,7923.261865312594,55.0,,,
28000,0.0,500.0,0.0,0.0,500.0,1.0,0.3515,48.0,3.52105975151062,7952.151333980436,56.0,,,
28500,0.0,500.0,0.0,0.0,500.0,1.0,0.34924999999999995,48.0,3.572817802429199,7976.897109229171,57.0,,,
29000,0.0,500.0,0.0,0.0,500.0,1.0,0.347,48.0,3.624462842941284,8001.185625748129,58.0,,,
29500,0.0,500.0,0.0,0.0,500.0,1.0,0.34475,48.0,3.675499677658081,8026.119599280314,59.0,,,
30000,0.0,500.0,0.0,0.0,500.0,1.0,0.3425,48.0,3.72814679145813,8046.893450852182,60.0,,,
30500,0.0,500.0,0.0,0.0,500.0,1.0,0.34025,48.0,3.780061960220337,8068.650810745488,61.0,,,
31000,1.0,500.0,1.0,1.0,500.0,1.0,0.33799999999999997,48.0,3.8369407653808594,8079.35329096041,62.0,,,
