step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.49775,5.0,0.05384993553161621,9285.062183713137,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,9.0,0.10740375518798828,9310.661421937295,2.0,,,
1500,1.0,500.0,1.0,1.0,500.0,1.0,0.49325,11.0,0.16718077659606934,8972.323436588626,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,13.0,0.22098493576049805,9050.390666301282,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.48875,14.0,0.27514100074768066,9086.250297870496,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,18.0,0.3293159008026123,9109.79394766049,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.48425,18.0,0.3827800750732422,9143.631625366865,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,18.0,0.4359428882598877,9175.513829268839,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.47975,19.0,0.4850759506225586,9276.897760494181,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,19.0,0.5395328998565674,9267.275454989362,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.47525,20.0,0.5914440155029297,9299.274074695166,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,22.0,0.6449308395385742,9303.32313507103,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.47075,22.0,0.6987879276275635,9301.820685523258,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,22.0,0.7523400783538818,9304.302936134922,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.46625,22.0,0.80519700050354,9314.490733708373,15.0,,,
8000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,23.0,0.8558659553527832,9347.258119061933,16.0,,,
8500,1.0,500.0,1.0,1.0,500.0,1.0,0.46175,25.0,0.9133620262145996,9306.276981130894,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,25.0,0.9685018062591553,9292.703371161031,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.45725,25.0,1.0240669250488281,9276.737454973496,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,25.0,1.0780420303344727,9276.076181275981,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.45275,26.0,1.1297187805175781,9294.348452974686,21.0,,,
11000,1.0,500.0,1.0,1.0,500.0,1.0,0.4505,29.0,1.1888830661773682,9252.381763135418,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.44825,30.0,1.2412569522857666,9264.80208535616,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.446,30.0,1.295954942703247,9259.581181865062,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.44375,30.0,1.3498749732971191,9260.116860651391,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.4415,30.0,1.403648853302002,9261.575620867185,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.43925,30.0,1.4577529430389404,9260.828499414238,27.0,,,
14000,0.0,500.0,0.0,0.0,500.0,1.0,0.437,30.0,1.5106971263885498,9267.244741153505,28.0,,,
