step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.49775,5.0,0.049955129623413086,10008.982135953838,1.0,,,
1000,1.0,500.0,1.0,1.0,500.0,1.0,0.4955,7.0,0.10678911209106445,9364.250534710409,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.49325,11.0,0.15802907943725586,9491.923925277073,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,12.0,0.20910906791687012,9564.386757226073,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.48875,16.0,0.26140427589416504,9563.730323264403,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,16.0,0.3158392906188965,9498.501576929872,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.48425,16.0,0.3680591583251953,9509.340878586716,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,17.0,0.4142582416534424,9655.812722119106,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.47975,17.0,0.46524810791015625,9672.258572342205,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,18.0,0.5093870162963867,9815.719364725133,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.47525,20.0,0.5599570274353027,9822.18229350728,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,22.0,0.6102361679077148,9832.258911450446,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.47075,22.0,0.6603622436523438,9843.082433135001,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,22.0,0.7126772403717041,9822.118068971977,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.46625,23.0,0.7576191425323486,9899.433077853846,15.0,,,
8000,1.0,500.0,1.0,1.0,500.0,1.0,0.46399999999999997,25.0,0.8141591548919678,9826.088611705822,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.46175,25.0,0.8639111518859863,9838.974738830293,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,25.0,0.9140710830688477,9846.061391400697,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.45725,25.0,0.9640021324157715,9854.74998503704,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,26.0,1.0097951889038086,9902.99826131632,20.0,,,
10500,1.0,500.0,1.0,1.0,500.0,1.0,0.45275,29.0,1.0680522918701172,9830.9793255674,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.4505,30.0,1.1187491416931152,9832.409778078218,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.44825,30.0,1.1687901020050049,9839.234589916776,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.446,30.0,1.2190611362457275,9843.640850495578,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.44375,30.0,1.2714149951934814,9831.56565500297,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.4415,30.0,1.3227362632751465,9828.11189269998,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.43925,30.0,1.3734641075134277,9829.161116150985,27.0,,,
14000,0.0,500.0,0.0,0.0,500.0,1.0,0.437,31.0,1.4211959838867188,9850.85812142002,28.0,,,
14500,0.0,500.0,0.0,0.0,500.0,1.0,0.43474999999999997,32.0,1.4692041873931885,9869.28850626772,29.0,,,
15000,1.0,500.0,1.0,1.0,500.0,1.0,0.4325,33.0,1.528313159942627,9814.742418735112,30.0,,,
15500,0.0,500.0,0.0,0.0,500.0,1.0,0.43025,33.0,1.5855369567871094,9775.868000837265,31.0,,,
16000,0.0,500.0,0.0,0.0,500.0,1.0,0.428,33.0,1.6419460773468018,9744.534379505436,32.0,,,
16500,0.0,500.0,0.0,0.0,500.0,1.0,0.42574999999999996,33.0,1.6949901580810547,9734.569797549802,33.0,,,
17000,0.0,500.0,0.0,0.0,500.0,1.0,0.4235,34.0,1.7450122833251953,9742.05176802869,34.0,,,
17500,0.0,500.0,0.0,0.0,500.0,1.0,0.42125,34.0,1.797828197479248,9733.966807583125,35.0,,,
18000,0.0,500.0,0.0,0.0,500.0,1.0,0.419,34.0,1.8513710498809814,9722.524288773535,36.0,,,
18500,1.0,500.0,1.0,1.0,500.0,1.0,0.41675,35.0,1.9120070934295654,9675.696321197514,37.0,,,
19000,0.0,500.0,0.0,0.0,500.0,1.0,0.4145,36.0,1.9635391235351562,9676.405105589338,38.0,,,
19500,0.0,500.0,0.0,0.0,500.0,1.0,0.41225,36.0,2.0153610706329346,9675.685555380865,39.0,,,
20000,0.0,500.0,0.0,0.0,500.0,1.0,0.41,36.0,2.066876173019409,9676.438415167791,40.0,,,
20500,0.0,500.0,0.0,0.0,500.0,1.0,0.40775,36.0,2.1210482120513916,9665.03254547582,41.0,,,
21000,0.0,500.0,0.0,0.0,500.0,1.0,0.40549999999999997,36.0,2.1735591888427734,9661.572644442515,42.0,,,
21500,0.0,500.0,0.0,0.0,500.0,1.0,0.40325,36.0,2.2207701206207275,9681.326221189673,43.0,,,
22000,0.0,500.0,0.0,0.0,500.0,1.0,0.401,37.0,2.269921064376831,9691.96697861374,44.0,,,
22500,0.0,500.0,0.0,0.0,500.0,1.0,0.39875,37.0,2.3241162300109863,9681.099296782433,45.0,,,
23000,0.0,500.0,0.0,0.0,500.0,1.0,0.39649999999999996,37.0,2.3765690326690674,9677.816921719817,46.0,,,
23500,0.0,500.0,0.0,0.0,500.0,1.0,0.39425,37.0,2.4265472888946533,9684.542356767659,47.0,,,
24000,0.0,500.0,0.0,0.0,500.0,1.0,0.392,38.0,2.47464919090271,9698.344350475474,48.0,,,
