step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,1.0,500.0,1.0,1.0,500.0,1.0,0.49775,8.0,0.05785393714904785,8642.454163696082,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,12.0,0.1123189926147461,8903.213755041392,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.49325,14.0,0.16753268241882324,8953.476887871202,3.0,,,
2000,1.0,500.0,1.0,1.0,500.0,1.0,0.491,20.0,0.2274796962738037,8791.993451550592,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.48875,23.0,0.2817518711090088,8873.055536986156,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,25.0,0.336101770401001,8925.867889421464,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.48425,26.0,0.3902738094329834,8968.062717518864,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,26.0,0.4429287910461426,9030.797005885526,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.47975,28.0,0.4963867664337158,9065.51162177467,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,28.0,0.5462746620178223,9152.9048437485,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.47525,29.0,0.597733736038208,9201.421416254865,11.0,,,
6000,1.0,500.0,1.0,1.0,500.0,1.0,0.473,30.0,0.6556758880615234,9150.862658284923,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.47075,30.0,0.7101917266845703,9152.458069800858,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,30.0,0.7645378112792969,9155.85847649175,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.46625,30.0,0.8208348751068115,9137.038675438906,15.0,,,
8000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,30.0,0.8769638538360596,9122.382826847419,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.46175,31.0,0.9374520778656006,9067.130150645009,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,31.0,0.9997777938842773,9002.00029952029,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.45725,31.0,1.0597429275512695,8964.438217060333,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,31.0,1.1156799793243408,8963.14371981115,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.45275,31.0,1.1682748794555664,8987.610865084385,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.4505,31.0,1.221510887145996,9005.24106314025,22.0,,,
11500,1.0,500.0,1.0,1.0,500.0,1.0,0.44825,34.0,1.279106855392456,8990.64839776155,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.446,34.0,1.332859754562378,9003.197792508934,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.44375,36.0,1.3893988132476807,8996.696902872402,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.4415,36.0,1.44582200050354,8991.424944061204,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.43925,36.0,1.4998080730438232,9001.151709099742,27.0,,,
14000,0.0,500.0,0.0,0.0,500.0,1.0,0.437,36.0,1.5558819770812988,8998.111814536729,28.0,,,
14500,0.0,500.0,0.0,0.0,500.0,1.0,0.43474999999999997,36.0,1.612044095993042,8994.791169820819,29.0,,,
15000,0.0,500.0,0.0,0.0,500.0,1.0,0.4325,36.0,1.6673879623413086,8996.10668829427,30.0,,,
15500,0.0,500.0,0.0,0.0,500.0,1.0,0.43025,36.0,1.7194149494171143,9014.694216340586,31.0,,,
16000,1.0,500.0,1.0,1.0,500.0,1.0,0.428,37.0,1.7796828746795654,8990.3657711382,32.0,,,
16500,0.0,500.0,0.0,0.0,500.0,1.0,0.42574999999999996,37.0,1.834177017211914,8995.860184248319,33.0,,,
17000,0.0,500.0,0.0,0.0,500.0,1.0,0.4235,37.0,1.8900718688964844,8994.366976069236,34.0,,,
17500,0.0,500.0,0.0,0.0,500.0,1.0,0.42125,37.0,1.9434707164764404,9004.509227557555,35.0,,,
18000,0.0,500.0,0.0,0.0,500.0,1.0,0.419,39.0,1.9923899173736572,9034.37617458302,36.0,,,
18500,0.0,500.0,0.0,0.0,500.0,1.0,0.41675,39.0,2.049989938735962,9024.434535228611,37.0,,,
19000,0.0,500.0,0.0,0.0,500.0,1.0,0.4145,39.0,2.105435848236084,9024.259758813376,38.0,,,
19500,0.0,500.0,0.0,0.0,500.0,1.0,0.41225,39.0,2.161207675933838,9022.733084442812,39.0,,,
20000,0.0,500.0,0.0,0.0,500.0,1.0,0.41,39.0,2.222900867462158,8997.252325891439,40.0,,,
20500,0.0,500.0,0.0,0.0,500.0,1.0,0.40775,39.0,2.280582904815674,8988.929960279998,41.0,,,
21000,0.0,500.0,0.0,0.0,500.0,1.0,0.40549999999999997,39.0,2.3368277549743652,8986.541671844516,42.0,,,
21500,0.0,500.0,0.0,0.0,500.0,1.0,0.40325,39.0,2.392153739929199,8987.716650952516,43.0,,,
22000,1.0,500.0,1.0,1.0,500.0,1.0,0.401,41.0,2.449599027633667,8981.061696963598,44.0,,,
22500,0.0,500.0,0.0,0.0,500.0,1.0,0.39875,41.0,2.5013339519500732,8995.20033398927,45.0,,,
23000,1.0,500.0,1.0,1.0,500.0,1.0,0.39649999999999996,42.0,2.561793088912964,8978.086520547022,46.0,,,
23500,0.0,500.0,0.0,0.0,500.0,1.0,0.39425,42.0,2.615401029586792,8985.23772612905,47.0,,,
24000,1.0,500.0,1.0,1.0,500.0,1.0,0.392,44.0,2.671358823776245,8984.1917852404,48.0,,,
24500,0.0,500.0,0.0,0.0,500.0,1.0,0.38975,45.0,2.7213189601898193,9002.987286095658,49.0,,,
25000,2.0,500.0,2.0,2.0,500.0,1.0,0.3875,47.0,2.782557964324951,8984.538802254567,50.0,0.3,500.0,0.3
25500,0.0,500.0,0.0,0.0,500.0,1.0,0.36275,48.0,3.4001259803771973,7499.722112405707,51.0,,,
26000,0.0,500.0,0.0,0.0,500.0,1.0,0.3605,48.0,3.451612949371338,7532.710179667025,52.0,,,
26500,0.0,500.0,0.0,0.0,500.0,1.0,0.35824999999999996,48.0,3.505642890930176,7559.2411504779875,53.0,,,
27000,0.0,500.0,0.0,0.0,500.0,1.0,0.356,48.0,3.5605247020721436,7583.1519956276725,54.0,,,
27500,0.0,500.0,0.0,0.0,500.0,1.0,0.35375,48.0,3.6173787117004395,7602.189925829728,55.0,,,
28000,0.0,500.0,0.0,0.0,500.0,1.0,0.3515,48.0,3.6739699840545654,7621.183657330649,56.0,,,
28500,0.0,500.0,0.0,0.0,500.0,1.0,0.34924999999999995,48.0,3.7317309379577637,7637.206560127022,57.0,,,
29000,0.0,500.0,0.0,0.0,500.0,1.0,0.347,48.0,3.788829803466797,7654.078304986111,58.0,,,
29500,0.0,500.0,0.0,0.0,500.0,1.0,0.34475,48.0,3.8411977291107178,7679.896240808617,59.0,,,
30000,0.0,500.0,0.0,0.0,500.0,1.0,0.3425,49.0,3.895202875137329,7701.7811296779555,60.0,,,
30500,0.0,500.0,0.0,0.0,500.0,1.0,0.34025,49.0,3.9500908851623535,7721.341327756922,61.0,,,
31000,0.0,500.0,0.0,0.0,500.0,1.0,0.33799999999999997,49.0,4.002985954284668,7744.219029002236,62.0,,,
31500,0.0,500.0,0.0,0.0,500.0,1.0,0.33575,49.0,4.056010961532593,7766.2512006864745,63.0,,,
32000,1.0,500.0,1.0,1.0,500.0,1.0,0.3335,49.0,4.114574909210205,7777.231112835036,64.0,,,
32500,0.0,500.0,0.0,0.0,500.0,1.0,0.33125,49.0,4.168356895446777,7796.83717473922,65.0,,,
33000,0.0,500.0,0.0,0.0,500.0,1.0,0.32899999999999996,49.0,4.223059892654419,7814.239162792866,66.0,,,
33500,0.0,500.0,0.0,0.0,500.0,1.0,0.32675,50.0,4.280180931091309,7826.771937759784,67.0,,,
34000,1.0,500.0,1.0,1.0,500.0,1.0,0.3245,51.0,4.340637922286987,7832.9500429941745,68.0,,,
34500,0.0,500.0,0.0,0.0,500.0,1.0,0.32225,51.0,4.398023843765259,7844.4322326510355,69.0,,,
35000,1.0,500.0,1.0,1.0,500.0,1.0,0.31999999999999995,52.0,4.459274053573608,7848.8111696008955,70.0,,,
35500,0.0,500.0,0.0,0.0,500.0,1.0,0.31775,52.0,4.52974271774292,7837.089700690316,71.0,,,
36000,0.0,500.0,0.0,0.0,500.0,1.0,0.3155,52.0,4.585465908050537,7850.892520386227,72.0,,,
36500,0.0,500.0,0.0,0.0,500.0,1.0,0.31325000000000003,52.0,4.64011287689209,7866.187950248186,73.0,,,
37000,0.0,500.0,0.0,0.0,500.0,1.0,0.311,52.0,4.693436861038208,7883.348832739052,74.0,,,
37500,0.0,500.0,0.0,0.0,500.0,1.0,0.30874999999999997,52.0,4.748286008834839,7897.58660919458,75.0,,,
38000,1.0,500.0,1.0,1.0,500.0,1.0,0.3065,52.0,4.807443857192993,7904.408481680684,76.0,,,
38500,1.0,500.0,1.0,1.0,500.0,1.0,0.30425,54.0,4.8666417598724365,7910.999391294657,77.0,,,
39000,0.0,500.0,0.0,0.0,500.0,1.0,0.302,54.0,4.920624732971191,7925.822861206257,78.0,,,
39500,0.0,500.0,0.0,0.0,500.0,1.0,0.29974999999999996,54.0,4.975168943405151,7939.428881577847,79.0,,,
40000,0.0,500.0,0.0,0.0,500.0,1.0,0.2975,55.0,5.0296409130096436,7952.854029108958,80.0,,,
40500,0.0,500.0,0.0,0.0,500.0,1.0,0.29525,55.0,5.084056854248047,7966.079286890689,81.0,,,
41000,1.0,500.0,1.0,1.0,500.0,1.0,0.293,55.0,5.1449878215789795,7968.920709207284,82.0,,,
41500,0.0,500.0,0.0,0.0,500.0,1.0,0.29074999999999995,55.0,5.204654693603516,7973.631766772772,83.0,,,
42000,0.0,500.0,0.0,0.0,500.0,1.0,0.2885,55.0,5.264470815658569,7978.009845752355,84.0,,,
42500,0.0,500.0,0.0,0.0,500.0,1.0,0.28625,55.0,5.318634033203125,7990.773520923107,85.0,,,
43000,0.0,500.0,0.0,0.0,500.0,1.0,0.28400000000000003,55.0,5.372487783432007,8003.740861469415,86.0,,,
43500,0.0,500.0,0.0,0.0,500.0,1.0,0.28175,55.0,5.425358772277832,8017.902930636339,87.0,,,
44000,0.0,500.0,0.0,0.0,500.0,1.0,0.27949999999999997,55.0,5.480593919754028,8028.326974090929,88.0,,,
44500,0.0,500.0,0.0,0.0,500.0,1.0,0.27725,55.0,5.535635948181152,8038.8234371917815,89.0,,,
45000,0.0,500.0,0.0,0.0,500.0,1.0,0.275,55.0,5.597092866897583,8039.888040118063,90.0,,,
45500,0.0,500.0,0.0,0.0,500.0,1.0,0.27275,55.0,5.654175043106079,8047.150937690976,91.0,,,
46000,1.0,500.0,1.0,1.0,500.0,1.0,0.27049999999999996,55.0,5.725203990936279,8034.648210408539,92.0,,,
46500,2.0,500.0,2.0,2.0,500.0,1.0,0.26825,56.0,5.787820816040039,8034.111883894631,93.0,,,
47000,0.0,500.0,0.0,0.0,500.0,1.0,0.266,56.0,5.842016935348511,8045.166681324619,94.0,,,
47500,0.0,500.0,0.0,0.0,500.0,1.0,0.26375,56.0,5.893272876739502,8060.037434797986,95.0,,,
48000,1.0,500.0,1.0,1.0,500.0,1.0,0.26149999999999995,56.0,5.9505438804626465,8066.48954519903,96.0,,,
48500,1.0,500.0,1.0,1.0,500.0,1.0,0.25925,56.0,6.014057874679565,8064.438522315372,97.0,,,
49000,0.0,500.0,0.0,0.0,500.0,1.0,0.257,56.0,6.072868824005127,8068.674199961384,98.0,,,
49500,1.0,500.0,1.0,1.0,500.0,1.0,0.25475,56.0,6.1308698654174805,8073.89507306551,99.0,,,
50000,0.0,500.0,0.0,0.0,500.0,1.0,0.25249999999999995,56.0,6.1853859424591064,8083.569960732578,100.0,0.1,500.0,0.1
50500,0.0,500.0,0.0,0.0,500.0,1.0,0.22775,56.0,6.782136678695679,7446.031006516374,101.0,,,
51000,0.0,500.0,0.0,0.0,500.0,1.0,0.22549999999999998,56.0,6.84128475189209,7454.740132823,102.0,,,
51500,0.0,500.0,0.0,0.0,500.0,1.0,0.22325,56.0,6.900487899780273,7463.24038937013,103.0,,,
52000,0.0,500.0,0.0,0.0,500.0,1.0,0.22099999999999997,56.0,6.955767869949341,7475.810143787722,104.0,,,
52500,0.0,500.0,0.0,0.0,500.0,1.0,0.21875,56.0,7.011030673980713,7488.200015275589,105.0,,,
53000,0.0,500.0,0.0,0.0,500.0,1.0,0.21649999999999997,56.0,7.065526008605957,7501.210799513709,106.0,,,
53500,0.0,500.0,0.0,0.0,500.0,1.0,0.21425,56.0,7.118253707885742,7515.888333782153,107.0,,,
54000,0.0,500.0,0.0,0.0,500.0,1.0,0.21199999999999997,56.0,7.17100191116333,7530.328490909542,108.0,,,
54500,0.0,500.0,0.0,0.0,500.0,1.0,0.20975,56.0,7.224604845046997,7543.6651787763585,109.0,,,
