step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,1.0,500.0,1.0,1.0,500.0,1.0,0.49775,10.0,0.05568671226501465,8978.802656197151,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,16.0,0.10687088966369629,9357.085013017318,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.49325,17.0,0.15778398513793945,9506.668238152657,3.0,,,
2000,1.0,500.0,1.0,1.0,500.0,1.0,0.491,21.0,0.21444487571716309,9326.406113978923,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.48875,24.0,0.2665536403656006,9378.975265807818,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,25.0,0.31775999069213867,9441.08788984245,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.48425,26.0,0.3702268600463867,9453.663085280943,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,27.0,0.4213378429412842,9493.56927466262,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.47975,27.0,0.4687469005584717,9600.063476982219,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,27.0,0.5192718505859375,9628.86779700861,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.47525,27.0,0.5700438022613525,9648.381366803056,11.0,,,
6000,1.0,500.0,1.0,1.0,500.0,1.0,0.473,29.0,0.6279938220977783,9554.234116439768,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.47075,29.0,0.6799948215484619,9558.896323943192,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,29.0,0.7309558391571045,9576.501923935639,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.46625,29.0,0.7856559753417969,9546.16299677114,15.0,,,
8000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,29.0,0.8372979164123535,9554.5442586055,16.0,,,
