step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
256,0.0,0.0,0.0,-0.014676609309390187,0.03992955427384004,1.607553906738758,-0.0018301201052963734,0.11328125,0.1396489143371582,1833.1685657214075,1.0,,
512,0.0,500.0,1.0,-0.0072383026126772165,0.011654586356598884,1.6064427271485329,0.0032850257121026516,0.02734375,0.26439404487609863,1936.5035254100956,2.0,,
768,0.0,0.0,0.0,-0.0036915154196321964,0.005492370808497071,1.6047485023736954,0.0028008827939629555,0.0,0.38745880126953125,1982.1462242788225,3.0,,
1024,0.0,500.0,1.0,-0.0030213427962735295,0.002539970060752239,1.6044499799609184,0.0024521793238818645,0.0068359375,0.5067658424377441,2020.6571048162104,4.0,,
1280,0.0,0.0,0.0,-0.005285666789859533,0.0027321431334712543,1.6050059348344803,-0.0002180333249270916,0.0,0.6715948581695557,1905.9109587120186,5.0,,
1536,0.0,500.0,1.0,-0.010516934329643846,0.0044527387217385694,1.601584680378437,0.0021647182293236256,0.0615234375,0.7932398319244385,1936.3626713923193,6.0,,
1792,0.0,0.0,0.0,-0.008752577705308795,0.0022140050677990075,1.5924061685800552,0.003928959369659424,0.0888671875,0.9157969951629639,1956.765538066783,7.0,,
2048,0.0,500.0,1.0,-0.008500326424837112,0.0031469349487451836,1.6002652496099472,0.0022261440753936768,0.0595703125,1.037132978439331,1974.6744560006307,8.0,,
2304,0.0,0.0,0.0,-0.013439176604151726,0.001372343504044693,1.602134071290493,-2.8903596103191376e-05,0.0400390625,1.157754898071289,1990.0585208823109,9.0,,
2560,0.0,500.0,1.0,-0.005515884957276285,0.0016873302520252764,1.5962610244750977,0.0002106567844748497,0.0,1.2771379947662354,2004.481904454324,10.0,0.0,500.0
2816,0.0,0.0,0.0,-0.0032589698676019907,0.0010682953561627073,1.594404861330986,0.0032207639887928963,0.0087890625,1.802570104598999,1562.2138594306984,11.0,,
3072,0.0,500.0,1.0,-0.010259624337777495,0.001413416179275373,1.5996607691049576,0.0029519773088395596,0.0244140625,1.9203269481658936,1599.7275895826338,12.0,,
3328,0.0,0.0,0.0,-0.01322855637408793,0.0008921937969716964,1.582213968038559,0.020723703783005476,0.185546875,2.040132999420166,1631.2661973243232,13.0,,
3584,0.0,500.0,1.0,-0.00525327492505312,0.0009487204970355378,1.5644530579447746,0.002832145430147648,0.0126953125,2.1640238761901855,1656.1739634359838,14.0,,
3840,0.0,0.0,0.0,-0.012286912882700562,0.0006207385122252163,1.5515221878886223,-0.0013587106950581074,0.0751953125,2.285576105117798,1680.1015688786647,15.0,,
4096,0.0,500.0,1.0,-0.010854995809495449,0.0013452590210363269,1.5256302207708359,0.009528780588880181,0.09765625,2.4067940711975098,1701.8489654006914,16.0,,
4352,0.0,0.0,0.0,-0.011644159108982421,0.0008467218831356149,1.5231886953115463,0.00881255161948502,0.115234375,2.524683952331543,1723.780117499829,17.0,,
4608,0.0,500.0,1.0,-0.01039998629130423,0.0007319913656829158,1.5015431642532349,0.0033648484386503696,0.076171875,2.6442770957946777,1742.6312875183642,18.0,,
4864,0.0,0.0,0.0,-0.005821581755299121,0.0005258145956759108,1.4490968883037567,0.0024067601189017296,0.0439453125,2.7797489166259766,1749.7983256357775,19.0,,
5120,0.0,500.0,1.0,-0.008532408392056823,0.0010868544304685201,1.5190119296312332,0.010692354757338762,0.177734375,2.9149389266967773,1756.4690474671484,20.0,0.0,500.0
5376,0.0,0.0,0.0,-0.002786660334095359,0.0007861724079702981,1.4816484451293945,0.0051988710183650255,0.0,3.468698024749756,1549.8610607326775,21.0,,
5632,0.0,500.0,1.0,-0.013487262185662985,0.000430285906077188,1.5263404250144958,0.0007890709675848484,0.0732421875,3.5907857418060303,1568.4589404566689,22.0,,
5888,0.0,0.0,0.0,-0.011309904977679253,0.0005736648745369166,1.494351089000702,0.0092723174020648,0.146484375,3.7208569049835205,1582.431184632207,23.0,,
6144,0.0,500.0,1.0,-0.006422655191272497,0.0006391286278812913,1.5560616180300713,-0.004880704917013645,0.0712890625,3.848689079284668,1596.3877240875865,24.0,,
6400,0.0,0.0,0.0,-0.012422585627064109,0.0005327034341462422,1.5730709061026573,0.0015308968722820282,0.0771484375,3.979660749435425,1608.177280163375,25.0,,
6656,0.0,500.0,1.0,-0.008657283731736243,0.0004295729695513728,1.567402571439743,0.0012913225218653679,0.0830078125,4.103420972824097,1622.0612128467878,26.0,,
6912,0.0,0.0,0.0,-0.014540086034685373,0.0004740783360830392,1.5341031327843666,0.01234844047576189,0.12890625,4.234169006347656,1632.433658089196,27.0,,
7168,0.0,500.0,1.0,-0.009571905015036464,0.0006023555442880024,1.5089467614889145,0.0029571405611932278,0.1064453125,4.361167907714844,1643.5964291399812,28.0,,
7424,0.0,0.0,0.0,-0.013077437179163098,0.0003183723965776153,1.5026892125606537,0.008752534165978432,0.1806640625,4.483832836151123,1655.7263107900978,29.0,,
7680,0.0,500.0,1.0,-0.0051030798349529505,0.00039556523279316025,1.4819685742259026,0.0044001934584230185,0.03125,4.604261875152588,1668.0198060509929,30.0,0.0,500.0
7936,0.0,0.0,0.0,-0.01344083365984261,0.0003953951527364552,1.4723887145519257,0.0033312321174889803,0.1455078125,5.126668930053711,1547.9837118947441,31.0,,
8192,0.0,500.0,1.0,-0.015682299621403217,0.00035291385938762687,1.4771972745656967,0.01448545977473259,0.1787109375,5.24857497215271,1560.8046076247704,32.0,,
8448,0.0,0.0,0.0,-0.005769924959167838,0.00021511301565624308,1.4904190599918365,-0.001810767687857151,0.06640625,5.367975950241089,1573.7775426547096,33.0,,
8704,0.0,500.0,1.0,-0.01090518175624311,0.0002546019395595067,1.4931920766830444,1.959945075213909e-05,0.0791015625,5.487965106964111,1586.0159148888918,34.0,,
8960,0.0,0.0,0.0,-0.019173302920535207,0.00024353134040211444,1.3794077262282372,0.01006112527102232,0.2041015625,5.607301950454712,1597.916445229672,35.0,,
9216,0.0,500.0,1.0,-0.007360098417848349,0.00022778987022320507,1.3952881395816803,0.0020614287350326777,0.087890625,5.726627826690674,1609.3240697511467,36.0,,
9472,0.0,0.0,0.0,-0.00707155663985759,0.00024651949752296787,1.4814938381314278,0.009832306299358606,0.046875,5.843496084213257,1620.9474368588149,37.0,,
9728,0.0,500.0,1.0,-0.020201495615765452,0.00027211395536141936,1.5077037066221237,0.01277793850749731,0.1884765625,5.963491916656494,1631.2590233968363,38.0,,
9984,0.0,0.0,0.0,-0.0069057936780154705,0.00018933972796730814,1.3872129693627357,0.01339622470550239,0.1162109375,6.084373712539673,1640.9248464510554,39.0,,
10240,0.0,500.0,1.0,-0.00754132738802582,0.00014217533316696063,1.3894193172454834,-7.385457865893841e-05,0.0732421875,6.206529855728149,1649.8752504266563,40.0,0.0,500.0
10496,0.0,0.0,0.0,-0.013941629556939006,0.00025189664484059904,1.4895784631371498,0.005817487370222807,0.1513671875,6.750354051589966,1554.8814061875453,41.0,,
10752,0.0,500.0,1.0,-0.01449214294552803,0.0002913437101597083,1.44250126183033,0.009438345674425364,0.17578125,6.875685930252075,1563.7712526531607,42.0,,
11008,0.0,0.0,0.0,-0.00456706655677408,0.00021360407799875247,1.4944571405649185,0.004496938781812787,0.015625,6.995360851287842,1573.6143186914273,43.0,,
11264,0.0,500.0,1.0,-0.007041993318125606,0.00017272479453822598,1.5351539105176926,0.011521445121616125,0.1640625,7.114058971405029,1583.3436362104483,44.0,,
11520,0.0,0.0,0.0,-0.009899499476887286,0.000142817842970544,1.4907249882817268,0.004440228920429945,0.091796875,7.234752893447876,1592.3142323814598,45.0,,
11776,0.0,500.0,1.0,-0.00807190127670765,0.00010295908168700407,1.5086690858006477,0.004178065340965986,0.068359375,7.355391025543213,1601.0025788031187,46.0,,
12032,0.0,0.0,0.0,-0.011208375683054328,9.847079900282552e-05,1.4685488641262054,0.017647414933890104,0.095703125,7.47462797164917,1609.7122218840427,47.0,,
12288,0.0,500.0,1.0,-0.010274343192577362,0.00010722806337071233,1.4504358023405075,0.005397530272603035,0.16015625,7.5942161083221436,1618.0735213123787,48.0,,
12544,0.0,0.0,0.0,-0.009137016022577882,0.00013178125027479837,1.5102478489279747,0.0007068496197462082,0.0537109375,7.715074777603149,1625.907766495694,49.0,,
12800,0.0,500.0,1.0,-0.00941153010353446,9.899447809402773e-05,1.4438102096319199,0.01345561002381146,0.1650390625,7.833761930465698,1633.95315221675,50.0,0.0,500.0
13056,0.0,0.0,0.0,-0.012494843103922904,8.092833218142914e-05,1.505200132727623,0.01915125921368599,0.16015625,8.482470989227295,1539.1741411884661,51.0,,
13312,1.0,500.0,1.0,-0.0209510934073478,0.008284317184006795,1.478680044412613,0.018293582368642092,0.2451171875,8.626880168914795,1543.083912069056,52.0,,
13568,0.0,0.0,0.0,-0.01188793615438044,0.00015658333995816065,1.4111650213599205,0.0011836013291031122,0.06640625,8.805004835128784,1540.9418000395171,53.0,,
13824,0.0,500.0,1.0,-0.01048737857490778,0.00036193887990521034,1.3953777849674225,-4.375586286187172e-05,0.1435546875,8.93528413772583,1547.1248353069636,54.0,,
14080,0.0,0.0,0.0,-0.022591836168430746,0.00019299318319099257,1.4922244772315025,0.008311962243169546,0.232421875,9.061973094940186,1553.7455091167358,55.0,,
14336,0.0,500.0,1.0,-0.0079725292744115,0.00029420244027278386,1.50483488291502,0.0069929733872413635,0.1025390625,9.18551778793335,1560.7176787390945,56.0,,
14592,0.0,0.0,0.0,-0.009327798266895115,0.0001994897083932301,1.5389720275998116,0.005133540835231543,0.0947265625,9.333581924438477,1563.3869309908991,57.0,,
14848,0.0,500.0,1.0,-0.01582118379883468,0.0004044457141390012,1.5120601877570152,0.0012375800870358944,0.060546875,9.464445114135742,1568.8188605820726,58.0,,
15104,0.0,0.0,0.0,-0.010855928005184978,0.00024456586561427685,1.490780085325241,-0.00031043263152241707,0.0869140625,9.63447880744934,1567.7028619671307,59.0,,
15360,0.0,500.0,1.0,-0.0069606738979928195,0.0002108596449943434,1.4822871163487434,0.007206639740616083,0.04296875,9.768862962722778,1572.3426624585243,60.0,0.0,500.0
