step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,1.0,500.0,1.0,-0.008770798274781555,0.064880317193456,3.687485322356224,0.006254083476960659,0.0537109375,0.7758190631866455,659.9476917942447,1.0,,
1024,2.5,500.0,1.0,-0.012293435400351882,0.02552860981086269,3.685011610388756,0.0008387640118598938,0.0654296875,1.3297619819641113,770.0626231526873,2.0,,
1536,1.5,500.0,1.0,-0.01253053150139749,0.021499474067240953,3.678572952747345,0.0027225948870182037,0.09765625,1.984415054321289,774.0316203786026,3.0,,
2048,0.5,500.0,1.0,-0.014788864355068654,0.00775094298296608,3.679899573326111,0.00623741140589118,0.0810546875,2.5406060218811035,806.1068825160186,4.0,,
2560,1.0,500.0,1.0,-0.012906117248348892,0.006382852516253479,3.6778257936239243,0.002911192364990711,0.09228515625,3.0763959884643555,832.1425491384401,5.0,,
3072,0.0,500.0,1.0,-0.017773822066374123,0.004041023275931366,3.6726943999528885,0.00325196934863925,0.0771484375,3.6122140884399414,850.4479315971963,6.0,,
3584,0.5,500.0,1.0,-0.01536946464329958,0.004066204492119141,3.665727898478508,0.006399521138519049,0.064453125,4.1493120193481445,863.7576502533173,7.0,,
4096,3.0,500.0,1.0,-0.017892724717967212,0.00955947203328833,3.648247092962265,0.013447205070406199,0.1435546875,4.734681129455566,865.1057775607779,8.0,,
4608,4.0,500.0,1.0,-0.017322649830020964,0.030341158853843808,3.6437068730592728,0.004720361903309822,0.11572265625,5.3127100467681885,867.3539416673275,9.0,,
5120,1.5,500.0,1.0,-0.012459018966183066,0.006942427397007123,3.6236039102077484,-0.002349467948079109,0.1123046875,5.859270095825195,873.8289780578754,10.0,,
5632,4.5,500.0,1.0,-0.014427233778405935,0.03564613277558237,3.641054540872574,0.00815920066088438,0.103515625,6.419655084609985,877.3057003485667,11.0,,
6144,0.5,500.0,1.0,-0.010150818852707744,0.008450388791970909,3.6271922141313553,0.0021191146224737167,0.06884765625,6.977359056472778,880.5623947789121,12.0,,
6656,2.0,500.0,1.0,-0.012398138525895774,0.016527351399417967,3.63417711853981,0.00295633589848876,0.05224609375,7.519911050796509,885.1168524519976,13.0,,
7168,2.5,500.0,1.0,-0.016940220375545323,0.002758130824076943,3.618643119931221,0.0003759046085178852,0.125,8.07323408126831,887.8721870125562,14.0,,
7680,0.0,500.0,1.0,-0.013261098007205874,0.009788282855879515,3.61474971473217,0.0085794678889215,0.09033203125,8.634055137634277,889.5009213601469,15.0,,
8192,2.5,500.0,1.0,-0.0131712642905768,0.00907032293616794,3.5943888127803802,-0.0024535255506634712,0.0673828125,9.18638801574707,891.7541895636766,16.0,,
8704,2.0,500.0,1.0,-0.01743526889185887,0.05705459648743272,3.59539070725441,0.006688976660370827,0.11669921875,10.672306060791016,815.5688143144268,17.0,,
9216,5.0,500.0,1.0,-0.018281334487255663,0.005987240292597562,3.6048255264759064,0.01470036432147026,0.14501953125,11.22344708442688,821.1380987208183,18.0,,
9728,0.0,500.0,1.0,-0.010083470260724425,0.004000854401965626,3.6054685562849045,0.008871084079146385,0.07275390625,11.782305002212524,825.6448970021775,19.0,,
10240,0.5,500.0,1.0,-0.017830164870247245,0.007798816921422258,3.6018366515636444,0.01341038616374135,0.1396484375,12.346147060394287,829.40855555247,20.0,,
10752,1.5,500.0,1.0,-0.01550192350987345,0.005776941325166263,3.5889103710651398,0.004692335147410631,0.12109375,12.892220258712769,833.9913361884759,21.0,,
11264,2.0,500.0,1.0,-0.014298784546554089,0.03744709212332964,3.604705274105072,0.004146259278059006,0.07568359375,13.440656185150146,838.0543215177979,22.0,,
11776,3.5,500.0,1.0,-0.015108256950043142,0.0030609085733885877,3.5998803675174713,0.008430957794189453,0.076171875,13.996766090393066,841.3372006039789,23.0,,
12288,0.0,500.0,1.0,-0.016260940115898848,0.017763459152774885,3.5689086318016052,0.016772297210991383,0.15576171875,14.547776937484741,844.6651370037126,24.0,,
12800,2.0,500.0,1.0,-0.014344021095894277,0.010436831187689677,3.6033454835414886,0.013136540073901415,0.10986328125,15.086515188217163,848.4398047069894,25.0,0.0,500.0
13312,3.0,500.0,1.0,-0.009368021273985505,0.016661672154441476,3.5931276232004166,0.008339190855622292,0.064453125,16.756019115447998,794.4607790359448,26.0,,
13824,2.0,500.0,1.0,-0.01262176816817373,0.010718057746998966,3.5750835239887238,0.017476046457886696,0.126953125,17.30593705177307,798.8010102338648,27.0,,
14336,3.5,500.0,1.0,-0.018041814386378974,0.025746949831955135,3.5943347364664078,0.01753237983211875,0.14306640625,2062.536784172058,6.950663915433996,28.0,,
14848,1.5,500.0,1.0,-0.013047202082816511,0.015014691569376737,3.5930584520101547,0.0010510431602597237,0.083984375,2063.171800136566,7.1966861892049785,29.0,,
15360,12.0,500.0,1.0,-0.020853226771578193,0.11318590957671404,3.564219444990158,0.007932485081255436,0.1494140625,2063.7115671634674,7.4429005702148725,30.0,,
15872,4.5,500.0,1.0,-0.015003734966740012,0.03099808970000595,3.5837454199790955,0.007169727236032486,0.1455078125,2064.2397480010986,7.6890293462131085,31.0,,
16384,5.5,500.0,1.0,-0.015376129653304815,0.04972382530104369,3.5738019347190857,0.0018919836729764938,0.06884765625,2064.7721741199493,7.9350158847347,32.0,,
16896,0.0,500.0,1.0,-0.014645135379396379,0.002576672843133565,3.591495916247368,0.011369575280696154,0.1171875,2065.3106150627136,8.180851769595417,33.0,,
17408,0.5,500.0,1.0,-0.017216218868270516,0.007591301400680095,3.5963163673877716,0.0028914017602801323,0.11279296875,2065.859354019165,8.426517500396354,34.0,,
17920,1.0,500.0,1.0,-0.012760434008669108,0.00295992740575457,3.592137947678566,0.011110445950180292,0.0771484375,2066.414848089218,8.672024408153256,35.0,,
18432,3.0,500.0,1.0,-0.014695725636556745,0.10951443202793598,3.5727855563163757,0.017114964313805103,0.15869140625,2066.962725162506,8.917432218595458,36.0,,
18944,5.5,500.0,1.0,-0.012455138377845287,0.006772046006517485,3.5783702731132507,0.006051992531865835,0.0654296875,2067.485430955887,9.162821520459943,37.0,,
19456,6.5,500.0,1.0,-0.01585249323397875,0.09327926277182996,3.530460312962532,0.005972604267299175,0.1025390625,2068.0226821899414,9.40802060226776,38.0,,
19968,1.0,500.0,1.0,-0.015540781430900097,0.07453962345607579,3.5400671511888504,0.0011016088537871838,0.06396484375,2068.5560660362244,9.65311036420819,39.0,,
20480,13.5,500.0,1.0,-0.024824954220093787,0.10546823218464851,3.4826833456754684,0.017900765873491764,0.20703125,2069.1063890457153,9.897992731753877,40.0,,
20992,2.0,500.0,1.0,-0.017175750341266394,0.011816487385658547,3.4904940873384476,0.014105005655437708,0.12109375,2069.652447938919,10.142765767704168,41.0,,
21504,1.5,500.0,1.0,-0.014699569117510691,0.12709974218159914,3.425688847899437,0.006176917580887675,0.0849609375,2070.1973218917847,10.387415621013965,42.0,,
22016,13.0,500.0,1.0,-0.01033425540663302,0.038034027675166726,3.4398528039455414,0.0034947877284139395,0.07177734375,2070.734193086624,10.631977814198876,43.0,,
22528,3.0,500.0,1.0,-0.013807423994876444,0.005431937999674119,3.4986817985773087,0.011143875308334827,0.09130859375,2071.2632009983063,10.876454517775418,44.0,,
23040,0.0,500.0,1.0,-0.015253712073899806,0.14709711074829102,3.475359320640564,0.010012162383645773,0.140625,2071.791771173477,11.120808722466343,45.0,,
23552,19.0,500.0,1.0,-0.013899595942348242,0.13045239122584462,3.429684743285179,0.007584116654470563,0.1455078125,2123.082055091858,11.09330651800031,46.0,,
24064,0.0,500.0,1.0,-0.013104955665767193,0.012213973328471184,3.4549925476312637,0.0024925183970481157,0.09033203125,2123.6579101085663,11.331391880705397,47.0,,
24576,1.5,500.0,1.0,-0.014316764893010259,0.002829205353918951,3.460156738758087,0.008608158910647035,0.10546875,2124.2762200832367,11.569116938585804,48.0,,
25088,0.0,500.0,1.0,-0.014380378182977438,0.15627060970291495,3.494806468486786,0.014161305967718363,0.1083984375,2124.83562207222,11.80703097189854,49.0,,
25600,7.5,500.0,1.0,-0.013052615919150412,0.050532939843833447,3.5047901570796967,0.0207332456484437,0.13916015625,2125.3808460235596,12.044900116558322,50.0,41.666666666666664,500.0
26112,12.5,500.0,1.0,-0.016898153582587838,0.23696383833885193,3.478740155696869,0.007561682257801294,0.0986328125,2127.0974221229553,12.275883430829815,51.0,,
26624,4.0,500.0,1.0,-0.014388183364644647,0.014869869570247829,3.5233156979084015,0.01686379499733448,0.12646484375,2127.6367971897125,12.513413960111185,52.0,,
27136,0.5,500.0,1.0,-0.011948796338401735,0.004036487458506599,3.4632934033870697,0.010003589326515794,0.07861328125,2128.179654121399,12.75080322633893,53.0,,
27648,4.0,500.0,1.0,-0.01517802698072046,0.05688474839553237,3.4751215279102325,0.0009238352067768574,0.0869140625,2128.71418428421,12.98812222144175,54.0,,
28160,0.0,500.0,1.0,-0.015375934657640755,0.0054243766207946464,3.4982687681913376,0.011954655405133963,0.1015625,2129.2359879016876,13.225401111011196,55.0,,
28672,3.0,500.0,1.0,-0.014769783185329288,0.021511717466637492,3.4522304236888885,0.008327075745910406,0.1640625,2129.7701539993286,13.462485586136653,56.0,,
29184,10.5,500.0,1.0,-0.011284935404546559,0.2223259126767516,3.463668182492256,0.007586390245705843,0.0751953125,2130.2969110012054,13.699498811310761,57.0,,
29696,7.0,500.0,1.0,-0.019849981414154172,0.10436440352350473,3.4707671403884888,0.012385022128000855,0.125,2130.824436903,13.936389824382248,58.0,,
30208,2.0,500.0,1.0,-0.017344219493679702,0.02030163013841957,3.5121355205774307,0.005317189265042543,0.18798828125,2131.342658996582,14.173225441948254,59.0,,
30720,1.5,500.0,1.0,-0.01552353729493916,0.017294160672463477,3.4860841184854507,0.012847375590354204,0.0966796875,2131.8616099357605,14.409940990928435,60.0,,
31232,12.0,500.0,1.0,-0.017015530786011368,0.14122918667271733,3.458249643445015,0.013697574380785227,0.13720703125,2132.382712125778,14.646526546289964,61.0,,
31744,4.5,500.0,1.0,-0.013424614211544394,0.011804906564066187,3.5200815200805664,0.00555729866027832,0.10400390625,2132.906751871109,14.88297600078031,62.0,,
32256,6.0,500.0,1.0,-0.02008931734599173,0.05970651749521494,3.451561450958252,0.015083731384947896,0.1181640625,2133.431265115738,15.119305940353378,63.0,,
32768,0.0,500.0,1.0,-0.014924363582395017,0.3251302372664213,3.452219933271408,0.005425903480499983,0.14697265625,2133.962163925171,15.355473753914708,64.0,,
33280,21.5,500.0,1.0,-0.010953720891848207,0.22307920549064875,3.4257101267576218,0.006249806145206094,0.0615234375,2134.4958350658417,15.59150383583364,65.0,,
33792,12.5,500.0,1.0,-0.01823504362255335,0.12870856514200568,3.4624070823192596,0.008049146505072713,0.13916015625,2135.016000032425,15.827516046477776,66.0,,
34304,1.5,500.0,1.0,-0.01839463203214109,0.012076320155756548,3.3718046098947525,0.002105734311044216,0.1279296875,2135.5465631484985,16.063335069325117,67.0,,
34816,10.5,500.0,1.0,-0.015277595724910498,0.30119956471025944,3.435162514448166,0.00552861881442368,0.150390625,2136.0769720077515,16.2990381228049,68.0,,
35328,11.5,500.0,1.0,-0.010137792909517884,0.09593816287815571,3.4547601491212845,0.004946989007294178,0.06640625,2136.59743309021,16.534701134085097,69.0,,
35840,0.0,500.0,1.0,-0.015964255813742056,0.021212924970313907,3.42587810754776,0.0160424942150712,0.1796875,2137.134131193161,16.77012194830773,70.0,,
36352,1.5,500.0,1.0,-0.015968733467161655,0.007013361202552915,3.467035621404648,0.007572980131953955,0.1435546875,2137.660432100296,17.005507261171225,71.0,,
36864,0.5,500.0,1.0,-0.021623798995278776,0.23995474446564913,3.437527760863304,0.004847216419875622,0.19580078125,2138.186476945877,17.24077876156782,72.0,,
37376,16.5,500.0,1.0,-0.015130219631828368,0.008835235581500456,3.4398741275072098,0.002823012415319681,0.10400390625,2138.722992181778,17.47584896998352,73.0,,
37888,2.5,500.0,1.0,-0.016279210802167654,0.38938678056001663,3.446726009249687,0.002812126651406288,0.12939453125,2139.255219936371,17.710836765482767,74.0,,
38400,14.5,500.0,1.0,-0.015355483745224774,0.04931063635740429,3.347155883908272,0.0012863886076956987,0.07763671875,2139.7792539596558,17.945776382746445,75.0,0.0,500.0
38912,11.0,500.0,1.0,-0.01628945453558117,0.16837093140929937,3.428939774632454,0.0010453895665705204,0.08544921875,2141.527172088623,18.170210729593162,76.0,,
39424,9.0,500.0,1.0,-0.019210006925277412,0.19153392547741532,3.404196560382843,0.006174510112032294,0.08203125,2142.051059961319,18.404790033675443,77.0,,
39936,16.0,500.0,1.0,-0.0217509469948709,0.21530444081872702,3.4580017179250717,0.00402830564416945,0.1669921875,2142.5809819698334,18.639202128679344,78.0,,
40448,7.0,500.0,1.0,-0.015203730668872595,0.13566214498132467,3.445660948753357,0.010313186096027493,0.17578125,2143.114436149597,18.873467192293496,79.0,,
40960,38.0,500.0,1.0,-0.015733195701614022,0.9177620485424995,3.354730248451233,0.006092182593420148,0.080078125,2143.64710021019,19.107622703374904,80.0,,
41472,9.5,500.0,1.0,-0.01894227066077292,0.1661575031466782,3.400399759411812,0.00890629319474101,0.146484375,2144.172096014023,19.34173104719332,81.0,,
41984,5.0,500.0,1.0,-0.019188181264325976,0.20406041201204062,3.407238781452179,0.0039630671963095665,0.10791015625,2144.688801050186,19.575800451534864,82.0,,
42496,29.5,500.0,1.0,-0.016896636341698468,0.5950626395642757,3.399670585989952,0.003957277396693826,0.12353515625,2145.217998981476,19.809641733463266,83.0,,
43008,26.5,500.0,1.0,-0.016198664670810103,0.7911956235766411,3.284823104739189,0.0005878044757992029,0.16650390625,2145.756035089493,20.04328511568477,84.0,,
43520,0.0,500.0,1.0,-0.016522488789632916,0.049344855011440814,3.4245270639657974,0.007596077164635062,0.169921875,2146.2876150608063,20.27687235140992,85.0,,
44032,5.5,500.0,1.0,-0.022935556713491678,0.2009640410542488,3.385443702340126,0.007548423483967781,0.14453125,2146.8261139392853,20.51027780689893,86.0,,
44544,10.0,500.0,1.0,-0.013183605449739844,1.089998584240675,3.3149676471948624,0.015603594947606325,0.12109375,2147.345099925995,20.743754695756703,87.0,,
45056,44.5,500.0,1.0,-0.0202959954040125,1.61868267506361,3.235004484653473,0.009115980938076973,0.1904296875,2147.880959033966,20.97695396502069,88.0,,
45568,50.0,500.0,1.0,-0.020866144681349397,1.4514915198087692,3.2263762950897217,0.0036891913041472435,0.18994140625,2148.3983130455017,21.210219596292756,89.0,,
46080,9.0,500.0,1.0,-0.015835580765269697,0.7862475365400314,3.3563401103019714,0.00125303422100842,0.08837890625,2148.9418711662292,21.443111429995273,90.0,,
46592,34.5,500.0,1.0,-0.018151464639231563,1.2394150421023369,3.3092892318964005,0.0040208345744758844,0.12109375,2149.46964097023,21.676044691177516,91.0,,
47104,44.5,500.0,1.0,-0.01694839569972828,0.33045389503240585,3.2689931839704514,0.011586286127567291,0.16064453125,4359.108954191208,10.805878103760246,92.0,,
47616,0.5,500.0,1.0,-0.01837199367582798,0.16239587031304836,3.4138257056474686,0.015719530172646046,0.1796875,4359.856533050537,10.921460290961381,93.0,,
48128,6.0,500.0,1.0,-0.0139614351792261,1.3663122430443764,3.3369584381580353,0.002358104567974806,0.11181640625,4360.416386127472,11.03747801542938,94.0,,
48640,52.0,500.0,1.0,-0.018259989097714424,0.6502040736377239,3.3349542170763016,0.0031915497966110706,0.12841796875,4360.962959051132,11.153499916583376,95.0,,
49152,19.5,500.0,1.0,-0.018851997796446085,1.4434966892004013,3.3034327924251556,0.011455469997599721,0.1533203125,4361.50287604332,11.269509936581734,96.0,,
49664,66.5,500.0,1.0,-0.016847819148097187,1.5062983259558678,3.3349740505218506,0.01775727840140462,0.15625,4362.035284996033,11.385510835005814,97.0,,
50176,9.5,500.0,1.0,-0.01786906912457198,2.114975355565548,3.3262449204921722,0.009411565493792295,0.1689453125,4362.55520606041,11.501516343058789,98.0,,
50688,37.0,500.0,1.0,-0.01907446642871946,0.18934270180761814,3.3298058807849884,0.005000068806111813,0.11572265625,4363.096512079239,11.617437262657427,99.0,,
