step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.5,500.0,1.0,-0.0071159605868160725,0.05854474671650678,1.607653982937336,0.00826568203046918,0.078125,0.2500929832458496,2047.2385644529948,1.0,,
1024,2.5,500.0,1.0,-0.00564030313398689,0.01792165177175775,1.6046773418784142,0.005281800404191017,0.03662109375,0.4832601547241211,2118.9415059153207,2.0,,
1536,1.0,500.0,1.0,-0.005467332201078534,0.0070926131302258,1.6010036543011665,0.002276201033964753,0.01708984375,0.7469451427459717,2056.3759131671304,3.0,,
2048,0.0,500.0,1.0,-0.00607746047899127,0.004577997024171054,1.5977796465158463,0.004511124454438686,0.07177734375,1.0966041088104248,1867.5837374179011,4.0,,
2560,0.0,500.0,1.0,-0.0055254262406378984,0.0035268341889604926,1.5961453467607498,0.0016503375954926014,0.01416015625,1.3867292404174805,1846.0705416648614,5.0,,
3072,0.5,500.0,1.0,-0.005316720460541546,0.0059967135020997375,1.5884198099374771,0.0010573540348559618,0.00927734375,1.7561111450195312,1749.3198017178086,6.0,,
3584,1.0,500.0,1.0,-0.005682681920006871,0.007717625558143482,1.5915311425924301,0.003979172790423036,0.03564453125,1.9736802577972412,1815.8969700593666,7.0,,
4096,1.5,500.0,1.0,-0.005467709386721253,0.004369460672023706,1.5917520374059677,0.004352583549916744,0.02197265625,2.19063401222229,1869.7783277110768,8.0,,
4608,1.0,500.0,1.0,-0.005967355624306947,0.0080682385887485,1.585080087184906,0.0032525118440389633,0.0263671875,2.4556031227111816,1876.5247353621219,9.0,,
5120,4.0,500.0,1.0,-0.0059506886173039675,0.011640055425232276,1.592338353395462,0.007538649253547192,0.04345703125,2.727756977081299,1877.0000564633885,10.0,,
5632,3.0,500.0,1.0,-0.006547191645950079,0.0215966806281358,1.5998735129833221,0.0008721817284822464,0.0458984375,2.9466311931610107,1911.3352268419615,11.0,,
6144,2.5,500.0,1.0,-0.007349705323576927,0.011809564311988652,1.5993381887674332,0.007464154157787561,0.0439453125,3.1530680656433105,1948.5782964683508,12.0,,
6656,1.0,500.0,1.0,-0.007800216961186379,0.0038080199592513964,1.595453530550003,0.00531113613396883,0.0400390625,3.350886106491089,1986.340265969198,13.0,,
7168,1.5,500.0,1.0,-0.005944601958617568,0.005727114068577066,1.5995282977819443,0.004598422907292843,0.04296875,3.5523011684417725,2017.8469279800013,14.0,,
7680,0.5,500.0,1.0,-0.004040799627546221,0.00425600292510353,1.5960102081298828,0.000944977393373847,0.0,3.757652997970581,2043.8289549747635,15.0,,
8192,0.5,500.0,1.0,-0.0049876410048455,0.003703147973283194,1.5951609760522842,0.0019722238648682833,0.0234375,3.9559202194213867,2070.8203264013764,16.0,,
8704,1.5,500.0,1.0,-0.006417558994144201,0.011167722725076601,1.593506544828415,0.00020155240781605244,0.01513671875,4.151614189147949,2096.533927153369,17.0,,
9216,0.5,500.0,1.0,-0.00962728203739971,0.028610137989744544,1.5872018337249756,0.004906301619485021,0.052734375,4.344352960586548,2121.3745944702687,18.0,,
9728,3.5,500.0,1.0,-0.006637569749727845,0.013102752811391838,1.5850552543997765,0.005473785335198045,0.103515625,4.563314199447632,2131.783956751768,19.0,,
10240,2.0,500.0,1.0,-0.008258002286311239,0.001370494002912892,1.583310917019844,0.005522161955013871,0.078125,4.78804612159729,2138.6594322495666,20.0,,
10752,1.0,500.0,1.0,-0.0045555466786026955,0.022143412264995277,1.5727908611297607,0.0030480807181447744,0.05224609375,4.993394136428833,2153.2448082877745,21.0,,
11264,4.5,500.0,1.0,-0.006976989796385169,0.023182420525699854,1.574146330356598,0.010708367684856057,0.06982421875,5.204340934753418,2164.3470597365254,22.0,,
11776,5.5,500.0,1.0,-0.011917306808754802,0.03451426129322499,1.5658006444573402,0.013168170349672437,0.138671875,5.404037237167358,2179.111557375693,23.0,,
12288,3.0,500.0,1.0,-0.007737877080217004,0.0027141824466525577,1.5659947469830513,0.005968930199742317,0.0654296875,5.601990222930908,2193.506148886321,24.0,,
12800,2.5,500.0,1.0,-0.0025042120832949877,0.020070364931598306,1.5563810169696808,0.003809261368587613,0.05908203125,5.79674220085144,2208.136839019666,25.0,20.816666666666666,500.0
13312,4.5,500.0,1.0,-0.00688630755757913,0.025549292331561446,1.5649901255965233,0.008701638085767627,0.06103515625,10.688083171844482,1245.4992898135072,26.0,,
13824,2.0,500.0,1.0,-0.005038124043494463,0.011887739645317197,1.5659653544425964,0.011851169168949127,0.083984375,10.922954082489014,1265.5916975941298,27.0,,
14336,2.5,500.0,1.0,-0.006161805358715355,0.02661578543484211,1.551488995552063,0.006642153486609459,0.056640625,11.121320247650146,1289.055586995536,28.0,,
14848,1.0,500.0,1.0,-0.010123587970156223,0.007807233923813328,1.5206894353032112,0.006729064276441932,0.08935546875,11.324507236480713,1311.138726828548,29.0,,
15360,1.0,500.0,1.0,-0.010863237315788865,0.003544610386597924,1.5335108265280724,0.00928619154728949,0.16650390625,11.52114725112915,1333.2005628601453,30.0,,
15872,0.0,500.0,1.0,-0.005688588542398065,0.0014255971072998364,1.5558436438441277,0.007702789036557078,0.064453125,11.722994089126587,1353.9203278044586,31.0,,
16384,7.0,500.0,1.0,-0.005152535624802113,0.07450802251696587,1.554095670580864,0.0038676054682582617,0.02197265625,11.918071031570435,1374.7191098794026,32.0,,
16896,2.0,500.0,1.0,-0.009282030980102718,0.01106402077130042,1.5110843628644943,0.00039623724296689034,0.13330078125,12.115565061569214,1394.5697055100145,33.0,,
17408,1.0,500.0,1.0,-0.007383431540802121,0.010639418265782297,1.504413589835167,0.005591371096670628,0.04345703125,12.335885047912598,1411.1674948645598,34.0,,
17920,4.5,500.0,1.0,-0.009499577339738607,0.09652930032461882,1.4885861724615097,0.013589234091341496,0.1123046875,12.547399282455444,1428.1844067126215,35.0,,
18432,5.5,500.0,1.0,-0.01227564678993076,0.0208280953229405,1.5016067177057266,0.021201176336035132,0.1416015625,12.755754947662354,1444.9948337536766,36.0,,
18944,2.0,500.0,1.0,-0.008575135725550354,0.0513067371211946,1.5049112737178802,0.006590192439034581,0.095703125,12.987471103668213,1458.6365466214136,37.0,,
19456,5.5,500.0,1.0,-0.010694080498069525,0.011753086757380515,1.5252680853009224,0.008466741070151329,0.13671875,13.262652158737183,1466.9765720412684,38.0,,
19968,5.0,500.0,1.0,-0.012251508538611233,0.024318083364050835,1.4756015464663506,0.011593216913752258,0.13330078125,13.60713815689087,1467.4650738287603,39.0,,
20480,0.0,500.0,1.0,-0.008795266156084836,0.023852080514188856,1.4421642646193504,0.015629825182259083,0.138671875,13.869170188903809,1476.6564777166886,40.0,,
20992,4.0,500.0,1.0,-0.005827147630043328,0.012005328841041774,1.41933211684227,0.001730727730318904,0.19287109375,14.082358121871948,1490.6594348993565,41.0,,
21504,2.5,500.0,1.0,-0.005994501640088856,0.004429490152688231,1.4251655861735344,0.0057721579214558005,0.03369140625,14.28422212600708,1505.4372446958782,42.0,,
22016,3.0,500.0,1.0,-0.008863326394930482,0.01938436517957598,1.405432440340519,0.008878471562638879,0.0732421875,14.492122173309326,1519.170190308475,43.0,,
22528,0.0,500.0,1.0,-0.0055758049711585045,0.3281191363930702,1.3943567425012589,-0.0005836489144712687,0.0908203125,14.695809125900269,1532.9540419993668,44.0,,
23040,13.0,500.0,1.0,-0.004216064931824803,0.021912049443926662,1.402475193142891,0.00871919805649668,0.11181640625,14.899314165115356,1546.3799034417914,45.0,,
