step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,1.0,500.0,1.0,-0.009336535120382905,0.07711031474173069,3.6875402480363846,0.009291875641793013,0.0615234375,0.20116901397705078,2545.123574838462,1.0,,
1024,0.0,500.0,1.0,-0.01744583243271336,0.014547626284183934,3.6864261478185654,0.006963799707591534,0.099609375,0.3871140480041504,2645.2152932177273,2.0,,
1536,1.5,500.0,1.0,-0.012703551328741014,0.015121849195566028,3.6840857565402985,0.0093747703358531,0.125,0.644197940826416,2384.3603070657546,3.0,,
2048,1.5,500.0,1.0,-0.013530382595490664,0.007755494065349922,3.6820017099380493,0.001457521691918373,0.06201171875,0.8239409923553467,2485.614891116796,4.0,,
2560,1.5,500.0,1.0,-0.012077525956556201,0.011205434624571353,3.6683484315872192,0.008439469616860151,0.1220703125,1.0032310485839844,2551.755155119377,5.0,,
3072,2.0,500.0,1.0,-0.014250930864363909,0.01237104315077886,3.6786686778068542,0.00823605339974165,0.083984375,1.1858279705047607,2590.594990513143,6.0,,
3584,0.0,500.0,1.0,-0.015533027006313205,0.007883167199906893,3.6724640280008316,0.01824460318312049,0.1162109375,1.3741178512573242,2608.2187904921134,7.0,,
4096,2.0,500.0,1.0,-0.015265093359630555,0.003964053612435237,3.672346904873848,0.0009226822294294834,0.10546875,1.5588228702545166,2627.6237526148343,8.0,,
4608,0.5,500.0,1.0,-0.014081246801652014,0.004182139542535879,3.670355886220932,0.004654317628592253,0.09912109375,1.7421729564666748,2644.9727525018807,9.0,,
5120,1.0,500.0,1.0,-0.010914501617662609,0.04664836428128183,3.662019670009613,0.005100646056234837,0.06689453125,1.924436092376709,2660.5196297668263,10.0,,
5632,5.0,500.0,1.0,-0.011955707770539448,0.008405759392189793,3.6693902015686035,-6.914185360074043e-05,0.0791015625,2.11149001121521,2667.310747427433,11.0,,
6144,1.0,500.0,1.0,-0.017767727840691805,0.0038558563683182,3.667757585644722,0.010766364634037018,0.13427734375,2.2977190017700195,2673.956212777561,12.0,,
6656,0.5,500.0,1.0,-0.013341274345293641,0.012285429838811979,3.6630655378103256,0.0031845606863498688,0.06884765625,2.4780380725860596,2685.9958584308006,13.0,,
7168,2.5,500.0,1.0,-0.012981856008991599,0.013901206490118057,3.659784495830536,0.003971302416175604,0.05224609375,2.6864888668060303,2668.166649996969,14.0,,
7680,3.5,500.0,1.0,-0.014788148168008775,0.017174833337776363,3.6573713272809982,0.00880800187587738,0.0576171875,2.8715221881866455,2674.539668053162,15.0,,
8192,1.5,500.0,1.0,-0.021122645819559693,0.005199613486183807,3.6372208893299103,0.013570253271609545,0.15673828125,3.0535528659820557,2682.7765424540517,16.0,,
8704,1.0,500.0,1.0,-0.023437411058694124,0.008201067801564932,3.632196843624115,0.026683220639824867,0.17578125,3.2406668663024902,2685.866940075522,17.0,,
9216,4.0,500.0,1.0,-0.014355633989907801,0.01666067825863138,3.6314536780118942,0.0056780856102705,0.041015625,3.424036979675293,2691.5597158281766,18.0,,
9728,0.5,500.0,1.0,-0.018743629101663828,0.020555479917675257,3.6313465386629105,0.013050906360149384,0.1201171875,3.604789972305298,2698.6315637631587,19.0,,
10240,3.5,500.0,1.0,-0.01705386902904138,0.027581537258811295,3.613633468747139,0.008510714396834373,0.1259765625,3.7888500690460205,2702.666986919936,20.0,,
10752,5.5,500.0,1.0,-0.013759535853751004,0.01524767343653366,3.640356123447418,0.00595911405980587,0.06494140625,3.9719350337982178,2706.99291617523,21.0,,
11264,1.0,500.0,1.0,-0.013230079901404679,0.005359799251891673,3.639347568154335,0.006001035217195749,0.05908203125,4.15564489364624,2710.5299630442573,22.0,,
11776,3.0,500.0,1.0,-0.013384471298195422,0.0250894941855222,3.6206563115119934,0.0004325699992477894,0.0849609375,4.339493036270142,2713.681045590903,23.0,,
12288,3.5,500.0,1.0,-0.015939762874040753,0.0020663643008447252,3.634248286485672,0.002553024794906378,0.1162109375,4.522432088851929,2717.1220614435915,24.0,,
12800,0.0,500.0,1.0,-0.015922808612231165,0.0011806990805780515,3.6240313351154327,0.011767439544200897,0.13427734375,4.701026916503906,2722.809340883161,25.0,5.583333333333333,500.0
13312,3.5,500.0,1.0,-0.016431118012405932,0.023987575084902346,3.6511565893888474,0.010814360342919827,0.06201171875,9.211932897567749,1445.0821720070066,26.0,,
13824,1.5,500.0,1.0,-0.01746706140693277,0.008392735355300829,3.604215368628502,0.013358989264816046,0.1796875,9.38760495185852,1472.580074565577,27.0,,
14336,0.0,500.0,1.0,-0.017157404276076704,0.0022227543959161267,3.643137112259865,0.005297820549458265,0.15234375,9.562243938446045,1499.2296883747704,28.0,,
14848,1.0,500.0,1.0,-0.022949655598495156,0.003101342481386382,3.629706099629402,0.01834967080503702,0.19580078125,9.740547895431519,1524.3495704142026,29.0,,
15360,1.0,500.0,1.0,-0.01074856152990833,0.011705565004376695,3.622848257422447,0.0016732821241021156,0.06884765625,9.921173095703125,1548.204012956133,30.0,,
15872,5.0,500.0,1.0,-0.017051554983481765,0.02429952984675765,3.586592420935631,0.01386226899921894,0.13623046875,10.105434894561768,1570.6399739947367,31.0,,
16384,0.0,500.0,1.0,-0.016310142003931105,0.003895089277648367,3.607552096247673,0.012678372673690319,0.08740234375,10.28700304031372,1592.6893319456374,32.0,,
16896,7.0,500.0,1.0,-0.014673330908408388,0.06371948146261275,3.6112362146377563,0.012948891147971153,0.0927734375,10.469825029373169,1613.7805505438869,33.0,,
17408,2.0,500.0,1.0,-0.016288153012283146,0.013841618114383891,3.5896797478199005,0.00922222901135683,0.091796875,10.654375076293945,1633.882782926698,34.0,,
17920,0.0,500.0,1.0,-0.015122035460080951,0.0015857132166274823,3.626384660601616,0.0051145125180482864,0.0751953125,10.838293075561523,1653.3968840911398,35.0,,
18432,2.0,500.0,1.0,-0.01582018274348229,0.029897717176936567,3.607307583093643,0.006125698797404766,0.11865234375,11.03416395187378,1670.4482623597366,36.0,,
18944,4.5,500.0,1.0,-0.018688539799768478,0.0060269224777584895,3.6042467802762985,0.009334600996226072,0.14013671875,11.230077981948853,1686.8983483864004,37.0,,
19456,8.5,500.0,1.0,-0.014357930980622768,0.09751069406047463,3.574270188808441,0.00932657765224576,0.10302734375,11.409714937210083,1705.2135050761754,38.0,,
19968,1.5,500.0,1.0,-0.016107430099509656,0.0019861203218169976,3.589437037706375,0.010633355937898159,0.1337890625,11.59712290763855,1721.8063617182065,39.0,,
