step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,1.5,500.0,1.0,-0.008897509891539812,0.0612338466453366,1.6078140959143639,0.007651594001799822,0.080078125,0.2500920295715332,2047.2463711745515,1.0,,
1024,0.5,500.0,1.0,-0.005610241671092808,0.009318950571469031,1.607646457850933,0.0027105966582894325,0.01611328125,0.47830986976623535,2140.8715661678903,2.0,,
1536,2.0,500.0,1.0,-0.008818006375804543,0.013038197706919163,1.6047875434160233,0.005306130275130272,0.08349609375,0.7421650886535645,2069.6203896987536,3.0,,
2048,3.0,500.0,1.0,-0.005309465079335496,0.027287821634672582,1.601614110171795,0.012893942417576909,0.064453125,1.087630271911621,1882.9928265976187,4.0,,
2560,2.0,500.0,1.0,-0.008654232486151159,0.011468960088677704,1.5979145467281342,0.006849086843430996,0.05517578125,1.3873012065887451,1845.3094308876302,5.0,,
3072,1.5,500.0,1.0,-0.005806289438623935,0.007465507602319121,1.5905362218618393,-0.00043135485611855984,0.01318359375,1.7542920112609863,1751.1337794851179,6.0,,
3584,0.0,500.0,1.0,-0.005604930163826793,0.0025777935807127506,1.5918080285191536,0.002148888073861599,0.05126953125,1.9606940746307373,1827.9241246113238,7.0,,
4096,6.5,500.0,1.0,-0.007984595256857574,0.08245440782047808,1.597064159810543,0.001689224736765027,0.0478515625,2.1758320331573486,1882.4982524300356,8.0,,
4608,0.5,500.0,1.0,-0.01095567038282752,0.003769553317397367,1.5853430926799774,0.008248307043686509,0.15283203125,2.4062931537628174,1914.9786437260502,9.0,,
5120,0.0,500.0,1.0,-0.0054875779314897954,0.0043105309960083105,1.585116907954216,-0.0004160229582339525,0.0244140625,2.6940040588378906,1900.5168099889977,10.0,,
5632,3.0,500.0,1.0,-0.005464675021357834,0.02265934500610456,1.5866480320692062,0.004854170838370919,0.03759765625,2.912954092025757,1933.432461368911,11.0,,
6144,4.0,500.0,1.0,-0.004390937625430524,0.013738873647525907,1.5805284976959229,0.0027743198443204165,0.00341796875,3.119494915008545,1969.5496121631506,12.0,,
6656,0.0,500.0,1.0,-0.007389769540168345,0.007609857188072056,1.5768558010458946,0.010908767115324736,0.05029296875,3.3120551109313965,2009.6283959865145,13.0,,
7168,8.0,500.0,1.0,-0.00775982765480876,0.1381863271817565,1.5664542391896248,0.005681365262717009,0.12451171875,3.508665084838867,2042.9422092673701,14.0,,
7680,1.0,500.0,1.0,-0.0031904688803479075,0.010931018478004262,1.5761331468820572,0.0025797991547733545,0.0146484375,3.7105600833892822,2069.7683981403075,15.0,,
