step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,1.5,500.0,1.0,-0.017482959665358067,0.07901728455908597,3.6868684142827988,0.008760764263570309,0.10205078125,0.209122896194458,2448.3211036055295,1.0,,
1024,2.0,500.0,1.0,-0.014774241077248007,0.0666266493499279,3.6835306137800217,0.006242183968424797,0.087890625,0.41088390350341797,2492.1881613487976,2.0,,
1536,0.5,500.0,1.0,-0.011486323841381818,0.023537944769486785,3.6816751211881638,0.0037708915770053864,0.037109375,0.6565818786621094,2339.388353406655,3.0,,
2048,0.5,500.0,1.0,-0.01093410316389054,0.03682344639673829,3.679340973496437,0.010328941512852907,0.05322265625,0.8884539604187012,2305.1278864634023,4.0,,
2560,3.5,500.0,1.0,-0.0092877265997231,0.016402130073402077,3.6791301369667053,-0.0034273341298103333,0.02001953125,1.077582836151123,2375.6874312732452,5.0,,
3072,2.0,500.0,1.0,-0.013356409501284361,0.03279156796634197,3.671116381883621,0.0034989179112017155,0.06787109375,1.283466100692749,2393.5186120941507,6.0,,
3584,3.0,500.0,1.0,-0.011157800734508783,0.015723626129329205,3.6688332706689835,0.0017848317511379719,0.037109375,1.4831781387329102,2416.4325959266343,7.0,,
4096,0.5,500.0,1.0,-0.009419894427992404,0.016546945786103606,3.661477655172348,0.0062154424376785755,0.02734375,1.6819639205932617,2435.2484318184784,8.0,,
4608,3.0,500.0,1.0,-0.014378599647898227,0.009965483273845166,3.6621939092874527,0.0059929476119577885,0.06005859375,1.8856580257415771,2443.7092712968465,9.0,,
5120,4.0,500.0,1.0,-0.0125519540742971,0.03880353446584195,3.6423907577991486,0.01208367757499218,0.1220703125,2.080404043197632,2461.0603967729435,10.0,,
5632,1.0,500.0,1.0,-0.009149721008725464,0.006705332387355156,3.6436071693897247,0.0005151820369064808,0.0234375,2.273715019226074,2477.003473336345,11.0,,
6144,0.0,500.0,1.0,-0.010620859335176647,0.002514688210794702,3.6532644480466843,0.0019267494790256023,0.0390625,2.4619460105895996,2495.586813672085,12.0,,
6656,0.5,500.0,1.0,-0.013044576393440366,0.006504449047497474,3.6456280052661896,0.007241337560117245,0.04736328125,2.6556289196014404,2506.3742719743163,13.0,,
7168,1.0,500.0,1.0,-0.014118304301518947,0.0017357198885292746,3.6528303772211075,0.0018355641514062881,0.0498046875,2.8578200340270996,2508.20552541904,14.0,,
7680,1.5,500.0,1.0,-0.013393906177952886,0.013823209854308516,3.633408308029175,0.01083475723862648,0.1259765625,3.0917680263519287,2484.0155970763,15.0,,
8192,5.0,500.0,1.0,-0.011665596219245344,0.06989559740759432,3.6250532418489456,0.01065131090581417,0.0888671875,3.2805259227752686,2497.1605751158672,16.0,,
