step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.0023355442099273205,0.07649176043923944,3.673335090279579,1.8542038798332214,0.679931640625,0.03663926594890654,0.35986328125,0.38329386711120605,1335.7897006253222,1.0,,
1024,0.0,500.0,1.0,0.012591687962412834,0.009330236323876306,3.6272418200969696,1.4821231439709663,0.9052734375,0.013211592799052596,0.32666015625,0.7358336448669434,1391.618889871724,2.0,,
1536,0.0,500.0,1.0,-0.0018946405034512281,0.010603200877085328,3.544734552502632,1.3480991423130035,0.798828125,0.01963057555258274,0.24755859375,1.0935559272766113,1404.5920850388056,3.0,,
2048,0.0,500.0,1.0,-0.0009633779991418123,0.006801975003327243,3.449553743004799,1.6958275958895683,0.4150390625,0.015977285336703062,0.08740234375,1.457463026046753,1405.1814443314074,4.0,,
2560,0.0,500.0,1.0,0.0009584059007465839,0.0032474773906869814,3.4834881871938705,1.568671852350235,0.5791015625,-0.004144180100411177,0.173828125,1.8757476806640625,1364.7891059066615,5.0,,
3072,0.0,500.0,1.0,0.0009518006991129369,0.0025204776393366046,3.331134334206581,0.8936726525425911,0.94140625,0.02220927900634706,0.19580078125,2.229717969894409,1377.7527209620498,6.0,,
3584,0.0,500.0,1.0,-0.0054993549711070955,0.002014296165725682,3.2058952897787094,1.0221877619624138,0.8203125,0.010760393226519227,0.0478515625,2.604387044906616,1376.1395438551297,7.0,,
4096,0.0,500.0,1.0,-0.0008371580624952912,0.0028840607628808357,3.132724940776825,1.2697847336530685,0.6826171875,0.015659200958907604,0.1396484375,2.9689526557922363,1379.6110867611737,8.0,,
4608,0.0,500.0,1.0,-0.007966671430040151,0.0018025433892034926,3.3803008645772934,1.0892562568187714,0.88671875,0.0028605195693671703,0.15771484375,3.337862730026245,1380.5241175881933,9.0,,
5120,0.0,500.0,1.0,-0.006786980666220188,0.00108726311736973,3.0171957165002823,0.8840963877737522,0.828125,0.016536319511942565,0.228515625,3.7000627517700195,1383.7603152948466,10.0,,
5632,0.0,500.0,1.0,-0.009108233964070678,0.0036879364342894405,2.939865916967392,1.022160079330206,0.75390625,0.013863417669199407,0.16650390625,4.072365760803223,1382.979901807533,11.0,,
6144,0.0,500.0,1.0,-0.003923646057955921,0.008037134321057238,2.9204186499118805,1.2089307084679604,0.62109375,0.014924990246072412,0.166015625,4.435656785964966,1385.1387283706147,12.0,,
6656,0.5,500.0,1.0,-0.004748046747408807,0.009260864680982195,2.8373148143291473,0.7765176296234131,0.833984375,0.021657770150341094,0.2119140625,4.795365810394287,1388.0067263216206,13.0,,
