step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.5,500.0,1.0,-0.005082587245851755,0.15773637010715902,1.6064402014017105,0.0,0.0,0.01411504636052996,0.11181640625,0.5007569789886475,1022.4520505616506,1.0,,
1024,0.0,500.0,1.0,-0.0035300222225487232,0.026620607415679842,1.6069825142621994,0.0,0.0,0.0014554742956534028,0.00732421875,0.8775250911712646,1166.9182001773077,2.0,,
1536,0.5,500.0,1.0,-0.002368893736274913,0.007448138436302543,1.6017586141824722,0.0,0.0,-0.00012050324585288763,0.0068359375,1.247406244277954,1231.3550674015544,3.0,,
2048,0.0,500.0,1.0,-0.004547401505988091,0.018114660313585773,1.587592139840126,0.0,0.0,-0.0013906540116295218,0.052734375,1.6305620670318604,1256.008612863176,4.0,,
2560,0.0,500.0,1.0,-0.004295554710552096,0.005880700453417376,1.6035049706697464,0.0,0.0,0.001663321047089994,0.00244140625,2.08682918548584,1226.7415166536498,5.0,,
3072,0.0,500.0,1.0,-0.0018126735230907798,0.005355610555852763,1.592849239706993,0.0,0.0,0.004558919230476022,0.001953125,2.4741103649139404,1241.6584334979157,6.0,,
3584,0.0,500.0,1.0,-0.013203670736402273,0.00540857799933292,1.5801789686083794,0.0,0.0,0.015337731689214706,0.12109375,2.850360155105591,1257.384963644088,7.0,,
4096,0.0,500.0,1.0,-0.004391918890178204,0.007185654321801849,1.5764973610639572,0.0,0.0,0.006479880888946354,0.056640625,3.2335691452026367,1266.7117405164743,8.0,,
4608,1.0,500.0,1.0,-0.0034525904338806868,0.010440051672048867,1.5781282261013985,0.0,0.0,0.007946170051582158,0.02490234375,3.6114511489868164,1275.9413902892645,9.0,,
5120,0.5,500.0,1.0,-0.001766042085364461,0.003164384288538713,1.5848800092935562,0.0,0.0,-0.0002836533822119236,0.0,3.9919350147247314,1282.5860093198576,10.0,,
5632,0.0,500.0,1.0,-0.007698583649471402,0.00419077934930101,1.5674491226673126,0.0,0.0,0.005101960618048906,0.03564453125,4.370501279830933,1288.6393663790134,11.0,,
6144,0.0,500.0,1.0,-0.00312721508089453,0.0026272652321495116,1.5524866431951523,0.0,0.0,0.001894262502901256,0.0078125,4.7486960887908936,1293.828850092695,12.0,,
6656,0.0,500.0,1.0,-0.00693237705854699,0.002629388625791762,1.5327859446406364,0.0,0.0,0.0010506270918995142,0.10595703125,5.137955188751221,1295.456997089486,13.0,,
7168,0.0,500.0,1.0,-0.004114523879252374,0.002106461237417534,1.5232703909277916,0.0,0.0,0.006614770973101258,0.08056640625,5.528302192687988,1296.6006108495224,14.0,,
7680,0.0,500.0,1.0,-0.005847741849720478,0.0023065574932843447,1.5379930213093758,0.0,0.0,0.004787478246726096,0.08837890625,5.90805196762085,1299.920860901416,15.0,,
8192,0.0,500.0,1.0,-0.003006729355547577,0.0018607787205837667,1.5663433372974396,0.0,0.0,0.0016744445310905576,0.00341796875,6.299420356750488,1300.4371094590338,16.0,,
8704,0.0,500.0,1.0,-0.009527881280519068,0.0029125341898179613,1.5534806177020073,0.0,0.0,0.006915844744071364,0.09716796875,6.685634136199951,1301.895949237101,17.0,,
9216,0.0,500.0,1.0,-0.003988784970715642,0.008772754772508051,1.5192821994423866,0.0,0.0,0.006840144982561469,0.0478515625,7.07045316696167,1303.4525202802974,18.0,,
9728,0.0,500.0,1.0,-0.006651296745985746,0.0021037372389400844,1.5308440998196602,0.0,0.0,0.004750420222990215,0.0966796875,7.463144302368164,1303.4720495640377,19.0,,
10240,0.0,500.0,1.0,-0.006684711610432714,0.0012683681852649897,1.5295457541942596,0.0,0.0,0.007657384732738137,0.05615234375,7.844749212265015,1305.3317222671806,20.0,,
10752,0.0,500.0,1.0,-0.004284671740606427,0.012780686025507748,1.5490454733371735,0.0,0.0,0.0010053253499791026,0.00634765625,8.221400260925293,1307.8064148150227,21.0,,
11264,1.5,500.0,1.0,-0.004132255096919835,0.004043884975544643,1.524146631360054,0.0,0.0,0.010337722836993635,0.05224609375,8.608811140060425,1308.4268915580994,22.0,,
11776,0.0,500.0,1.0,-0.006107324035838246,0.0024837728269631043,1.5087263211607933,0.0,0.0,-0.0013276581303216517,0.06494140625,8.99098539352417,1309.7563264291098,23.0,,
12288,0.0,500.0,1.0,-0.006778026814572513,0.0051701279589906335,1.5363873988389969,0.0,0.0,0.006510563485790044,0.060546875,9.370208024978638,1311.3903092912406,24.0,,
12800,1.0,500.0,1.0,-0.00895565643440932,0.01182934214011766,1.534573271870613,0.0,0.0,0.00649435434024781,0.07763671875,9.749150276184082,1312.934936624041,25.0,0.0,500.0
13312,0.0,500.0,1.0,-0.004671821603551507,0.0018936898704851046,1.547570288181305,0.0,0.0,0.004679562000092119,0.05908203125,19.062849044799805,698.3216395783928,26.0,,
13824,0.0,500.0,1.0,-0.002316390862688422,0.0009812803982640617,1.5693248808383942,0.0,0.0,0.0015653484733775258,0.005859375,19.447254180908203,710.8458536820754,27.0,,
14336,0.0,500.0,1.0,-0.005921373376622796,0.0011820953186543193,1.5817609503865242,0.0,0.0,0.008739228127524257,0.1103515625,19.816225051879883,723.4475770469716,28.0,,
14848,0.0,500.0,1.0,-0.0017319379840046167,0.0012318386980041396,1.5659600421786308,0.0,0.0,0.002904122113250196,0.0009765625,20.215153217315674,734.4985140791148,29.0,,
15360,0.0,500.0,1.0,-0.007038468029350042,0.0018342664225201588,1.5532706826925278,0.0,0.0,0.004725421313196421,0.0576171875,20.607934951782227,745.343967551277,30.0,,
15872,0.0,500.0,1.0,-0.006246836157515645,0.0010917215004155878,1.5226299315690994,0.0,0.0,0.0075994948274455965,0.095703125,20.99348211288452,756.0441814585267,31.0,,
16384,0.0,500.0,1.0,-0.003408895689062774,0.0009432578226551414,1.5294251143932343,0.0,0.0,0.008808187558315694,0.03125,21.375476360321045,766.4858421781588,32.0,,
16896,0.0,500.0,1.0,-0.004565178707707673,0.0010938546329271048,1.5263370424509048,0.0,0.0,0.0014425921253859997,0.02099609375,21.759379386901855,776.4927344467652,33.0,,
17408,0.0,500.0,1.0,-0.0040597291372250766,0.0009560583930579014,1.5050765052437782,0.0,0.0,0.0026787628303281963,0.02197265625,22.145657062530518,786.0683451769681,34.0,,
17920,0.0,500.0,1.0,-0.005773341632448137,0.000904623757378431,1.5289646089076996,0.0,0.0,0.010129198315553367,0.09130859375,22.535665273666382,795.1839798108854,35.0,,
18432,0.0,500.0,1.0,-0.004407698288559914,0.0006835885578766465,1.4650385975837708,0.0,0.0,0.0017526534502394497,0.05078125,22.916521310806274,804.3105561273996,36.0,,
18944,0.0,500.0,1.0,-0.005711033591069281,0.0007070498977554962,1.4846920520067215,0.0,0.0,0.008203648671042174,0.0615234375,23.30651330947876,812.8199936408109,37.0,,
