step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.013768390228506178,0.07607742794789374,1.6025734469294548,0.0,0.0,0.002526640018913895,0.15673828125,0.42368197441101074,1208.4535829303718,1.0,,
1024,1.0,500.0,1.0,-0.005413418402895331,0.025300246197730303,1.597506396472454,0.0,0.0,-0.0019546408439055085,0.02587890625,0.8107709884643555,1262.9953643747317,2.0,,
1536,0.0,500.0,1.0,-0.007658018730580807,0.014752467075595632,1.5610023140907288,0.0,0.0,0.0044543720432557166,0.021484375,1.2189290523529053,1260.1225617151802,3.0,,
2048,0.0,500.0,1.0,-0.0074692966882139444,0.015949613880366087,1.5361146107316017,0.0,0.0,0.01761660008924082,0.06591796875,1.6062161922454834,1275.0462919545748,4.0,,
2560,0.0,500.0,1.0,-0.007844804204069078,0.009823088184930384,1.5177294090390205,0.0,0.0,0.008141832571709529,0.09375,2.070176839828491,1236.6093324723358,5.0,,
3072,0.5,500.0,1.0,-0.0013713422231376171,0.0059357342252042145,1.5579729154706001,0.0,0.0,0.0003887260681949556,0.0,2.4667770862579346,1245.349657702626,6.0,,
3584,0.0,500.0,1.0,-0.0004804820637218654,0.005691905942512676,1.54636649787426,0.0,0.0,0.00044905609684064984,0.0,2.8714640140533447,1248.1437978882566,7.0,,
4096,0.0,500.0,1.0,-0.0024506327463313937,0.002051388619292993,1.554509200155735,0.0,0.0,0.0007390803075395525,0.04296875,3.283597946166992,1247.4121579900916,8.0,,
4608,0.0,500.0,1.0,-0.0006817611865699291,0.002745294914348051,1.48140300065279,0.0,0.0,0.009031777852214873,0.0302734375,3.6741480827331543,1254.1682850660077,9.0,,
5120,0.0,500.0,1.0,-0.009068418963579461,0.004759429240948521,1.4991703480482101,0.0,0.0,0.0016753393865656108,0.05810546875,4.067774057388306,1258.673645037028,10.0,,
5632,1.0,500.0,1.0,-0.009772580582648516,0.006458156683947891,1.214048832654953,0.0,0.0,0.003941580333048478,0.08642578125,4.476988077163696,1257.9886081733855,11.0,,
6144,0.0,500.0,1.0,-0.003421082627028227,0.0030928549604141153,1.2289055436849594,0.0,0.0,0.004526373144472018,0.03564453125,4.88062310218811,1258.8556566159523,12.0,,
6656,0.0,500.0,1.0,-0.002834270999301225,0.0026496570353629068,1.3332246467471123,0.0,0.0,-0.0004791058599948883,0.021484375,5.289620876312256,1258.3132431676913,13.0,,
7168,0.0,500.0,1.0,-0.005617764312773943,0.0023499272574554197,1.4488351494073868,0.0,0.0,0.003952609491534531,0.0185546875,5.692178964614868,1259.2717208224647,14.0,,
7680,0.0,500.0,1.0,-0.0017224719049409032,0.004690530928201042,1.3895103111863136,0.0,0.0,0.0013240890693850815,0.03857421875,6.087316989898682,1261.6395717102005,15.0,,
8192,0.0,500.0,1.0,-0.00450082344468683,0.009446884912904352,1.4569783359766006,0.0,0.0,0.008284664247184992,0.0341796875,6.4873950481414795,1262.7564591348355,16.0,,
8704,2.0,500.0,1.0,-0.007757231825962663,0.0010954285462503321,1.5361228212714195,0.0,0.0,0.00011216499842703342,0.02490234375,6.8993730545043945,1261.563903160363,17.0,,
9216,0.0,500.0,1.0,-0.002269492717459798,0.001255353829037631,1.550766184926033,0.0,0.0,0.0011620231671258807,0.02099609375,7.309943914413452,1260.7483871152915,18.0,,
9728,0.0,500.0,1.0,-0.00430383428465575,0.0013327704382390948,1.5852635353803635,0.0,0.0,-0.0015230514691211283,0.00830078125,7.71196985244751,1261.4157194757022,19.0,,
10240,0.0,500.0,1.0,-0.01445070537738502,0.010881375928875059,1.5900642424821854,0.0,0.0,0.0004269331693649292,0.12060546875,8.13116192817688,1259.3526104203352,20.0,,
10752,0.5,500.0,1.0,-0.00857367622666061,0.001355281925498275,1.5742209926247597,0.0,0.0,0.0063059922540560365,0.0263671875,8.538307905197144,1259.2659013216676,21.0,,
11264,0.0,500.0,1.0,-0.005101246293634176,0.003225921405828558,1.4736234992742538,0.0,0.0,0.007392253959551454,0.0986328125,8.940479040145874,1259.8877475603606,22.0,,
11776,0.0,500.0,1.0,-0.0029044123948551714,0.0011352269611961674,1.5152772292494774,0.0,0.0,-0.0008178285788744688,0.0146484375,9.355275869369507,1258.7549703965744,23.0,,
