step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,0.007574508199468255,0.1677565035643056,3.676349014043808,1.9122764691710472,0.4931640625,0.023973667062819004,0.3388671875,0.9435160160064697,542.651095809792,1.0,,
1024,0.0,500.0,1.0,0.002297562430612743,0.026631598768290132,3.6630057394504547,1.755266286432743,0.7958984375,-0.0027922785375267267,0.12451171875,1.9050641059875488,537.5147202561868,2.0,,
1536,0.0,500.0,1.0,0.0011313844006508589,0.009829538350459188,3.6372214406728745,1.5858711749315262,0.888671875,0.018553468864411116,0.18212890625,2.8990390300750732,529.8307418649082,3.0,,
2048,0.0,500.0,1.0,0.009851661860011518,0.008976705052191392,3.4824275374412537,1.104330524802208,0.939453125,0.018159410683438182,0.30126953125,3.8275210857391357,535.07216658599,4.0,,
2560,0.0,500.0,1.0,-0.004794876091182232,0.008968989335699007,3.510846346616745,1.8450261056423187,0.419921875,0.014022785006090999,0.1064453125,5.002650022506714,511.72878144236887,5.0,,
3072,0.0,500.0,1.0,-0.002523992210626602,0.006915496735018678,3.3168060928583145,1.216074861586094,0.7529296875,0.015509614953771234,0.2294921875,6.093783140182495,504.1203353206298,6.0,,
3584,0.0,500.0,1.0,-0.005386744625866413,0.0050209079490741715,3.253474697470665,0.8080848902463913,0.9677734375,0.017837153398431838,0.24658203125,7.1154680252075195,503.69139279428833,7.0,,
4096,0.0,500.0,1.0,-0.004385399515740573,0.02431535642244853,3.029263362288475,0.8773082606494427,0.833984375,0.008355006342753768,0.1650390625,8.301525115966797,493.40331358173324,8.0,,
4608,0.0,500.0,1.0,-0.005646784091368318,0.005763750959886238,3.153854727745056,0.8635720200836658,0.9052734375,0.009411646518856287,0.2177734375,9.572742938995361,481.3667335857239,9.0,,
5120,0.0,500.0,1.0,-0.005489934730576351,0.0049656185146886855,3.094511702656746,1.3068716526031494,0.6376953125,0.010180572513490915,0.21337890625,10.581976175308228,483.84157317863804,10.0,,
5632,0.5,500.0,1.0,-0.0063865932752378285,0.0018547063300502487,3.067134454846382,1.0484000146389008,0.755859375,0.018565110978670418,0.1533203125,11.456435918807983,491.60140552560233,11.0,,
6144,0.0,500.0,1.0,-0.0037222360842861235,0.001882158663647715,3.0584378242492676,0.7562294192612171,0.9140625,0.007217798731289804,0.08935546875,12.423292875289917,494.5548705706272,12.0,,
6656,0.0,500.0,1.0,-0.006654197408352047,0.007615250287926756,3.1877876669168472,1.1576290354132652,0.7822265625,0.0067727353889495134,0.12841796875,13.441895008087158,495.16827768670237,13.0,,
7168,2.0,500.0,1.0,-0.0037418499123305082,0.02159247949020937,3.279567390680313,1.5159191489219666,0.50390625,0.014449270209297538,0.12939453125,14.375255107879639,498.63462917405474,14.0,,
7680,0.0,500.0,1.0,-0.010765559272840619,0.007228924019727856,3.189395010471344,1.250050626695156,0.5947265625,0.013938304502516985,0.16796875,15.217548131942749,504.680513142529,15.0,,
8192,1.0,500.0,1.0,-0.007053306384477764,0.0017747469755704515,3.045553371310234,1.0748784020543098,0.6953125,0.0025852809194475412,0.12890625,16.043035984039307,510.6265427659674,16.0,,
8704,0.0,500.0,1.0,-0.00563716801116243,0.001462308249756461,2.760676145553589,0.8126887530088425,0.81640625,0.009462728165090084,0.251953125,16.89059591293335,515.31633607641,17.0,,
9216,0.0,500.0,1.0,-0.0021688491106033325,0.003898965958796907,2.7820721119642258,1.1751759871840477,0.6123046875,0.01942922768648714,0.15771484375,17.693904876708984,520.8573270974965,18.0,,
9728,0.0,500.0,1.0,-0.009420190588571131,0.0027138087825733237,2.6597769260406494,0.7316666468977928,0.81640625,0.006503320182673633,0.185546875,18.50022006034851,525.831582990194,19.0,,
10240,0.0,500.0,1.0,-0.003524358384311199,0.002546476782299578,2.79739286005497,0.6195502020418644,0.9140625,0.0062944162636995316,0.0517578125,19.357056140899658,529.00605988138,20.0,,
10752,0.0,500.0,1.0,-0.009095779969356954,0.002990344204590656,2.7279226183891296,0.8533263243734837,0.7646484375,0.007138218963518739,0.15283203125,20.273528814315796,530.3467441942157,21.0,,
11264,0.0,500.0,1.0,-0.008771777618676424,0.002959795470815152,2.4362595975399017,0.4398687407374382,0.921875,0.01257970160804689,0.1396484375,21.1053729057312,533.7029603936181,22.0,,
11776,0.0,500.0,1.0,-0.008800848328974098,0.0011083159770350903,2.6067118048667908,0.7954583652317524,0.7626953125,0.021214984823018312,0.2080078125,21.926339149475098,537.0709592568676,23.0,,
12288,0.0,500.0,1.0,-0.015131967375054955,0.001050791619491065,2.5310379713773727,0.5272828005254269,0.8740234375,0.02041126019321382,0.2158203125,22.884867191314697,536.9487136313189,24.0,,
12800,0.0,500.0,1.0,-0.010518259136006236,0.03886353177949786,2.6362166702747345,0.8402504250407219,0.751953125,0.009509864845313132,0.1357421875,23.708566188812256,539.8892492301007,25.0,,
13312,3.5,500.0,1.0,-0.006266534328460693,0.0009116875990002882,2.2636616080999374,0.4207288958132267,0.9169921875,0.011745418014470488,0.10693359375,24.558940887451172,542.0429187482594,26.0,,
13824,0.0,500.0,1.0,-0.010570822167210281,0.0008598300773883238,2.3682360500097275,0.38633330911397934,0.94140625,0.00617815728764981,0.1845703125,25.388832092285156,544.4913712356491,27.0,,
14336,0.0,500.0,1.0,-0.005609701271168888,0.0009509001265541883,2.1673328280448914,0.28454419784247875,0.953125,0.006948849884793162,0.09765625,26.212414026260376,546.9164337797263,28.0,,
14848,0.0,500.0,1.0,-0.004561584151815623,0.0010774575093819294,2.422686517238617,0.754641730338335,0.78515625,0.019792166887782514,0.11474609375,27.029969930648804,549.3161863700084,29.0,,
15360,0.0,500.0,1.0,-0.009591213427484035,0.000949787277932046,2.3855568319559097,0.5799138639122248,0.884765625,0.009549200651235878,0.13623046875,27.871061086654663,551.1092653503149,30.0,,
15872,0.0,500.0,1.0,-0.004122742102481425,0.008117280463920906,2.474284917116165,0.925767507404089,0.703125,0.011954550340306014,0.09814453125,28.714190244674683,552.758056722272,31.0,,
16384,1.5,500.0,1.0,-0.002720714663155377,0.0009060150041477755,2.621982365846634,1.3675138801336288,0.482421875,0.018630790524184704,0.1875,29.646229028701782,552.6503888281355,32.0,,
16896,0.0,500.0,1.0,0.0012398339458741248,0.0014591208782803733,2.4754715114831924,1.0968442410230637,0.5498046875,0.005383940122555941,0.1376953125,30.56312084197998,552.8231258632625,33.0,,
17408,0.0,500.0,1.0,-0.00828466797247529,0.0011975229208474047,2.5748812705278397,0.8873775377869606,0.7138671875,0.019469487655442208,0.1630859375,31.33533000946045,555.539067076822,34.0,,
17920,0.0,500.0,1.0,-0.006688737601507455,0.00112298874228145,2.578437030315399,0.801477711647749,0.6103515625,0.011454281862825155,0.18017578125,32.17768597602844,556.9076661805309,35.0,,
18432,0.0,500.0,1.0,-0.0011453068000264466,0.01873623119900003,2.805728927254677,1.4411012753844261,0.49609375,0.01845367520581931,0.2490234375,32.97530817985535,558.9636918468628,36.0,,
18944,1.5,500.0,1.0,0.0051997239934280515,0.0033405312060494907,2.5159809291362762,2.4102018028497696,0.310546875,0.025348650058731437,0.171875,33.8213791847229,560.1190861121653,37.0,,
19456,0.5,500.0,1.0,0.0015543618937954307,0.0010740795132733183,2.6851198226213455,0.735154289752245,0.8193359375,0.011611743131652474,0.216796875,34.62799692153931,561.8575063433132,38.0,,
19968,0.0,500.0,1.0,-0.002249449957162142,0.011522853776114061,2.4200353771448135,0.891260027885437,0.7138671875,0.02480020240182057,0.10595703125,35.45534110069275,563.1873613425722,39.0,,
20480,1.5,500.0,1.0,-0.009845957742072642,0.0008395252007176168,2.6906827837228775,1.106095775961876,0.5673828125,0.01119567477144301,0.150390625,36.25919008255005,564.8223237577532,40.0,,
20992,0.0,500.0,1.0,-0.008606868330389261,0.0007202299238997512,2.6773975789546967,1.0965084061026573,0.5341796875,0.0053957049967721105,0.14208984375,37.103084087371826,565.7750700876294,41.0,,
21504,0.0,500.0,2.0,-0.006738706317264587,0.0011973071086686105,2.359238788485527,0.9493543468415737,0.6376953125,0.010441145859658718,0.134765625,37.92572808265686,567.0029578109434,42.0,,
22016,0.0,500.0,1.0,-0.0023132835049182177,0.009443083761652815,2.6093320846557617,1.4064917415380478,0.53515625,0.02868261799449101,0.28466796875,38.75497603416443,568.0818891641633,43.0,,
22528,0.5,500.0,1.0,-0.008109461981803179,0.0043640043077175505,2.513121470808983,0.6871206387877464,0.79296875,0.012491159490309656,0.1708984375,39.55079412460327,569.5966540905953,44.0,,
23040,0.0,500.0,1.0,-0.006404622690752149,0.0025253791063732933,2.041597403585911,0.3678261376917362,0.9013671875,0.012124600820243359,0.13525390625,40.37588906288147,570.6375892829869,45.0,,
23552,0.0,500.0,1.0,-0.004812323488295078,0.0014665086782770231,2.1892337948083878,0.4210089687258005,0.8857421875,0.008943279972299933,0.15673828125,41.20596098899841,571.5677886092294,46.0,,
24064,0.0,500.0,1.0,-0.00723583169747144,0.0007387324276351137,2.2050107270479202,0.3420493248850107,0.9169921875,0.011343827820383012,0.11328125,41.999064207077026,572.9651470649936,47.0,,
