step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.0055970544926822186,0.1033241847762838,1.6069270223379135,0.0,0.0,-0.0018134384881705046,0.08447265625,0.5522239208221436,927.1601259824843,1.0,,
1024,0.0,500.0,1.0,-0.005417173379100859,0.018339811183977872,1.604660987854004,0.0,0.0,0.002073400071822107,0.0224609375,0.9938809871673584,1030.3044461273812,2.0,,
1536,0.0,500.0,1.0,-0.002141270902939141,0.007670198639971204,1.5978080853819847,0.0,0.0,0.0006236567860469222,0.0078125,1.4609479904174805,1051.3721296547133,3.0,,
2048,0.5,500.0,1.0,-0.0040826075710356236,0.029457551194354892,1.565679132938385,0.0,0.0,0.00165278697386384,0.0712890625,2.3141088485717773,885.0059068154834,4.0,,
2560,0.5,500.0,1.0,-0.004677258228184655,0.022022946854121983,1.5778556689620018,0.0,0.0,-0.0007583580445498228,0.052734375,3.80125093460083,673.462511169057,5.0,,
3072,0.0,500.0,1.0,-0.0035434054443612695,0.004149061976931989,1.5892810076475143,0.0,0.0,0.0037962861824780703,0.00390625,4.843957901000977,634.1921343629325,6.0,,
3584,0.0,500.0,1.0,-0.003798945341259241,0.017627621709834784,1.5716345235705376,0.0,0.0,-0.0014923169510439038,0.0419921875,6.180580139160156,579.8808395496364,7.0,,
4096,0.0,500.0,1.0,-0.004244288778863847,0.010312212980352342,1.5904152616858482,0.0,0.0,0.002110348199494183,0.01708984375,7.975245952606201,513.5891763515435,8.0,,
4608,0.0,500.0,1.0,-0.00592139468062669,0.009257743862690404,1.5800140276551247,0.0,0.0,0.007147845230065286,0.06201171875,10.056826829910278,458.19621615589756,9.0,,
5120,0.0,500.0,1.0,-0.005163748050108552,0.005745359434513375,1.5847660824656487,0.0,0.0,0.004942243336699903,0.01220703125,10.933198690414429,468.29844997593506,10.0,,
5632,0.0,500.0,1.0,-0.006873929174616933,0.004612885357346386,1.5932812616229057,0.0,0.0,0.0008343714289367199,0.01953125,11.605491876602173,485.2874880171751,11.0,,
6144,0.0,500.0,1.0,-0.005305260187014937,0.002107646818330977,1.5914119184017181,0.0,0.0,0.004171221400611103,0.08154296875,12.338639736175537,497.9479206274632,12.0,,
6656,0.0,500.0,1.0,-0.005813775584101677,0.001315971472649835,1.5973218381404877,0.0,0.0,0.0021275237668305635,0.021484375,13.0050790309906,511.80004244026577,13.0,,
7168,0.0,500.0,1.0,-0.004874477861449122,0.0017208765566465445,1.6009744107723236,0.0,0.0,0.001560591976158321,0.0126953125,13.677692890167236,524.0649908986484,14.0,,
7680,0.0,500.0,1.0,-0.010447754757478833,0.012466220883652568,1.5838251933455467,0.0,0.0,0.0045717296889051795,0.076171875,14.559704065322876,527.4832486665441,15.0,,
8192,1.0,500.0,1.0,-0.002322326530702412,0.01618169352877885,1.5764562040567398,0.0,0.0,0.0054459956008940935,0.015625,15.839248895645142,517.1962416887278,16.0,,
8704,2.5,500.0,1.0,-0.005599091207841411,0.01461108325747773,1.6055986881256104,0.0,0.0,0.00373251480050385,0.03173828125,16.929589986801147,514.1294034164985,17.0,,
9216,0.0,500.0,1.0,-0.005747616000007838,0.006419754143280443,1.599360078573227,0.0,0.0,0.005606266087852418,0.0380859375,17.721187114715576,520.0554534152559,18.0,,
9728,0.0,500.0,1.0,-0.001824255334213376,0.0036465503653744236,1.597903810441494,0.0,0.0,-0.0018927124328911304,0.0068359375,18.43606972694397,527.6612718481266,19.0,,
10240,0.0,500.0,1.0,-0.003779216844122857,0.0020207303532515652,1.60139849036932,0.0,0.0,-0.00011190911754965782,0.0009765625,19.313339948654175,530.2034773490103,20.0,,
10752,0.0,500.0,1.0,-0.013131483225151896,0.0034975974267581478,1.5906535610556602,0.0,0.0,0.005711253033950925,0.0751953125,20.403048992156982,526.9800608787988,21.0,,
