step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,2.5,500.0,1.0,-0.009037773939780891,0.026254411961417645,3.685281679034233,0.0,0.0,0.007885555038228631,0.048828125,0.6574478149414062,778.7690343843199,1.0,,
1024,0.5,500.0,1.0,-0.006448156549595296,0.007303673017304391,3.6770665794610977,0.0,0.0,0.0032949603628367186,0.0146484375,1.2892589569091797,794.2547108262087,2.0,,
1536,4.5,500.0,1.0,-0.012053256970830262,0.034011920215561986,3.675972267985344,0.0,0.0,0.00441430346108973,0.02880859375,1.9378600120544434,792.6269134227053,3.0,,
2048,0.5,500.0,1.0,-0.006095569580793381,0.005090187172754668,3.681195095181465,0.0,0.0,0.0023535036016255617,0.00244140625,2.570952892303467,796.5918030357519,4.0,,
2560,0.0,500.0,1.0,-0.007296623662114143,0.00622844033932779,3.6771381348371506,0.0,0.0,-0.0011175763793289661,0.00439453125,3.3354780673980713,767.5061710110408,5.0,,
3072,1.0,500.0,1.0,-0.009156639425782487,0.002506160904886201,3.661621704697609,0.0,0.0,0.0019490086706355214,0.02099609375,3.9805989265441895,771.7431614410342,6.0,,
3584,0.5,500.0,1.0,-0.010928421921562403,0.0034642844257177785,3.639738842844963,0.0,0.0,0.003066021716222167,0.03076171875,4.633461952209473,773.5037078033985,7.0,,
4096,0.0,500.0,1.0,-0.009813850279897451,0.0021842997011845,3.643560230731964,0.0,0.0,0.011117685702629387,0.03369140625,5.561609983444214,736.4773891360527,8.0,,
4608,0.0,500.0,1.0,-0.010324192233383656,0.0013672149179910775,3.621814176440239,0.0,0.0,0.0050332213286310434,0.0439453125,8.745934963226318,526.8733439449381,9.0,,
5120,2.0,500.0,1.0,-0.012774668633937836,0.022940425667911768,3.5964667946100235,0.0,0.0,-0.0014098492683842778,0.0576171875,10.951050996780396,467.5350339894571,10.0,,
5632,2.0,500.0,1.0,-0.010985644068568945,0.0028042605554219335,3.615392491221428,0.0,0.0,0.008335432736203074,0.0302734375,12.042384147644043,467.68147660377014,11.0,,
6144,0.5,500.0,1.0,-0.01243168191285804,0.0009816744677664246,3.610702723264694,0.0,0.0,0.003399342531338334,0.037109375,12.945621967315674,474.60060362584363,12.0,,
6656,0.0,500.0,1.0,-0.010087480186484754,0.001417361621861346,3.5516782850027084,0.0,0.0,0.007944778655655682,0.1064453125,13.616753816604614,488.8096009992855,13.0,,
7168,0.0,500.0,1.0,-0.006207811878994107,0.0009513246150163468,3.530235543847084,0.0,0.0,0.003945731674320996,0.05224609375,14.238556146621704,503.42183056957697,14.0,,
7680,0.0,500.0,1.0,-0.010580015135928988,0.0010164078303205315,3.6168245524168015,0.0,0.0,-0.005725744646042585,0.05810546875,14.927181959152222,514.4976473802011,15.0,,
8192,0.0,500.0,1.0,-0.007193850469775498,0.003341100637044292,3.6306340396404266,0.0,0.0,-0.0006893655518069863,0.005859375,16.026628971099854,511.14928877259774,16.0,,
8704,2.0,500.0,1.0,-0.007532912422902882,0.0025728873515618034,3.595233365893364,0.0,0.0,0.00535376335028559,0.0263671875,16.80341100692749,517.9900673983175,17.0,,
9216,0.0,500.0,1.0,-0.010614082915708423,0.0022309926607704256,3.603763297200203,0.0,0.0,0.0037060267059132457,0.05224609375,17.473466157913208,527.4282684793109,18.0,,
9728,0.5,500.0,1.0,-0.00822555785998702,0.0009274130043195328,3.5908144265413284,0.0,0.0,0.0035148292081430554,0.01611328125,18.121349096298218,536.8253736686311,19.0,,
10240,0.0,500.0,1.0,-0.006634144810959697,0.001375218384055188,3.6046838015317917,0.0,0.0,0.006146685453131795,0.01904296875,18.828248977661133,543.8636387350357,20.0,,
10752,0.0,500.0,1.0,-0.011495512328110635,0.0008774884245212888,3.606544330716133,0.0,0.0,0.0022684814175590873,0.04833984375,19.746229887008667,544.5090055937158,21.0,,
11264,0.0,500.0,1.0,-0.016744427557568997,0.0006679252091998933,3.5477191507816315,0.0,0.0,0.007081822259351611,0.08837890625,20.722485065460205,543.5641509412688,22.0,,
11776,0.0,500.0,1.0,-0.009775794518645853,0.02833100047428161,3.4940654188394547,0.0,0.0,-0.000683446996845305,0.05029296875,21.539388179779053,546.7193358377367,23.0,,
12288,3.0,500.0,1.0,-0.009941704454831779,0.0011761677451431751,3.520856633782387,0.0,0.0,0.0023700527381151915,0.02587890625,22.19897222518921,553.5391402515828,24.0,,
12800,0.0,500.0,1.0,-0.01042959897313267,0.0007460753895429661,3.486434206366539,0.0,0.0,0.007478399900719523,0.04052734375,22.995688915252686,556.6260722682658,25.0,,
13312,1.5,500.0,1.0,-0.009868195047602057,0.01132910925662145,3.4389918446540833,0.0,0.0,0.004667725879698992,0.07763671875,24.20237421989441,550.0286822710767,26.0,,
13824,0.0,500.0,1.0,-0.014802139718085527,0.0014901171161909588,3.335843712091446,0.0,0.0,0.01438937522470951,0.0966796875,25.18633222579956,548.8691198093312,27.0,,
14336,0.0,500.0,1.0,-0.010594838706310838,0.0006288258209679043,3.4497230499982834,0.0,0.0,0.004959963145665824,0.04443359375,27.08593988418579,529.2782920326172,28.0,,
14848,2.0,500.0,1.0,-0.011846657551359385,0.007475669481209479,3.408142611384392,0.0,0.0,0.0033320330549031496,0.095703125,28.501714944839478,520.9511086871768,29.0,,
15360,0.0,500.0,1.0,-0.011004423606209457,0.012987615045858547,3.3179533928632736,0.0,0.0,0.006351889518555254,0.10986328125,29.89520001411438,513.794856456826,30.0,,
15872,1.5,500.0,1.0,-0.009064732119441032,0.0011366483813617378,3.354662746191025,0.0,0.0,0.0036366221611388028,0.09375,30.675772190093994,517.4115879347116,31.0,,
16384,0.0,500.0,1.0,-0.008916657301597297,0.08610490337014198,3.329338103532791,0.0,0.0,0.006184673111420125,0.0478515625,31.36428213119507,522.3776502030759,32.0,,
16896,5.0,500.0,1.0,-0.0164900470408611,0.0015503065842494834,3.4412557780742645,0.0,0.0,0.005560833669733256,0.17236328125,31.998337984085083,528.0274246869794,33.0,,
17408,0.0,500.0,1.0,-0.010627356823533773,0.0010304831703251693,3.47846120595932,0.0,0.0,-0.00137405248824507,0.02587890625,32.64366102218628,533.2735194183227,34.0,,
17920,0.0,500.0,1.0,-0.006235484150238335,0.035149095579981804,3.449513554573059,0.0,0.0,0.005382873700000346,0.0244140625,33.315420150756836,537.8890591476724,35.0,,
18432,3.0,500.0,1.0,-0.007321146869799122,0.014035820786375552,3.4911083579063416,0.0,0.0,0.0005769110284745693,0.00537109375,33.90947699546814,543.5648565875363,36.0,,
18944,2.5,500.0,1.0,-0.012312380131334066,0.13073739409446716,3.3606612384319305,0.0,0.0,0.00813440402271226,0.1220703125,34.56936287879944,547.9996859189413,37.0,,
19456,8.0,500.0,1.0,-0.013261921820230782,0.01941946428269148,3.4693890810012817,0.0,0.0,0.00622170529095456,0.056640625,35.18646502494812,552.9398871470945,38.0,,
19968,2.0,500.0,1.0,-0.009590023895725608,0.00951827148674056,3.369670182466507,0.0,0.0,0.011173485370818526,0.07373046875,35.80964398384094,557.6151499582218,39.0,,
20480,1.0,500.0,1.0,-0.010777122981380671,0.0025218788505299017,3.463739514350891,0.0,0.0,0.0019744561286643147,0.01171875,36.50535798072815,561.0135369939878,40.0,,
20992,0.5,500.0,1.0,-0.012090569245629013,0.002892431104555726,3.414665564894676,0.0,0.0,-0.0015333294868469238,0.08154296875,37.106375217437744,565.7248889709667,41.0,,
21504,0.0,500.0,2.0,-0.008625821210443974,0.0017079769568226766,3.238846555352211,0.0,0.0,-0.0012454715324565768,0.07666015625,37.718538999557495,570.1175223211133,42.0,,
22016,0.0,500.0,1.0,-0.009717440465465188,0.0008237491783802398,3.3829549700021744,0.0,0.0,0.009174488135613501,0.07666015625,38.32031798362732,574.5255039221366,43.0,,
