step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,2.0,500.0,1.0,-0.004162437282502651,0.07388367177918553,1.6079948544502258,0.0,0.0,0.008499673567712307,0.01806640625,0.9956068992614746,514.2591924380932,1.0,,
1024,0.0,500.0,1.0,-0.009155806270428002,0.008419590740231797,1.604359395802021,0.0,0.0,0.0024092434905469418,0.04150390625,1.7864019870758057,573.2192459527009,2.0,,
1536,0.0,500.0,1.0,-0.003475248347967863,0.0037710735923610628,1.5981882140040398,0.0,0.0,-0.0025671772891655564,0.01708984375,2.6960389614105225,569.7247042737063,3.0,,
2048,0.0,500.0,1.0,-0.004435148905031383,0.0035334943677298725,1.5785528719425201,0.0,0.0,0.007116063614375889,0.05810546875,3.4678540229797363,590.5669576714957,4.0,,
2560,0.0,500.0,1.0,-0.002624261425808072,0.0023349782422883436,1.5713983476161957,0.0,0.0,0.0016568305436521769,0.00244140625,4.4102089405059814,580.4713641767486,5.0,,
3072,1.0,500.0,1.0,-0.003116522100754082,0.014346065290737897,1.5841052159667015,0.0,0.0,-0.000408754451200366,0.005859375,5.156633138656616,595.7375514986323,6.0,,
3584,3.5,500.0,1.0,-0.007195958809461445,0.014361852838192135,1.5993044972419739,0.0,0.0,0.004979356308467686,0.0380859375,5.886908769607544,608.808483410374,7.0,,
4096,2.5,500.0,1.0,-0.0015625054948031902,0.01591090828878805,1.5707529485225677,0.0,0.0,0.00046900880988687277,0.0,6.60575795173645,620.065105310631,8.0,,
4608,0.0,500.0,1.0,-0.007189708412624896,0.001531965932372259,1.5768265202641487,0.0,0.0,0.0038848802214488387,0.0595703125,7.398932933807373,622.7925082203437,9.0,,
5120,0.0,500.0,1.0,-0.009835679433308542,0.0036191530525684357,1.5870889201760292,0.0,0.0,0.005584320519119501,0.06396484375,8.165041208267212,627.0635835635383,10.0,,
5632,2.5,500.0,1.0,-0.008007299387827516,0.01807286316761747,1.5753607526421547,0.0,0.0,0.006205567275173962,0.037109375,8.894038915634155,633.2331186565797,11.0,,
6144,0.0,500.0,1.0,-0.003330341074615717,0.007804573069734033,1.5880220085382462,0.0,0.0,0.0019172156462445855,0.0,9.620123147964478,638.6612630109636,12.0,,
6656,0.0,500.0,1.0,-0.012132707284763455,0.002950881782453507,1.5645367056131363,0.0,0.0,0.0074615367921069264,0.1279296875,10.351243019104004,643.0145623782427,13.0,,
7168,0.0,500.0,1.0,-0.00412225944455713,0.031198573124129325,1.5522871613502502,0.0,0.0,-0.0012335213832557201,0.03173828125,11.068583965301514,647.5986469877893,14.0,,
7680,3.0,500.0,1.0,-0.00873556814622134,0.006103252657339908,1.5275608748197556,0.0,0.0,0.010387144924607128,0.08740234375,11.915503978729248,644.5384109400507,15.0,,
8192,0.0,500.0,1.0,-0.002467833925038576,0.006638088365434669,1.5551651418209076,0.0,0.0,0.002588684030342847,0.0,12.687612056732178,645.6691742598829,16.0,,
8704,2.0,500.0,1.0,-0.005902083357796073,0.006912887605722062,1.5552593767642975,0.0,0.0,0.0019166615675203502,0.029296875,13.43473196029663,647.8729926077231,17.0,,
9216,0.0,500.0,1.0,-0.006288798409514129,0.03477480204310268,1.548182100057602,0.0,0.0,0.0005732601275667548,0.00244140625,14.203716039657593,648.8442865422259,18.0,,
9728,5.0,500.0,1.0,-0.004513655352639034,0.016618022287730128,1.546532854437828,0.0,0.0,0.0011652098037302494,0.01416015625,14.926119804382324,651.7433953024985,19.0,,
10240,1.5,500.0,1.0,-0.005917873699218035,0.006879659020341933,1.5306644886732101,0.0,0.0,0.0005915444926358759,0.04345703125,15.681352853775024,653.0048839207703,20.0,,
10752,1.5,500.0,1.0,-0.008936054247897118,0.006031583820004016,1.5227104127407074,0.0,0.0,0.01224675663979724,0.05908203125,16.412884950637817,655.0950690470885,21.0,,
11264,0.0,500.0,1.0,-0.0009928794752340764,0.0032177802131627686,1.5167350843548775,0.0,0.0,0.0023027233546599746,0.01611328125,17.153550148010254,656.6570711490053,22.0,,
11776,1.5,500.0,1.0,-0.005993459082674235,0.007133652004995383,1.524532899260521,0.0,0.0,0.0047881301725283265,0.02880859375,17.890662908554077,658.2204393538449,23.0,,
12288,0.0,500.0,1.0,-0.006617908016778529,0.0023922756881802343,1.5180032029747963,0.0,0.0,0.005886479630135,0.06298828125,18.741291046142578,655.6645414526645,24.0,,
12800,2.5,500.0,1.0,-0.00881782645592466,0.04316463111899793,1.5119682177901268,0.0,0.0,-0.002725099795497954,0.04296875,19.493825912475586,656.6181547670591,25.0,,
13312,3.0,500.0,1.0,-0.0067001524730585515,0.010263054631650448,1.5235511809587479,0.0,0.0,0.005398878362029791,0.06396484375,20.310812950134277,655.4144352903409,26.0,,
13824,1.5,500.0,1.0,-0.012505495105870068,0.08203115314245224,1.4710919186472893,0.0,0.0,0.01095317752333358,0.13427734375,21.057153940200806,656.4989760372227,27.0,,
14336,5.0,500.0,1.0,-0.006314746686257422,0.02881361823529005,1.4619610980153084,0.0,0.0,0.008947094494942576,0.0625,21.789247035980225,657.9392108560337,28.0,,
14848,3.0,500.0,1.0,-0.013618836645036936,0.005114328727358952,1.3496352583169937,0.0,0.0,0.00693609076552093,0.11181640625,22.5317599773407,658.9809235910576,29.0,,
15360,1.0,500.0,1.0,-0.013739103451371193,0.20791104063391685,1.4345453828573227,0.0,0.0,0.0024141782778315246,0.1484375,23.285828113555908,659.6286773695685,30.0,,
15872,11.5,500.0,1.0,-0.004059619503095746,0.01754915656056255,1.4266579821705818,0.0,0.0,0.009032483154442161,0.09765625,24.283812999725342,653.6041106962699,31.0,,
16384,2.5,500.0,1.0,-0.005534508847631514,0.008807977777905762,1.3246774524450302,0.0,0.0,0.0009551862603984773,0.0087890625,25.257806062698364,648.6707499190312,32.0,,
16896,0.5,500.0,1.0,-0.0073913156520575285,0.009866423977655359,1.3188154995441437,0.0,0.0,0.004453744913917035,0.13818359375,26.00457501411438,649.7318256818055,33.0,,
17408,0.0,500.0,1.0,-0.0026339248288422823,0.026815738412551582,1.3058441430330276,0.0,0.0,0.011465056624729186,0.16650390625,26.774150133132935,650.1793675406955,34.0,,
17920,2.5,500.0,1.0,-0.0012861290015280247,0.00588033813983202,1.3590269312262535,0.0,0.0,0.003649203572422266,0.01318359375,27.5315420627594,650.8898033808113,35.0,,
18432,0.0,500.0,1.0,-0.007938433205708861,0.0044696112017845735,1.3454609960317612,0.0,0.0,0.005359514849260449,0.02978515625,28.279107093811035,651.7886133694051,36.0,,
18944,0.5,500.0,1.0,-0.008496368885971606,0.0023085393622750416,1.3596199452877045,0.0,0.0,-0.0019870511605404317,0.1181640625,29.046849966049194,652.1877595037776,37.0,,
19456,0.0,500.0,1.0,-0.0042747590923681855,0.001006154026981676,1.399975873529911,0.0,0.0,0.006535405525937676,0.02880859375,29.787463903427124,653.1606740029163,38.0,,
19968,0.0,500.0,1.0,-0.005834459239849821,0.0017414443209418096,1.3271886706352234,0.0,0.0,0.003735160978976637,0.10595703125,30.54686999320984,653.6839946102045,39.0,,
20480,0.0,500.0,1.0,-0.006321218213997781,0.003090580845309887,1.4073476865887642,0.0,0.0,0.003511418530251831,0.02001953125,31.289924144744873,654.5237983083958,40.0,,
20992,1.0,500.0,1.0,-0.005685162963345647,0.05012943909969181,1.322971187531948,0.0,0.0,0.0008345192763954401,0.041015625,32.026345014572144,655.4603714675695,41.0,,
21504,4.25,500.0,2.0,-0.0028110286220908165,0.05642334348522127,1.4088102579116821,0.0,0.0,0.009207636001519859,0.1025390625,32.789299964904785,655.8236992865438,42.0,,
22016,0.0,500.0,1.0,-0.00602310337126255,0.0013020651786064263,1.3746410459280014,0.0,0.0,0.008944400993641466,0.04931640625,33.61866998672485,654.8742115227507,43.0,,
22528,3.0,500.0,1.0,-0.004807360586710274,0.0268983087153174,1.4181966856122017,0.0,0.0,0.007660035334993154,0.08349609375,34.37847590446472,655.2937385183587,44.0,,
23040,0.0,500.0,1.0,-0.007300440745893866,0.0014881826209602877,1.437029704451561,0.0,0.0,0.006622247339691967,0.0654296875,35.128684997558594,655.8742520991393,45.0,,
23552,1.0,500.0,1.0,-0.0076636847807094455,0.003531438356731087,1.4164272993803024,0.0,0.0,0.0034497547312639654,0.03173828125,35.879159927368164,656.4256255630678,46.0,,
24064,0.0,500.0,1.0,-0.007449064636602998,0.0063484399288427085,1.4339939206838608,0.0,0.0,0.011543363390956074,0.13232421875,36.622381925582886,657.0845132055674,47.0,,
24576,5.0,500.0,1.0,-0.004577994463033974,0.033816148643381894,1.4531072527170181,0.0,0.0,0.0006684203399345279,0.06103515625,37.36110997200012,657.7963025835746,48.0,,
25088,21.0,500.0,1.0,-0.009549222886562347,0.5026038475334644,1.3332347944378853,0.0,0.0,0.009469575888942927,0.13623046875,38.099944829940796,658.4786437875529,49.0,,
25600,1.0,500.0,1.0,-0.007610887172631919,0.009846983375609852,1.3957025781273842,0.0,0.0,0.0025254199281334877,0.12890625,38.84023904800415,659.1102585223529,50.0,25.0,500.0
26112,3.0,500.0,1.0,-0.005160248139873147,0.018271614972036332,1.3373520821332932,0.0,0.0,0.006453616137150675,0.04052734375,45.0134539604187,580.0932321914431,51.0,,
26624,0.0,500.0,1.0,-0.007981698377989233,0.002560114015068393,1.347368985414505,0.0,0.0,0.0011476876097731292,0.091796875,45.75761890411377,581.8484579757363,52.0,,
27136,8.5,500.0,1.0,-0.009676944930106401,0.13398372707888484,1.3100161999464035,0.0,0.0,0.015304472530260682,0.1630859375,46.47536516189575,583.8792208619004,53.0,,
27648,1.0,500.0,1.0,-0.0077465825015679,0.00977620022604242,1.3732859939336777,0.0,0.0,0.0012444904423318803,0.08056640625,47.203125,585.7239324726912,54.0,,
28160,0.0,500.0,1.0,-0.01209500024560839,0.0032289516893797554,1.365068644285202,0.0,0.0,0.0016395702259615064,0.13525390625,48.091387033462524,585.5518365566365,55.0,,
28672,3.0,500.0,1.0,-0.00630066660232842,0.039676018757745624,1.3300720006227493,0.0,0.0,0.0007355269626714289,0.02734375,48.91010093688965,586.2183772018063,56.0,,
29184,0.0,500.0,1.0,-0.008608406060375273,0.0018018443442997523,1.3451522588729858,0.0,0.0,0.01004121289588511,0.11962890625,49.639289140701294,587.9213926146022,57.0,,
29696,0.0,500.0,1.0,-0.003451925120316446,0.001373960683849873,1.3846390098333359,0.0,0.0,0.007030436361674219,0.04443359375,50.38273000717163,589.408315027252,58.0,,
30208,0.0,500.0,1.0,-0.009751114528626204,0.0017231204765266739,1.325651876628399,0.0,0.0,0.007720939582213759,0.068359375,51.139506816864014,590.6979140056638,59.0,,
30720,1.0,500.0,1.0,-0.00632053823210299,0.003875900467392057,1.334691196680069,0.0,0.0,0.003541706537362188,0.04443359375,51.892446994781494,591.9936672689443,60.0,,
31232,0.0,500.0,1.0,-0.003921800875104964,0.001852480687375646,1.2880795896053314,0.0,0.0,0.005696184292901307,0.00341796875,52.63355207443237,593.3857543156671,61.0,,
31744,0.0,500.0,1.0,-0.003940291586332023,0.006106124055804685,1.354799933731556,0.0,0.0,0.003963322087656707,0.01953125,53.355814933776855,594.9492110541167,62.0,,
32256,1.0,500.0,1.0,-0.005310182983521372,0.001118705520639196,1.3376576974987984,0.0,0.0,0.00034439697628840804,0.03564453125,54.09082102775574,596.3303826253333,63.0,,
32768,10.0,500.0,1.0,-0.005766792455688119,0.20639752689749002,1.374372936785221,0.0,0.0,-0.0015836857492104173,0.04736328125,54.95508813858032,596.2687188740174,64.0,,
33280,2.0,500.0,1.0,-0.009638409363105893,0.007954877248266712,1.3713168948888779,0.0,0.0,0.003959980618674308,0.0859375,55.995195150375366,594.336708902012,65.0,,
33792,1.0,500.0,1.0,-0.01317502767778933,0.0026321655823267065,1.430732436478138,0.0,0.0,0.0011737564345821738,0.09375,56.76812410354614,595.2636366557181,66.0,,
34304,0.0,500.0,1.0,-0.005646602832712233,0.10405659070238471,1.3831616714596748,0.0,0.0,-0.0011132481740787625,0.02587890625,57.53475880622864,596.2308821964905,67.0,,
34816,5.0,500.0,1.0,-0.009226889465935528,0.002068558103928808,1.415604904294014,0.0,0.0,0.0004316711565479636,0.12255859375,58.29411506652832,597.2472514638251,68.0,,
35328,0.5,500.0,1.0,-0.009610909677576274,0.0985282463952899,1.420292392373085,0.0,0.0,0.00597542681498453,0.10498046875,59.01567888259888,598.6205813251547,69.0,,
35840,12.0,500.0,1.0,-0.009826121269725263,0.11994522716850042,1.4986539036035538,0.0,0.0,0.006291011115536094,0.046875,59.76496505737305,599.6824387932695,70.0,,
36352,0.0,500.0,1.0,-0.005556403659284115,0.711488489061594,1.3384380713105202,0.0,0.0,0.00034551217686384916,0.025390625,60.47431492805481,601.1147053628853,71.0,,
36864,34.5,500.0,1.0,-0.006424972496461123,0.42425508983433247,1.277492769062519,0.0,0.0,0.004863181442487985,0.056640625,61.2023868560791,602.3294497759997,72.0,,
37376,33.0,500.0,1.0,-0.009943306329660118,0.7515631951391697,1.3457816541194916,0.0,0.0,0.006986166350543499,0.0810546875,61.94468307495117,603.3770477891732,73.0,,
37888,7.5,500.0,1.0,-0.005231933784671128,1.0439756140112877,1.1770206838846207,0.0,0.0,0.0008002197137102485,0.01220703125,62.65563488006592,604.7021959401482,74.0,,
38400,23.5,500.0,1.0,-0.008540411363355815,0.014066929055843502,1.2315351366996765,0.0,0.0,0.0023179336567409337,0.04833984375,63.38623881340027,605.8097265093128,75.0,,
38912,0.0,500.0,1.0,-0.010322874644771218,0.010108380782185122,1.184187725186348,0.0,0.0,0.0024664566153660417,0.02197265625,64.1139509677887,606.9193898150133,76.0,,
39424,30.0,500.0,1.0,-0.007545658212620765,2.352169394493103,1.0974141508340836,0.0,0.0,0.020710184529889375,0.07763671875,64.84397482872009,607.9824702932722,77.0,,
39936,25.5,500.0,1.0,-0.010793514898978174,2.6871671974658966,1.1143707633018494,0.0,0.0,0.0036264287773519754,0.07470703125,65.57180786132812,609.0422287037903,78.0,,
40448,77.5,500.0,1.0,-0.005837577627971768,1.9610452204942703,0.9439860880374908,0.0,0.0,0.011006366490619257,0.033203125,66.29170393943787,610.1517625335456,79.0,,
40960,44.0,500.0,1.0,-0.010310456389561296,0.44309138879179955,1.09745142608881,0.0,0.0,-0.0012642372166737914,0.037109375,66.99889516830444,611.3533648145467,80.0,,
41472,0.0,500.0,1.0,-0.009732473234180361,0.04962417506612837,0.8513434715569019,0.0,0.0,0.0061056008853483945,0.07861328125,67.75316500663757,612.1042462877876,81.0,,
41984,0.0,500.0,1.0,-0.007930661144200712,2.219187878072262,0.8172372244298458,0.0,0.0,0.008623856992926449,0.0537109375,68.4506139755249,613.3473107343016,82.0,,
42496,47.5,500.0,1.0,-0.007553732837550342,2.0122303441166878,1.0875534042716026,0.0,0.0,0.011086985119618475,0.072265625,69.16466498374939,614.4177812468934,83.0,,
43008,46.0,500.0,1.0,-0.007411139085888863,0.020818624820094556,1.1912330314517021,0.0,0.0,0.011828105547465384,0.11181640625,69.90223407745361,615.2593056231357,84.0,,
43520,0.0,500.0,1.0,-0.002559668733738363,0.7366835903376341,1.016192078590393,0.0,0.0,-0.0006643478409387171,0.0126953125,70.6339340209961,616.1344487348472,85.0,,
44032,17.0,500.0,1.0,-0.005924296798184514,0.017794014886021614,0.82550835236907,0.0,0.0,0.006655267090536654,0.07177734375,71.3397319316864,617.2156638065899,86.0,,
44544,0.0,500.0,1.0,-0.005872965673916042,13.959326207637787,0.5983922183513641,0.0,0.0,0.009864007151918486,0.0263671875,72.03611588478088,618.3564931686002,87.0,,
45056,177.0,500.0,1.0,-0.007526917848736048,3.537632495164871,0.9069648012518883,0.0,0.0,0.013446973694954067,0.0556640625,72.87844491004944,618.2349260554417,88.0,,
45568,44.0,500.0,1.0,-0.004871015436947346,4.097199305891991,0.3940156623721123,0.0,0.0,0.0010434812284074724,0.03173828125,73.61119198799133,619.0363009939276,89.0,,
46080,85.5,500.0,1.0,-0.001904098375234753,6.147522479295731,0.5599917806684971,0.0,0.0,0.00581689047976397,0.0205078125,74.32499814033508,619.9798338776286,90.0,,
46592,123.5,500.0,1.0,-0.008564570685848594,3.4616185426712036,0.810183759778738,0.0,0.0,0.008834947628201917,0.048828125,75.03454995155334,620.9406204219589,91.0,,
47104,56.0,500.0,2.0,-0.0071635066997259855,1.7705260887742043,0.7562875375151634,0.0,0.0,0.017338475852739066,0.11181640625,75.73916792869568,621.9239171513723,92.0,,
47616,0.0,500.0,1.0,-0.005364046199247241,0.04175914265215397,1.1175921186804771,0.0,0.0,0.0044729458168148994,0.02490234375,76.46357083320618,622.7279144975739,93.0,,
48128,29.0,500.0,1.0,-0.009643592522479594,1.059769906103611,0.6785207130014896,0.0,0.0,0.0043028386135119945,0.08056640625,77.21365904808044,623.3094065653721,94.0,,
48640,0.0,500.0,1.0,-0.009540353901684284,0.2895081015303731,0.8665980957448483,0.0,0.0,0.003967284254031256,0.10791015625,77.92075395584106,624.2239394598911,95.0,,
49152,123.5,500.0,1.0,-0.007084708893671632,5.850157856941223,0.7054179757833481,0.0,0.0,0.010035119310487062,0.095703125,78.78359198570251,623.8862529766351,96.0,,
49664,0.0,500.0,1.0,-0.00722624221816659,0.13485178630799055,0.8280232436954975,0.0,0.0,0.005259852216113359,0.04345703125,79.52076005935669,624.5413142798094,97.0,,
50176,6.5,500.0,1.0,-0.008586091105826199,0.05301026068627834,1.0375846549868584,0.0,0.0,0.009000095189549029,0.10302734375,80.26647186279297,625.1177962047535,98.0,,
50688,0.0,500.0,1.0,-0.0003161305794492364,0.6558317337185144,0.7642746269702911,0.0,0.0,0.0056539574870839715,0.0576171875,80.9967839717865,625.8026246777413,99.0,,
51200,24.5,500.0,1.0,-0.008806296857073903,0.19506964134052396,0.850844819098711,0.0,0.0,0.022287507308647037,0.18603515625,81.70792293548584,626.6222192482608,100.0,24.95,500.0
51712,108.0,500.0,1.0,-0.006738978147041053,5.758942723274231,0.6328084357082844,0.0,0.0,-0.0025184883852489293,0.0693359375,88.53178596496582,584.1065944435335,101.0,,
52224,0.0,500.0,1.0,-0.0016675438964739442,0.022734328056685627,0.3531356919556856,0.0,0.0,0.006709214183501899,0.0263671875,89.2309250831604,585.2679432755951,102.0,,
52736,0.0,500.0,1.0,-0.008006625343114138,0.031014870502986014,0.9658832140266895,0.0,0.0,0.010540989984292537,0.06640625,89.95456004142761,586.2515471779641,103.0,,
53248,0.0,500.0,1.0,-0.006625464302487671,0.07571790716610849,1.049224715679884,0.0,0.0,0.006716022966429591,0.0556640625,90.69479703903198,587.1119594333935,104.0,,
53760,78.0,500.0,1.0,-0.011249959236010909,3.2536991089582443,0.7158994525671005,0.0,0.0,0.01163789548445493,0.0625,91.41935110092163,588.0593042128695,105.0,,
54272,12.0,500.0,1.0,-0.009651929954998195,0.3392615597695112,1.0576065182685852,0.0,0.0,0.008571149257477373,0.07568359375,92.1585488319397,588.8981617860585,106.0,,
