env,method,regime,n,seeds,eval_final_mean,eval_final_sd,eval_mean_all_mean,eval_mean_all_sd,train_last50_mean,train_last50_sd,msg_acc_last50_mean,msg_acc_last50_sd,msg_loss_last50_mean,msg_loss_last50_sd,entropy_last50_mean,entropy_last50_sd
rware-medium-2ag-easy-v2,mappo-comm,baseline,4,0 1 2 3,3.125,6.25,0.78125,1.5625,1.2175,1.130998821101655,0.0,0.0,0.0,0.0,2.914087200760841,0.15345244079561213
rware-medium-2ag-easy-v2,mappo-comm,dropout-only,4,0 1 2 3,3.1125,6.225,0.778125,1.55625,0.6425,0.7049054310094842,0.0,0.0,0.0,0.0,3.187809867337346,0.14510499551466174
rware-medium-2ag-easy-v2,mappo-intent-aux,baseline,4,0 1 2 3,9.325,18.65,3.1125,4.39585505523859,1.36,1.090596167240652,0.659378662109375,0.08655940369348547,0.7398604951868765,0.1704079339783855,2.031232816223055,0.1366953396373307
rware-medium-2ag-easy-v2,mappo-intent-aux,dropout-only,4,0 1 2 3,6.25,7.216878364870322,1.5625,1.8042195912175805,0.87875,0.4320951862726545,0.6467228266841266,0.07689860095543137,0.8237604222144,0.18818130313289028,2.056980498060584,0.14915810137126562
rware-medium-2ag-easy-v2,mappo-no-comm,baseline,4,0 1 2 3,15.575,15.636149355473252,4.671875,4.013393916520862,1.08,1.087435821861073,0.0,0.0,0.0,0.0,0.8249689997476526,0.3064011883726136
rware-medium-2ag-easy-v2,mappo-no-comm,dropout-only,4,0 1 2 3,0.0,0.0,0.0,0.0,0.4275,0.3786269051894402,0.0,0.0,0.0,0.0,1.2682856242731213,0.13417141821306966
rware-small-2ag-easy-v2,mappo-comm,baseline,4,0 1 2 3,0.0,0.0,0.78125,1.5625,6.748749999999999,6.940868551557506,0.0,0.0,0.0,0.0,2.922377828359604,0.47819925913172756
rware-small-2ag-easy-v2,mappo-comm,dropout-only,4,0 1 2 3,0.5875,1.175,1.7125,1.9847596411992394,1.3399999999999999,0.5152184002925361,0.0,0.0,0.0,0.0,2.984192534722388,0.2417718572422983
rware-small-2ag-easy-v2,mappo-intent-aux,baseline,4,0 1 2 3,3.125,6.25,2.346875,2.9930540248771544,6.23,7.253400352018815,0.6447412109375,0.13109985598021082,0.8096959058078937,0.28971668280109675,2.0755982990190387,0.13521249816398642
rware-small-2ag-easy-v2,mappo-intent-aux,dropout-only,4,0 1 2 3,0.0,0.0,0.790625,1.5563503983679254,2.41375,1.8699972147929347,0.6001017653429881,0.068565347140585,0.8840236216038465,0.1031741640064434,2.0225755148008466,0.10161771706851795
rware-small-2ag-easy-v2,mappo-no-comm,baseline,4,0 1 2 3,3.125,6.25,3.125,2.5515518153991437,12.38375,5.947738190550533,0.0,0.0,0.0,0.0,0.8952767066983507,0.40228576563421775
rware-small-2ag-easy-v2,mappo-no-comm,dropout-only,4,0 1 2 3,0.0,0.0,1.5625,1.8042195912175805,1.78375,1.3547039959587728,0.0,0.0,0.0,0.0,1.1210472025722265,0.16291271767294255
rware-tiny-2ag-easy-v2,mappo-comm,baseline,4,0 1 2 3,6.2,7.15914333795136,14.815625,5.895172592539877,63.5225,10.164394144922426,0.0,0.0,0.0,0.0,2.5540321316197514,0.14846751992242918
rware-tiny-2ag-easy-v2,mappo-comm,dropout-only,4,0 1 2 3,0.575,1.15,9.65625,2.2880691459539997,20.37,7.238009625120246,0.0,0.0,0.0,0.0,2.5604638126678765,0.400562435421573
rware-tiny-2ag-easy-v2,mappo-intent-aux,baseline,4,0 1 2 3,0.0,0.0,10.140625,5.885269172193118,62.99375,17.248124716907633,0.6209130859375,0.02172692051436742,0.8169087339367251,0.027384353238550374,1.7004388093948364,0.1132828014038827
rware-tiny-2ag-easy-v2,mappo-intent-aux,dropout-only,4,0 1 2 3,0.6,1.2,8.58125,3.8324070438824736,43.8275,19.57444358511032,0.5527529761142795,0.07649600655703011,0.949215275850147,0.15475983035658833,1.7211028131470085,0.22069847105264373
rware-tiny-2ag-easy-v2,mappo-no-comm,baseline,4,0 1 2 3,3.0875,6.175,14.818750000000001,7.37705126840438,84.2925,14.0473832082705,0.0,0.0,0.0,0.0,0.7249148224876263,0.14525175495260081
rware-tiny-2ag-easy-v2,mappo-no-comm,dropout-only,4,0 1 2 3,6.1125,6.195613367536745,10.721875,2.97260714342926,51.20125,8.475645870178074,0.0,0.0,0.0,0.0,0.7346371064672712,0.0609608606800479
