env,method,regime,seed,eval_final,eval_mean_all,train_last50,msg_acc_last50,msg_loss_last50,entropy_last50,updates
rware-medium-2ag-easy-v2,mappo-comm,baseline,0,12.5,3.125,2.91,0.0,0.0,2.910567175447941,200
rware-medium-2ag-easy-v2,mappo-comm,baseline,1,0.0,0.0,0.75,0.0,0.0,3.09074505507946,200
rware-medium-2ag-easy-v2,mappo-comm,baseline,2,0.0,0.0,0.56,0.0,0.0,2.716987266242504,200
rware-medium-2ag-easy-v2,mappo-comm,baseline,3,0.0,0.0,0.65,0.0,0.0,2.9380493062734603,200
rware-medium-2ag-easy-v2,mappo-comm,dropout-only,0,0.0,0.0,0.21,0.0,0.0,3.0617152801156045,200
rware-medium-2ag-easy-v2,mappo-comm,dropout-only,1,12.45,3.1125,1.61,0.0,0.0,3.177701196372509,200
rware-medium-2ag-easy-v2,mappo-comm,dropout-only,2,0.0,0.0,0.04,0.0,0.0,3.1182730475068094,200
rware-medium-2ag-easy-v2,mappo-comm,dropout-only,3,0.0,0.0,0.71,0.0,0.0,3.3935499453544615,200
rware-medium-2ag-easy-v2,mappo-intent-aux,baseline,0,0.0,3.125,0.65,0.6891748046875,0.6774547328567132,2.104995138198137,200
rware-medium-2ag-easy-v2,mappo-intent-aux,baseline,1,0.0,0.0,0.32,0.76759765625,0.5269637732906267,2.005944440662861,200
rware-medium-2ag-easy-v2,mappo-intent-aux,baseline,2,0.0,0.0,1.76,0.577060546875,0.8783392672240734,2.163203403353691,200
rware-medium-2ag-easy-v2,mappo-intent-aux,baseline,3,37.3,9.325,2.71,0.603681640625,0.8766842073760927,1.8507882826775313,200
rware-medium-2ag-easy-v2,mappo-intent-aux,dropout-only,0,0.0,0.0,0.66,0.535643573408015,1.0909551614895463,2.2686111718416213,200
rware-medium-2ag-easy-v2,mappo-intent-aux,dropout-only,1,0.0,0.0,0.405,0.6981801754049957,0.7476849836204201,2.0182312233000994,200
rware-medium-2ag-easy-v2,mappo-intent-aux,dropout-only,2,12.5,3.125,1.07,0.6544392152689398,0.8016610126383603,1.9180451313406228,200
rware-medium-2ag-easy-v2,mappo-intent-aux,dropout-only,3,12.5,3.125,1.38,0.6986283426545561,0.6547405311092734,2.023034465759993,200
