step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.008806819329038262,0.11865846905857325,3.681297317147255,0.0,0.0,0.011567355366423726,0.0966796875,0.350341796875,1461.4299651567944,1.0,,
1024,0.0,500.0,1.0,-0.008359279134310782,0.012872766383225098,3.6706717163324356,0.0,0.0,0.0032262858003377914,0.0625,0.7088468074798584,1444.5998616267966,2.0,,
1536,1.0,500.0,1.0,-0.007452660065609962,0.010249454528093338,3.6656861901283264,0.0,0.0,0.006398561643436551,0.02783203125,1.0451037883758545,1469.7104891247438,3.0,,
2048,0.0,500.0,1.0,-0.008202567230910063,0.014903726172633469,3.6019431054592133,0.0,0.0,0.006054752855561674,0.119140625,1.3873989582061768,1476.1435331102891,4.0,,
2560,0.0,500.0,1.0,-0.0065638283267617226,0.01480935123981908,3.6357376277446747,0.0,0.0,-0.0032309534726664424,0.0615234375,1.810455083847046,1414.009120049663,5.0,,
3072,1.0,500.0,1.0,-0.005235613672994077,0.013494863000232726,3.662516474723816,0.0,0.0,0.001042823540046811,0.00830078125,2.1547908782958984,1425.6603881809033,6.0,,
3584,0.0,500.0,1.0,-0.009424441494047642,0.004797141999006271,3.633751019835472,0.0,0.0,0.004832798382267356,0.03955078125,2.496074914932251,1435.8543401720287,7.0,,
4096,0.0,500.0,1.0,-0.008694099611602724,0.003560867073247209,3.632466271519661,0.0,0.0,0.001788020716048777,0.0205078125,2.8314218521118164,1446.6230091941254,8.0,,
4608,1.0,500.0,1.0,-0.01299974019639194,0.001279583251744043,3.633903443813324,0.0,0.0,0.005382925155572593,0.03076171875,3.1770408153533936,1450.4062956104754,9.0,,
5120,0.0,500.0,1.0,-0.010263899341225624,0.011500588792841882,3.61813260614872,0.0,0.0,0.005112702376209199,0.048828125,3.5193428993225098,1454.8170344485684,10.0,,
5632,1.5,500.0,1.0,-0.010541358380578458,0.006185466321767308,3.629838779568672,0.0,0.0,0.00029546162113547325,0.07470703125,3.878282070159912,1452.1893709932701,11.0,,
6144,0.0,500.0,1.0,-0.014956271392293274,0.0055757011723471805,3.6357762813568115,0.0,0.0,0.008751235669478774,0.041015625,4.225038051605225,1454.1880865820135,12.0,,
6656,0.0,500.0,1.0,-0.00924290221882984,0.0018109118354914244,3.517182007431984,0.0,0.0,0.0014550454798154533,0.0595703125,4.576655864715576,1454.3370086694617,13.0,,
7168,0.0,500.0,1.0,-0.009706259006634355,0.002286573733726982,3.3848338425159454,0.0,0.0,0.0033506383188068867,0.09130859375,4.918522834777832,1457.348118690553,14.0,,
7680,0.0,500.0,1.0,-0.007571573427412659,0.006095611461205408,3.42475026845932,0.0,0.0,0.005242817685939372,0.0908203125,5.263016939163208,1459.2390806975209,15.0,,
8192,0.0,500.0,1.0,-0.008297487744130194,0.00402301214489853,3.6036655753850937,0.0,0.0,0.004198548616841435,0.0380859375,5.612939119338989,1459.4849197232581,16.0,,
8704,0.5,500.0,1.0,-0.0095330256735906,0.0012979439525224734,3.6083332151174545,0.0,0.0,-0.0005177609855309129,0.064453125,5.967037916183472,1458.6801897795035,17.0,,
9216,0.0,500.0,1.0,-0.00936837529297918,0.001878413309896132,3.5731441527605057,0.0,0.0,0.004594755824655294,0.02294921875,6.309720993041992,1460.603410224143,18.0,,
9728,0.0,500.0,1.0,-0.01093733124434948,0.001146403399616247,3.6245829313993454,0.0,0.0,0.003092784550972283,0.021484375,6.6713550090789795,1458.174536771205,19.0,,
10240,0.0,500.0,1.0,-0.007260744692757726,0.0009395599445269909,3.6190275698900223,0.0,0.0,-0.00507625809404999,0.0126953125,7.028226137161255,1456.9821460150115,20.0,,
10752,0.0,500.0,1.0,-0.013121054274961352,0.0011368479281372856,3.5864863097667694,0.0,0.0,0.004373983829282224,0.11181640625,7.376107931137085,1457.6793209074551,21.0,,
11264,0.0,500.0,1.0,-0.006190187996253371,0.0009751248471729923,3.501531720161438,0.0,0.0,0.005241281003691256,0.03759765625,7.720360994338989,1458.9991333642831,22.0,,
11776,0.0,500.0,1.0,-0.006582157802768052,0.0011004378011421068,3.5791995227336884,0.0,0.0,0.002380858175456524,0.06103515625,8.057322978973389,1461.5276104397171,23.0,,
12288,0.0,500.0,1.0,-0.010750859044492245,0.001536776606371859,3.600355252623558,0.0,0.0,0.0012111434480175376,0.02392578125,8.39613389968872,1463.5307329312086,24.0,,
12800,0.0,500.0,1.0,-0.00957024423405528,0.001000054424366681,3.581331640481949,0.0,0.0,0.006084306980483234,0.05029296875,8.755948066711426,1461.8633987407197,25.0,0.0,500.0
