step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.012310187390539795,0.09804736846126616,3.681430920958519,0.0,0.0,0.005132468184456229,0.18359375,0.4647529125213623,1101.6606592572261,1.0,,
1024,0.0,500.0,1.0,-0.008584987604990602,0.041608990053646266,3.6722201257944107,0.0,0.0,0.005010788096114993,0.05126953125,0.9339821338653564,1096.3807152949466,2.0,,
1536,0.0,500.0,1.0,-0.00596722133923322,0.03560157067840919,3.6693262457847595,0.0,0.0,-9.413424413651228e-05,0.06103515625,1.3628571033477783,1127.0440578303524,3.0,,
2048,0.0,500.0,1.0,-0.009536916273646057,0.032512297737412155,3.6729888767004013,0.0,0.0,0.007150799850933254,0.02978515625,1.7918920516967773,1142.925991585659,4.0,,
2560,0.0,500.0,1.0,-0.0070951031520962715,0.00450450494827237,3.6736401319503784,0.0,0.0,0.0006713472539559007,0.01904296875,2.3802740573883057,1075.5064073625597,5.0,,
3072,1.0,500.0,1.0,-0.010707211680710316,0.016438883176306263,3.654721185564995,0.0,0.0,0.004125180887058377,0.0634765625,2.8496909141540527,1078.0116484709854,6.0,,
3584,0.0,500.0,1.0,-0.009692594059742987,0.0030207545059965923,3.5969346463680267,0.0,0.0,0.00038950121961534023,0.06689453125,3.310371160507202,1082.6580544070694,7.0,,
4096,0.0,500.0,1.0,-0.013452624203637242,0.0020848725180258043,3.538023218512535,0.0,0.0,-0.0010268395999446511,0.06689453125,3.774311065673828,1085.2311663582345,8.0,,
4608,0.5,500.0,1.0,-0.008086849586106837,0.0038631358111160807,3.524897664785385,0.0,0.0,0.0023270364617928863,0.0341796875,4.236525058746338,1087.6838767864124,9.0,,
5120,0.0,500.0,1.0,-0.00988786414382048,0.001866635873739142,3.5505166351795197,0.0,0.0,2.3044529370963573e-05,0.060546875,4.669589042663574,1096.4562305636016,10.0,,
5632,0.0,500.0,1.0,-0.00798388640396297,0.00111755599573371,3.532521352171898,0.0,0.0,0.002110908506438136,0.06884765625,5.147902965545654,1094.0377154919884,11.0,,
6144,0.0,500.0,1.0,-0.010021400055848062,0.0014942125890229363,3.5341269224882126,0.0,0.0,-5.734094884246588e-05,0.0166015625,5.589540958404541,1099.1958097671265,12.0,,
6656,0.0,500.0,1.0,-0.008214741828851402,0.0006767058112018276,3.545886993408203,0.0,0.0,0.005523568484932184,0.04296875,6.051202058792114,1099.946743693535,13.0,,
7168,0.0,500.0,1.0,-0.0059987365966662765,0.001183699245302705,3.489502102136612,0.0,0.0,-0.002195109147578478,0.015625,6.504162073135376,1102.063558595276,14.0,,
7680,0.0,500.0,1.0,-0.011863585852552205,0.0007587534346384928,3.5120894610881805,0.0,0.0,0.004038308281451464,0.1103515625,6.987594127655029,1099.0907399164203,15.0,,
8192,0.0,500.0,1.0,-0.0075771528645418584,0.0008356418657058384,3.4927187860012054,0.0,0.0,-0.002731096697971225,0.0322265625,7.430644989013672,1102.461497233686,16.0,,
8704,0.0,500.0,1.0,-0.008786783320829272,0.008259584385086782,3.3379110246896744,0.0,0.0,0.0076248012483119965,0.09423828125,7.9132208824157715,1099.9313843673244,17.0,,
9216,3.0,500.0,1.0,-0.009313542919699103,0.016552249871892855,3.432485058903694,0.0,0.0,0.001740111387334764,0.05712890625,8.371717929840088,1100.8493211591087,18.0,,
9728,0.0,500.0,1.0,-0.010227408725768328,0.0016174787233467214,3.405147448182106,0.0,0.0,0.005357444460969418,0.091796875,8.828205108642578,1101.9227442367132,19.0,,
10240,0.0,500.0,1.0,-0.01440038497094065,0.014266165409935638,3.403177112340927,0.0,0.0,0.002279641688801348,0.05322265625,9.285590171813965,1102.7839707036724,20.0,,
10752,2.5,500.0,1.0,-0.013830563053488731,0.0037164130553719588,3.4064233154058456,0.0,0.0,0.015752716804854572,0.0810546875,9.759491205215454,1101.6967763907764,21.0,,
11264,0.0,500.0,1.0,-0.01008788967737928,0.006009589196764864,3.4086307138204575,0.0,0.0,0.003646089811809361,0.11083984375,10.220739126205444,1102.0729382593954,22.0,,
11776,1.5,500.0,1.0,-0.011262973304837942,0.0009991265487769851,3.333446890115738,0.0,0.0,0.0009519017767161131,0.07568359375,10.664111852645874,1104.2644865993464,23.0,,
12288,0.0,500.0,1.0,-0.010390318755526096,0.0006042464447091334,3.3335112929344177,0.0,0.0,0.0031875522108748555,0.123046875,11.13494610786438,1103.5527142175606,24.0,,
12800,0.0,500.0,1.0,-0.012594264117069542,0.0012114280307287117,3.2691310942173004,0.0,0.0,0.011300480458885431,0.14501953125,11.578245878219604,1105.5215215353733,25.0,0.0,500.0
13312,5.5,500.0,1.0,-0.008903232519514859,0.06141327158547938,3.4537516981363297,0.0,0.0,0.007868305197916925,0.1103515625,22.654872179031372,587.5998723277354,26.0,,
13824,0.0,500.0,1.0,-0.009603032609447837,0.008272398699773476,3.1928610056638718,0.0,0.0,0.012774852570146322,0.1474609375,23.16662311553955,596.7205462382315,27.0,,
14336,0.0,500.0,1.0,-0.010779677657410502,0.001437491984688677,3.3336435705423355,0.0,0.0,0.00655313057359308,0.1015625,23.615101099014282,607.0691774679042,28.0,,
14848,0.0,500.0,1.0,-0.008120444777887315,0.0008359677576663671,3.123516708612442,0.0,0.0,0.004876720835454762,0.115234375,24.07433295249939,616.7564446872238,29.0,,
15360,1.0,500.0,1.0,-0.009548647096380591,0.006867693737149239,3.4374978691339493,0.0,0.0,0.004431297420524061,0.033203125,24.54106307029724,625.88975693521,30.0,,
15872,0.0,500.0,1.0,-0.010573143721558154,0.000898669251910178,3.2234113216400146,0.0,0.0,0.0036924127489328384,0.1015625,25.021414041519165,634.3366515442681,31.0,,
16384,0.0,500.0,1.0,-0.011538921156898141,0.00045193458845460555,3.068915471434593,0.0,0.0,0.007232044998090714,0.09423828125,25.470694065093994,643.2490594142566,32.0,,
16896,0.0,500.0,1.0,-0.01533918920904398,0.0005965984601061791,3.2623224705457687,0.0,0.0,0.0036710576969198883,0.07080078125,25.911976099014282,652.053704257729,33.0,,
17408,0.0,500.0,1.0,-0.009905843529850245,0.0004970617246726761,3.2148792892694473,0.0,0.0,0.00331490341341123,0.0654296875,26.358078002929688,660.4426922958916,34.0,,
17920,0.0,500.0,1.0,-0.009337167022749782,0.0005797618341603084,3.244110092520714,0.0,0.0,0.005353255255613476,0.04248046875,26.838136196136475,667.7065750407698,35.0,,
18432,0.0,500.0,1.0,-0.01388064882485196,0.0020533947281364817,2.98783677816391,0.0,0.0,0.001678622153121978,0.15185546875,27.254653930664062,676.2881688716751,36.0,,
18944,6.5,500.0,1.0,-0.012195661547593772,0.09202314331196249,3.0967291742563248,0.0,0.0,0.006102402985561639,0.177734375,27.720423936843872,683.3950318783213,37.0,,
19456,0.0,500.0,1.0,-0.007009320426732302,0.0008142163660522783,2.7783852219581604,0.0,0.0,0.0105169887538068,0.13916015625,28.178060054779053,690.4662692242443,38.0,,
19968,2.0,500.0,1.0,-0.011168346041813493,0.016723864944651723,2.993513971567154,0.0,0.0,0.017765775904990733,0.18212890625,28.67027997970581,696.4703523695723,39.0,,
20480,0.0,500.0,1.0,-0.008458243275526911,0.003267608546593692,3.043189898133278,0.0,0.0,0.0013917958131060004,0.0615234375,29.089564085006714,704.032550647803,40.0,,
20992,0.0,500.0,1.0,-0.011516980535816401,0.0008290241657959996,3.0286722630262375,0.0,0.0,0.02046388224698603,0.16796875,29.511895179748535,711.3064027960155,41.0,,
21504,0.0,500.0,1.0,-0.008637464139610529,0.0007137777392927092,3.185921221971512,0.0,0.0,0.0046299100504256785,0.091796875,29.93343710899353,718.3939459307566,42.0,,
22016,0.0,500.0,1.0,-0.015264016343280673,0.00087968183652265,3.21638061106205,0.0,0.0,0.007566310348920524,0.19140625,30.366594076156616,725.0072215799343,43.0,,
22528,0.0,500.0,1.0,-0.012050907593220472,0.0010416984296170995,3.0898324996232986,0.0,0.0,0.004202098643872887,0.10546875,30.796760082244873,731.5055200559221,44.0,,
23040,0.0,500.0,1.0,-0.015737551439087838,0.0005115035182825522,3.159693568944931,0.0,0.0,0.002138591429684311,0.16748046875,31.26307702064514,736.9716034280668,45.0,,
23552,0.0,500.0,1.0,-0.011609096662141383,0.00032166073833650444,3.1342919021844864,0.0,0.0,0.0010162154212594032,0.0712890625,31.706313133239746,742.8173657727785,46.0,,
24064,0.0,500.0,1.0,-0.01683412934653461,0.00047492952580796555,2.9980365335941315,0.0,0.0,0.0035467565758153796,0.0986328125,32.24495220184326,746.2873521835892,47.0,,
24576,0.0,500.0,1.0,-0.010737930773757398,0.013848813774529845,2.9221533983945847,0.0,0.0,0.015319519559852779,0.15087890625,32.730462074279785,750.8601603065141,48.0,,
25088,4.5,500.0,1.0,-0.010316160740330815,0.023845162126235664,2.9550743401050568,0.0,0.0,0.009827649453654885,0.10107421875,33.232030153274536,754.9343174126826,49.0,,
25600,0.0,500.0,1.0,-0.008908747229725122,0.0010068823175970465,3.111134335398674,0.0,0.0,0.0038920632214285433,0.10986328125,33.694716930389404,759.7630231732635,50.0,0.0,500.0
26112,0.0,500.0,1.0,-0.010577794688288122,0.0019037834281334653,2.8695199489593506,0.0,0.0,0.007193533994723111,0.04638671875,44.5625159740448,585.963324315189,51.0,,
26624,0.0,500.0,1.0,-0.004486330901272595,0.00033386102586518973,2.791917145252228,0.0,0.0,0.006789153558202088,0.03564453125,45.02240705490112,591.3499908508717,52.0,,
27136,0.0,500.0,1.0,-0.011326664709486067,0.00046380953972402494,2.937735691666603,0.0,0.0,0.014904455340001732,0.10205078125,45.45406699180603,596.9982841115578,53.0,,
27648,0.0,500.0,1.0,-0.010412101750262082,0.0004460536856640829,2.895541325211525,0.0,0.0,0.003491137467790395,0.09130859375,45.874924182891846,602.6821949563196,54.0,,
28160,0.0,500.0,1.0,-0.009581212885677814,0.0002435610449538217,2.8511400371789932,0.0,0.0,0.0067960432497784495,0.1181640625,46.309505224227905,608.0825062511667,55.0,,
28672,0.0,500.0,1.0,-0.010822474607266486,9.485171358392108e-05,2.78896102309227,0.0,0.0,0.010484106722287834,0.10498046875,46.76854705810547,613.0615938181224,56.0,,
29184,0.0,500.0,1.0,-0.012605487718246877,0.0001929383070091717,2.7777397334575653,0.0,0.0,0.013827575952745974,0.19140625,47.209503173828125,618.1806212309166,57.0,,
29696,0.0,500.0,1.0,-0.005000146455131471,0.0002553084232204128,2.7816571593284607,0.0,0.0,0.014682109409477562,0.06982421875,47.70156288146973,622.5372546763198,58.0,,
30208,0.0,500.0,1.0,-0.005612791806925088,0.01776018925011158,2.908456027507782,0.0,0.0,0.001236170413903892,0.0439453125,48.13874006271362,627.5195395776037,59.0,,
30720,2.0,500.0,1.0,-0.0083662731340155,0.00174711677027517,2.9081349968910217,0.0,0.0,-0.0003992907586507499,0.05615234375,48.60015392303467,632.0967634927564,60.0,,
31232,0.0,500.0,1.0,-0.00862424320075661,0.0806300900876522,2.8501992970705032,0.0,0.0,0.005793906049802899,0.12841796875,49.044010162353516,636.815788444108,61.0,,
31744,21.0,500.0,1.0,-0.006298073276411742,0.26926258113235235,2.6970715075731277,0.0,0.0,0.0029010906000621617,0.05859375,49.50409507751465,641.2398802623201,62.0,,
32256,0.0,500.0,1.0,-0.010836445726454258,0.0016151175695995335,2.848062962293625,0.0,0.0,0.010479286487679929,0.1787109375,49.95373225212097,645.7175179063913,63.0,,
32768,0.0,500.0,1.0,-0.007882165256887674,0.0008208939962059958,2.8998813331127167,0.0,0.0,1.0681862477213144e-05,0.06982421875,50.38088512420654,650.4054051296517,64.0,,
33280,0.0,500.0,1.0,-0.005606658465694636,0.0018815899929904845,3.076427638530731,0.0,0.0,0.006316599785350263,0.07958984375,50.819167137145996,654.871023568471,65.0,,
