step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.00356392830144614,0.07900193892419338,1.6078792735934258,0.0,0.0,-0.0002121029538102448,0.01513671875,1.2659659385681152,404.43426193528023,1.0,,
1024,0.0,500.0,1.0,-0.0026679226430132985,0.014976415375713259,1.6079580411314964,0.0,0.0,-0.0007386760553345084,0.00439453125,2.7627079486846924,370.650832089407,2.0,,
1536,0.0,500.0,1.0,-0.004937200457789004,0.018971298210090026,1.5910095795989037,0.0,0.0,0.0032877131598070264,0.03271484375,3.876894950866699,396.1933504689415,3.0,,
2048,0.5,500.0,1.0,-0.007584477541968226,0.015659204684197903,1.568704105913639,0.0,0.0,0.0009603479993529618,0.0693359375,4.973188161849976,411.80826732245833,4.0,,
2560,0.0,500.0,1.0,-0.0020422866218723357,0.008704117848537862,1.572642259299755,0.0,0.0,-0.000996312708593905,0.00048828125,6.70571494102478,381.7639166762397,5.0,,
3072,1.5,500.0,1.0,-0.0012272149324417114,0.011175096617080271,1.596043847501278,0.0,0.0,-0.002442982397042215,0.00146484375,7.974109888076782,385.24676021751105,6.0,,
3584,0.0,500.0,1.0,-0.005969275254756212,0.005327450577169657,1.5637144893407822,0.0,0.0,-0.0009582661441527307,0.02685546875,9.27328109741211,386.4867205416846,7.0,,
4096,0.0,500.0,1.0,-0.0031849711667746305,0.0021757568247267045,1.5812736675143242,0.0,0.0,0.003457761136814952,0.0048828125,10.399665832519531,393.85880911595217,8.0,,
4608,0.0,500.0,1.0,-0.003742954693734646,0.0017898382611747365,1.5800269395112991,0.0,0.0,0.005049837927799672,0.01708984375,11.286893129348755,408.2611527540775,9.0,,
5120,0.0,500.0,1.0,-0.003578691743314266,0.003851748348097317,1.569811835885048,0.0,0.0,0.0012234515161253512,0.0048828125,12.140445947647095,421.73080149434645,10.0,,
5632,0.0,500.0,1.0,-0.007878898875787854,0.00431478663085727,1.4701279178261757,0.0,0.0,0.0071881186158861965,0.1923828125,13.016300916671753,432.68821426726,11.0,,
