method,seed,run,last5_eval_return,final_eval_return,last50_msg_grounding_acc
mappo-no-comm,0,mappo-no-comm__dropout-only__d0__s0,3.0200000000000005,7.633333333333334,0.0
mappo-no-comm,1,mappo-no-comm__dropout-only__d0__s1,1.34,2.0166666666666666,0.0
mappo-no-comm,2,mappo-no-comm__dropout-only__d0__s2,0.41,1.2333333333333334,0.0
mappo-no-comm,3,mappo-no-comm__dropout-only__d0__s3,0.25,0.8333333333333334,0.0
mappo-no-comm,4,mappo-no-comm__dropout-only__d0__s4,0.33333333333333337,1.25,0.0
mappo-no-comm,5,mappo-no-comm__dropout-only__d0__s5,0.4133333333333334,1.25,0.0
mappo-no-comm,6,mappo-no-comm__dropout-only__d0__s6,3.793333333333334,2.45,0.0
mappo-no-comm,7,mappo-no-comm__dropout-only__d0__s7,0.0,0.0,0.0
mappo-comm,0,mappo-comm__dropout-only__d0__s0,1.0,0.8333333333333334,0.0
mappo-comm,1,mappo-comm__dropout-only__d0__s1,0.38666666666666666,0.8333333333333334,0.0
mappo-comm,2,mappo-comm__dropout-only__d0__s2,1.0,5.0,0.0
mappo-comm,3,mappo-comm__dropout-only__d0__s3,0.9166666666666667,0.4166666666666667,0.0
mappo-comm,4,mappo-comm__dropout-only__d0__s4,2.81,5.0,0.0
mappo-comm,5,mappo-comm__dropout-only__d0__s5,2.8933333333333335,0.8333333333333334,0.0
mappo-comm,6,mappo-comm__dropout-only__d0__s6,5.87,9.866666666666667,0.0
mappo-comm,7,mappo-comm__dropout-only__d0__s7,4.023333333333333,1.25,0.0
mappo-intent-aux,0,mappo-intent-aux__dropout-only__d0__s0,8.803333333333333,14.466666666666667,0.6123761954717338
mappo-intent-aux,1,mappo-intent-aux__dropout-only__d0__s1,10.356666666666666,14.4,0.601164017803967
mappo-intent-aux,2,mappo-intent-aux__dropout-only__d0__s2,8.903333333333332,9.5,0.6498481360264122
mappo-intent-aux,3,mappo-intent-aux__dropout-only__d0__s3,11.233333333333333,18.583333333333332,0.5102585112303495
mappo-intent-aux,4,mappo-intent-aux__dropout-only__d0__s4,9.236666666666666,6.55,0.5595887052407488
mappo-intent-aux,5,mappo-intent-aux__dropout-only__d0__s5,8.02,17.733333333333334,0.6564305132068694
mappo-intent-aux,6,mappo-intent-aux__dropout-only__d0__s6,3.9899999999999998,1.25,0.7044839257001877
mappo-intent-aux,7,mappo-intent-aux__dropout-only__d0__s7,6.15,5.7,0.6318765120394528
