step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,eval/ep_return_mean,eval/ep_length_mean,heuristic/deliveries,time/update
500,0.0,500.0,1.0,0.0,500.0,0.0,1.0
1000,0.0,500.0,1.0,0.0,500.0,0.0,2.0
1500,0.0,500.0,1.0,0.0,500.0,0.0,3.0
2000,0.0,500.0,1.0,0.0,500.0,0.0,4.0
2500,0.0,500.0,1.0,0.0,500.0,0.0,5.0
3000,0.0,500.0,1.0,0.0,500.0,0.0,6.0
3500,0.0,500.0,1.0,0.0,500.0,0.0,7.0
4000,0.0,500.0,1.0,0.0,500.0,0.0,8.0
4500,1.0,500.0,1.0,1.0,500.0,1.0,9.0
5000,0.0,500.0,1.0,0.0,500.0,0.0,10.0
5500,0.0,500.0,1.0,0.0,500.0,0.0,11.0
6000,0.0,500.0,1.0,0.0,500.0,0.0,12.0
6500,0.0,500.0,1.0,0.0,500.0,0.0,13.0
7000,0.0,500.0,1.0,0.0,500.0,0.0,14.0
7500,0.0,500.0,1.0,0.0,500.0,0.0,15.0
8000,1.0,500.0,1.0,1.0,500.0,1.0,16.0
8500,0.0,500.0,1.0,0.0,500.0,0.0,17.0
9000,0.0,500.0,1.0,0.0,500.0,0.0,18.0
9500,0.0,500.0,1.0,0.0,500.0,0.0,19.0
10000,0.0,500.0,1.0,0.0,500.0,0.0,20.0
