step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.4985,15.0,0.07729911804199219,6468.379105287833,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,29.0,0.15877318382263184,6298.29279683096,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,36.0,0.24036598205566406,6240.483728902326,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,49.0,0.3244140148162842,6164.961773099109,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,57.0,0.4079439640045166,6128.292659264155,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,72.0,0.49240708351135254,6092.519990994067,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,77.0,0.583402156829834,5999.292184689121,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,85.0,0.6681520938873291,5986.660876459848,8.0,,,
4500,1.0,500.0,1.0,1.0,500.0,1.0,0.4865,92.0,0.7634170055389404,5894.550379871599,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.485,100.0,0.8477048873901367,5898.279076098879,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,108.0,0.935067892074585,5881.92584369189,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,115.0,1.022454023361206,5868.234524889104,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.4805,118.0,1.1102380752563477,5854.600148260261,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,127.0,1.1930840015411377,5867.147653440929,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,132.0,1.2796680927276611,5860.89474499084,15.0,,,
8000,1.0,500.0,1.0,1.0,500.0,1.0,0.476,148.0,1.3764009475708008,5812.2598753794355,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.4745,148.0,1.4630780220031738,5809.66966366033,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,154.0,1.5497469902038574,5807.39956708425,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.4715,160.0,1.6366281509399414,5804.61725196649,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.47,170.0,1.7246038913726807,5798.43293293314,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,171.0,1.8124299049377441,5793.327494428353,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.46699999999999997,176.0,1.899287223815918,5791.646393482052,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.4655,180.0,1.983185052871704,5798.75286138714,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,181.0,2.070573091506958,5795.4969323330815,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.4625,187.0,2.156801223754883,5795.619857001994,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.461,187.0,2.244403123855591,5792.185843008319,26.0,,,
