step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.4985,12.0,0.07967901229858398,6275.178187780896,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,27.0,0.16028881072998047,6238.738658337052,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,37.0,0.24309110641479492,6170.526030847452,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,47.0,0.32499194145202637,6153.998745520371,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,53.0,0.40825891494750977,6123.564993850599,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,60.0,0.49078893661499023,6112.607225197934,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,71.0,0.5796308517456055,6038.325926681551,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,87.0,0.667374849319458,5993.633119496366,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,97.0,0.7521519660949707,5982.833526797969,9.0,,,
5000,1.0,500.0,1.0,1.0,500.0,1.0,0.485,114.0,0.8508408069610596,5876.539957995732,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,122.0,0.9337019920349121,5890.530433605789,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,134.0,1.0193800926208496,5885.930128941269,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.4805,137.0,1.107111930847168,5871.131742773438,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,143.0,1.194911003112793,5858.176869879605,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,153.0,1.2785558700561523,5865.993169051432,15.0,,,
8000,0.0,500.0,0.0,0.0,500.0,1.0,0.476,159.0,1.3660669326782227,5856.2284238267275,16.0,,,
8500,1.0,500.0,1.0,1.0,500.0,1.0,0.4745,169.0,1.4658489227294922,5798.6876193029,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,169.0,1.551745891571045,5799.918690867657,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.4715,170.0,1.6383769512176514,5798.421415132546,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.47,177.0,1.7257637977600098,5794.535737149953,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,184.0,1.8131499290466309,5791.026892917226,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.46699999999999997,190.0,1.8995227813720703,5790.928178315629,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.4655,192.0,1.9839870929718018,5796.4086766180635,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,195.0,2.0683836936950684,5801.631504144463,24.0,,,
