step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.4985,15.0,0.07856917381286621,6363.818985686238,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,36.0,0.16184210777282715,6178.8616928029,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,47.0,0.2492961883544922,6016.939167425384,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,63.0,0.33110809326171875,6040.323509758289,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,70.0,0.41523194313049316,6020.731404121132,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,85.0,0.49933886528015137,6007.9441209064835,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,99.0,0.587684154510498,5955.580005241537,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,106.0,0.6735148429870605,5938.993092208433,8.0,,,
4500,1.0,500.0,1.0,1.0,500.0,1.0,0.4865,116.0,0.7653019428253174,5880.032113059903,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.485,122.0,0.8490211963653564,5889.1344779198735,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,128.0,0.9356629848480225,5878.184868981808,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,133.0,1.0218310356140137,5871.812257487978,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.4805,142.0,1.1097588539123535,5857.128309528546,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,151.0,1.1935300827026367,5864.954810480484,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,153.0,1.2809829711914062,5854.878767845337,15.0,,,
8000,1.0,500.0,1.0,1.0,500.0,1.0,0.476,158.0,1.3826680183410645,5785.915269522514,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.4745,161.0,1.4685990810394287,5787.8287612599925,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,169.0,1.554168939590454,5790.876249509676,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.4715,178.0,1.639540195465088,5794.307468811485,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.47,180.0,1.7269001007080078,5790.7229236364765,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,185.0,1.8146119117736816,5786.36122240421,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.46699999999999997,194.0,1.897968053817749,5795.671838561023,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.4655,198.0,1.9826810359954834,5800.2269609775985,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,213.0,2.0684499740600586,5801.445599598327,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.4625,224.0,2.1531600952148438,5805.420613069991,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.461,235.0,2.236793041229248,5811.892186885445,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,246.0,2.3228719234466553,5811.771137157157,27.0,,,
14000,0.0,500.0,0.0,0.0,500.0,1.0,0.458,250.0,2.4098470211029053,5809.49739854967,28.0,,,
14500,0.0,500.0,0.0,0.0,500.0,1.0,0.4565,254.0,2.4948880672454834,5811.883984041388,29.0,,,
15000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,263.0,2.5799238681793213,5814.125054234896,30.0,,,
15500,1.0,500.0,1.0,1.0,500.0,1.0,0.4535,267.0,2.6808249950408936,5781.8022544077185,31.0,,,
16000,0.0,500.0,0.0,0.0,500.0,1.0,0.452,270.0,2.7673981189727783,5781.6039876253835,32.0,,,
16500,0.0,500.0,0.0,0.0,500.0,1.0,0.4505,279.0,2.8550119400024414,5779.310331005442,33.0,,,
17000,0.0,500.0,0.0,0.0,500.0,1.0,0.449,281.0,2.941472053527832,5779.419178778591,34.0,,,
17500,0.0,500.0,0.0,0.0,500.0,1.0,0.4475,285.0,3.028752088546753,5777.9572207895035,35.0,,,
18000,0.0,500.0,0.0,0.0,500.0,1.0,0.446,288.0,3.11666202545166,5775.409670027175,36.0,,,
