step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.4985,21.0,0.0779111385345459,6417.567621326691,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,42.0,0.15970301628112793,6261.622499600653,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,55.0,0.23900914192199707,6275.910569519301,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,72.0,0.32195520401000977,6212.044331290942,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,84.0,0.4039311408996582,6189.1737151828875,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,93.0,0.48439598083496094,6193.280123482555,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,102.0,0.5702950954437256,6137.173593044456,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,108.0,0.6558022499084473,6099.3996293218215,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,120.0,0.7418680191040039,6065.768956363566,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.485,130.0,0.8276641368865967,6041.097804247474,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,136.0,0.9120650291442871,6030.271772573257,11.0,,,
6000,1.0,500.0,1.0,1.0,500.0,1.0,0.482,156.0,0.9966678619384766,6020.059669958912,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.4805,165.0,1.0798931121826172,6019.114231465536,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,166.0,1.163761854171753,6014.976324328732,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,173.0,1.2494959831237793,6002.420256886112,15.0,,,
