step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,1.0,500.0,1.0,1.0,500.0,1.0,0.4985,25.0,0.1454930305480957,3436.5907295794127,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,39.0,0.27281808853149414,3665.446105068506,2.0,,,
1500,1.0,500.0,1.0,1.0,500.0,1.0,0.4955,62.0,0.43424391746520996,3454.279817563995,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,69.0,0.5781099796295166,3459.5493426384123,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,87.0,0.7167809009552002,3487.81614670318,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,95.0,0.8644378185272217,3470.463618899996,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,107.0,1.0228869915008545,3421.6878590513156,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,113.0,1.1832849979400635,3380.4197695089942,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,124.0,1.342426061630249,3352.1399268241094,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.485,136.0,1.505906105041504,3320.2601299383114,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,138.0,1.6664679050445557,3300.393594950722,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,143.0,1.8210279941558838,3294.8422645096293,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.4805,153.0,1.984816074371338,3274.8626353496165,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,156.0,2.150585889816284,3254.9269634601674,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,160.0,2.3095459938049316,3247.3914873822873,15.0,,,
8000,1.0,500.0,1.0,1.0,500.0,1.0,0.476,174.0,2.558602809906006,3126.7064856752395,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.4745,183.0,2.7322468757629395,3110.9926688548235,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,187.0,2.894991874694824,3108.817015574089,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.4715,190.0,3.0609869956970215,3103.5741129755247,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.47,191.0,3.2348828315734863,3091.3020720246236,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,197.0,3.3912830352783203,3096.173303959654,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.46699999999999997,200.0,3.5582170486450195,3091.435921310319,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.4655,208.0,3.7234010696411133,3088.5740711001213,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,209.0,3.8891868591308594,3085.4778735629366,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.4625,214.0,4.054072856903076,3083.319032788376,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.461,226.0,4.210618019104004,3087.4327571434105,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,229.0,4.373814821243286,3086.5504260563403,27.0,,,
