step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.4985,16.0,0.1329500675201416,3760.8104254949044,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,24.0,0.26732492446899414,3740.7660433697633,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,38.0,0.4063868522644043,3691.064294137318,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,51.0,0.5418438911437988,3691.100024728754,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,60.0,0.6827969551086426,3661.4105866980835,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,73.0,0.8247470855712891,3637.4787525583656,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,76.0,0.9806032180786133,3569.231607110034,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,82.0,1.1373469829559326,3516.956619170091,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,92.0,1.2903099060058594,3487.5342575100444,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.485,95.0,1.4510369300842285,3445.8116787625554,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,100.0,1.6108741760253906,3414.2952204811486,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,105.0,1.7670679092407227,3395.4552446023945,12.0,,,
6500,1.0,500.0,1.0,1.0,500.0,1.0,0.4805,108.0,1.9508180618286133,3331.93552345275,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,113.0,2.1012511253356934,3331.348602553009,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,115.0,2.2607758045196533,3317.4452703387474,15.0,,,
8000,0.0,500.0,0.0,0.0,500.0,1.0,0.476,121.0,2.4199411869049072,3305.8654661900937,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.4745,124.0,2.5808839797973633,3293.4452174279345,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,136.0,2.7338109016418457,3292.107729395207,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.4715,138.0,2.898610830307007,3277.432037675029,19.0,,,
10000,1.0,500.0,1.0,1.0,500.0,1.0,0.47,148.0,3.073617935180664,3253.4948099891963,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,151.0,3.2323830127716064,3248.3774226361797,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.46699999999999997,156.0,3.3919448852539062,3242.9772216586557,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.4655,157.0,3.5571420192718506,3232.93248841216,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,158.0,3.720841884613037,3225.076574638695,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.4625,163.0,3.8771891593933105,3223.9850794269623,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.461,169.0,4.032209873199463,3224.0385319241354,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,172.0,4.187819004058838,3223.635020261331,27.0,,,
14000,0.0,500.0,0.0,0.0,500.0,1.0,0.458,179.0,4.341165065765381,3224.9407216520326,28.0,,,
14500,0.0,500.0,0.0,0.0,500.0,1.0,0.4565,183.0,4.4973790645599365,3224.1000351209686,29.0,,,
15000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,187.0,4.657939910888672,3220.3077512732884,30.0,,,
15500,0.0,500.0,0.0,0.0,500.0,1.0,0.4535,187.0,4.818392992019653,3216.8401426931136,31.0,,,
16000,0.0,500.0,0.0,0.0,500.0,1.0,0.452,188.0,4.978209018707275,3214.0072744785684,32.0,,,
