step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,0.0,500.0,0.0,0.0,500.0,1.0,0.4985,25.0,0.1276381015777588,3917.3255777029362,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,43.0,0.25815296173095703,3873.6723890163394,2.0,,,
1500,0.0,500.0,0.0,0.0,500.0,1.0,0.4955,60.0,0.3937721252441406,3809.309760232502,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,70.0,0.5324270725250244,3756.3829925383793,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,86.0,0.6691188812255859,3736.256844853782,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,98.0,0.811906099319458,3695.008576132891,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,110.0,0.9674291610717773,3617.83595206339,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,115.0,1.1215770244598389,3566.406865303285,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,116.0,1.2743110656738281,3531.3198803782634,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.485,132.0,1.4249191284179688,3508.9710709065307,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,147.0,1.6621689796447754,3308.9295176086207,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,151.0,1.8251419067382812,3287.4156129167104,12.0,,,
6500,1.0,500.0,1.0,1.0,500.0,1.0,0.4805,160.0,1.9884321689605713,3268.9070824064347,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,169.0,2.139699935913086,3271.4867549934525,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,174.0,2.296081066131592,3266.435192828755,15.0,,,
8000,0.0,500.0,0.0,0.0,500.0,1.0,0.476,178.0,2.452152967453003,3262.439214103932,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.4745,185.0,2.6105892658233643,3255.9698728858257,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,192.0,2.758409261703491,3262.750065754178,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.4715,199.0,2.9215240478515625,3251.7274697725434,19.0,,,
10000,1.0,500.0,1.0,1.0,500.0,1.0,0.47,204.0,3.101140022277832,3224.6206002187723,20.0,,,
10500,0.0,500.0,0.0,0.0,500.0,1.0,0.46849999999999997,208.0,3.255561113357544,3225.2504666303375,21.0,,,
11000,0.0,500.0,0.0,0.0,500.0,1.0,0.46699999999999997,213.0,3.4118709564208984,3224.0375267706954,22.0,,,
11500,0.0,500.0,0.0,0.0,500.0,1.0,0.4655,222.0,3.5707602500915527,3220.6026712953203,23.0,,,
12000,0.0,500.0,0.0,0.0,500.0,1.0,0.46399999999999997,225.0,3.72859525680542,3218.3702369136577,24.0,,,
12500,0.0,500.0,0.0,0.0,500.0,1.0,0.4625,235.0,3.8846840858459473,3217.7648745092074,25.0,,,
13000,0.0,500.0,0.0,0.0,500.0,1.0,0.461,242.0,4.037001132965088,3220.212125739927,26.0,,,
13500,0.0,500.0,0.0,0.0,500.0,1.0,0.4595,247.0,4.191350936889648,3220.918554249764,27.0,,,
14000,0.0,500.0,0.0,0.0,500.0,1.0,0.458,259.0,4.343763113021851,3223.011853024494,28.0,,,
14500,0.0,500.0,0.0,0.0,500.0,1.0,0.4565,266.0,4.493707895278931,3226.7339884805674,29.0,,,
15000,0.0,500.0,0.0,0.0,500.0,1.0,0.455,266.0,4.650530099868774,3225.438751686235,30.0,,,
15500,0.0,500.0,0.0,0.0,500.0,1.0,0.4535,272.0,4.80487322807312,3225.8915613921213,31.0,,,
16000,0.0,500.0,0.0,0.0,500.0,1.0,0.452,276.0,4.963163137435913,3223.7505713475252,32.0,,,
16500,0.0,500.0,0.0,0.0,500.0,1.0,0.4505,281.0,5.116024017333984,3225.1607779977408,33.0,,,
