step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
500,1.0,500.0,1.0,1.0,500.0,1.0,0.4985,18.0,0.15722870826721191,3180.0808230914454,1.0,,,
1000,0.0,500.0,0.0,0.0,500.0,1.0,0.497,34.0,0.2871057987213135,3483.036582520144,2.0,,,
1500,1.0,500.0,1.0,1.0,500.0,1.0,0.4955,45.0,0.4436507225036621,3381.038109292425,3.0,,,
2000,0.0,500.0,0.0,0.0,500.0,1.0,0.494,51.0,0.5756618976593018,3474.2615554932468,4.0,,,
2500,0.0,500.0,0.0,0.0,500.0,1.0,0.4925,63.0,0.7072639465332031,3534.7482538227123,5.0,,,
3000,0.0,500.0,0.0,0.0,500.0,1.0,0.491,76.0,0.8388559818267822,3576.2992277492976,6.0,,,
3500,0.0,500.0,0.0,0.0,500.0,1.0,0.4895,91.0,0.9803206920623779,3570.2602508948107,7.0,,,
4000,0.0,500.0,0.0,0.0,500.0,1.0,0.488,106.0,1.1368777751922607,3518.4081237963755,8.0,,,
4500,0.0,500.0,0.0,0.0,500.0,1.0,0.4865,110.0,1.2827978134155273,3507.957335862988,9.0,,,
5000,0.0,500.0,0.0,0.0,500.0,1.0,0.485,114.0,1.431488037109375,3492.868868185985,10.0,,,
5500,0.0,500.0,0.0,0.0,500.0,1.0,0.4835,119.0,1.57877779006958,3483.707482202168,11.0,,,
6000,0.0,500.0,0.0,0.0,500.0,1.0,0.482,126.0,1.7215139865875244,3485.304241932716,12.0,,,
6500,0.0,500.0,0.0,0.0,500.0,1.0,0.4805,134.0,1.8711838722229004,3473.736652228746,13.0,,,
7000,0.0,500.0,0.0,0.0,500.0,1.0,0.479,143.0,2.0202677249908447,3464.8873084539932,14.0,,,
7500,0.0,500.0,0.0,0.0,500.0,1.0,0.4775,149.0,2.1637167930603027,3466.257702512075,15.0,,,
8000,1.0,500.0,1.0,1.0,500.0,1.0,0.476,155.0,2.327840805053711,3436.6611250357446,16.0,,,
8500,0.0,500.0,0.0,0.0,500.0,1.0,0.4745,159.0,2.4713048934936523,3439.47848053004,17.0,,,
9000,0.0,500.0,0.0,0.0,500.0,1.0,0.473,170.0,2.619696855545044,3435.5120062651276,18.0,,,
9500,0.0,500.0,0.0,0.0,500.0,1.0,0.4715,179.0,2.8709640502929688,3308.99301892358,19.0,,,
10000,0.0,500.0,0.0,0.0,500.0,1.0,0.47,186.0,3.016864776611328,3314.6994447767156,20.0,,,
