step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.015975190792232752,0.11050312628503889,3.6856076568365097,0.009203143417835236,0.1728515625,0.47362494468688965,1081.0241431402644,1.0,,
1024,0.0,500.0,1.0,-0.014051275211386383,0.01641025609569624,3.684841588139534,0.006351130083203316,0.1025390625,0.9160749912261963,1117.8124168954143,2.0,,
1536,1.5,500.0,1.0,-0.013981275085825473,0.04916716227307916,3.6758749783039093,0.014852541498839855,0.1748046875,1.4223430156707764,1079.9082802650266,3.0,,
2048,0.0,500.0,1.0,-0.014585131779313087,0.009766653151018545,3.673744857311249,0.008030766155570745,0.14501953125,1.8559749126434326,1103.463191257833,4.0,,
2560,0.0,500.0,1.0,-0.006988725974224508,0.011027090018615127,3.6675330698490143,-0.0004636012017726898,0.09375,2.2877368927001953,1119.009798796598,5.0,,
3072,0.5,500.0,1.0,-0.009299455443397164,0.011047792271710932,3.6641030311584473,0.007176519837230444,0.10986328125,2.731657028198242,1124.5921315481698,6.0,,
3584,1.0,500.0,1.0,-0.011582544655539095,0.008536502515198663,3.659025624394417,-1.708976924419403e-05,0.1416015625,3.169063091278076,1130.933621947735,7.0,,
4096,0.5,500.0,1.0,-0.005786546913441271,0.00875375367468223,3.6622978895902634,0.0018392512574791908,0.02197265625,3.6120221614837646,1133.9908275417183,8.0,,
4608,1.5,500.0,1.0,-0.014861732139252126,0.0031580660652252845,3.6341158747673035,0.012365616392344236,0.16259765625,4.065267086029053,1133.5048601938447,9.0,,
5120,0.0,500.0,1.0,-0.009887527790851891,0.0020781629282282665,3.637798935174942,0.007126695942133665,0.12646484375,4.514786243438721,1134.0514752920647,10.0,,
5632,0.0,500.0,1.0,-0.013682688411790878,0.0028615194823942147,3.6509227454662323,0.005897906143218279,0.12890625,4.95660400390625,1136.2618428991861,11.0,,
6144,0.0,500.0,1.0,-0.016753826406784356,0.0023827800250728615,3.6348203122615814,0.017734466586261988,0.154296875,5.431633949279785,1131.1513362962671,12.0,,
6656,0.0,500.0,1.0,-0.0182176431408152,0.0018775068092509173,3.6334793865680695,0.00941385980695486,0.16455078125,5.883694887161255,1131.2619242925025,13.0,,
7168,0.0,500.0,1.0,-0.014637010404840112,0.0019671453410410322,3.622688442468643,0.01105643343180418,0.1435546875,6.33110785484314,1132.1873145024151,14.0,,
7680,0.0,500.0,1.0,-0.021852021222002804,0.0019098371340078302,3.6107457727193832,0.01393338292837143,0.22412109375,6.773245096206665,1133.8730388335068,15.0,,
8192,0.0,500.0,1.0,-0.013085794576909393,0.002870926291507203,3.625967726111412,-0.0036758892238140106,0.10009765625,7.208369970321655,1136.4566516047528,16.0,,
8704,1.5,500.0,1.0,-0.017027745838277042,0.007379576418315992,3.6174674332141876,0.00909323338419199,0.138671875,7.6583709716796875,1136.5341313690603,17.0,,
9216,0.0,500.0,1.0,-0.019264450762420893,0.017093333270167932,3.6236814111471176,0.018848709296435118,0.18798828125,8.092124938964844,1138.885035699773,18.0,,
9728,1.5,500.0,1.0,-0.015892634924966842,0.011661322409054264,3.6051013618707657,0.017946377862244844,0.1865234375,8.53600287437439,1139.643477534908,19.0,,
10240,2.0,500.0,1.0,-0.015192669350653887,0.018383917515166104,3.6251646131277084,0.01095435256138444,0.1142578125,8.981268167495728,1140.1507904039402,20.0,,
10752,3.0,500.0,1.0,-0.0166488848044537,0.0017858208302641287,3.624549612402916,0.009772812947630882,0.1494140625,9.422370195388794,1141.114154617053,21.0,,
11264,0.0,500.0,1.0,-0.017379235243424773,0.0013799250991723966,3.6263015270233154,0.018278650473803282,0.14453125,9.872973918914795,1140.8923078810383,22.0,,
11776,0.0,500.0,1.0,-0.01387786801205948,0.0015413513319799677,3.6282626688480377,0.0101466691121459,0.13525390625,10.313402891159058,1141.815182076783,23.0,,
12288,1.5,500.0,1.0,-0.01285490085138008,0.009932934743119404,3.591177463531494,0.008000580593943596,0.12158203125,10.768288135528564,1141.128454712996,24.0,,
12800,0.0,500.0,1.0,-0.018592013511806726,0.0014433451651711948,3.5953342020511627,0.0119139333255589,0.193359375,11.210028171539307,1141.8347754466317,25.0,0.0,500.0
13312,4.0,500.0,1.0,-0.011412329215090722,0.030564720276743174,3.6364415735006332,0.008529635611921549,0.0966796875,21.249895095825195,626.45015139935,26.0,,
13824,1.5,500.0,1.0,-0.015502593421842903,0.011059308628318831,3.589516192674637,0.011273224838078022,0.13671875,21.674135208129883,637.8109145879404,27.0,,
14336,2.0,500.0,1.0,-0.012586345779709518,0.014028054167283699,3.5927729308605194,0.012888126540929079,0.10693359375,22.107481956481934,648.4682438379949,28.0,,
