step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.016639416804537177,0.10858217044733465,3.686421439051628,0.015656958799809217,0.123046875,0.37883996963500977,1351.4941427465592,1.0,,
1024,4.0,500.0,1.0,-0.011567397858016193,0.049228485906496644,3.684060975909233,0.014215399045497179,0.1259765625,0.716027021408081,1430.1136261398126,2.0,,
1536,2.0,500.0,1.0,-0.009528794442303479,0.02393942920025438,3.682939261198044,0.006453110370784998,0.08154296875,1.1040802001953125,1391.2032837182305,3.0,,
2048,0.0,500.0,1.0,-0.01602496183477342,0.0119678704359103,3.664285182952881,0.012493201531469822,0.18896484375,1.4439799785614014,1418.302213608507,4.0,,
2560,1.0,500.0,1.0,-0.01118013565428555,0.01985737035283819,3.6587468087673187,0.015837081242352724,0.1787109375,1.8151421546936035,1410.357857306294,5.0,,
3072,0.0,500.0,1.0,-0.010754394228570163,0.008690978196682408,3.658064678311348,0.0034424434415996075,0.11962890625,2.1840670108795166,1406.5502499224672,6.0,,
3584,1.5,500.0,1.0,-0.00828637572703883,0.01863861852325499,3.654265344142914,0.004591712262481451,0.083984375,2.5486769676208496,1406.2197938507713,7.0,,
4096,0.0,500.0,1.0,-0.014174286974593997,0.0039752596712787636,3.6637738943099976,0.008449462242424488,0.1005859375,2.9157190322875977,1404.7992809466227,8.0,,
4608,0.0,500.0,1.0,-0.006204253761097789,0.018364749907050282,3.6336618661880493,0.014672871213406324,0.072265625,3.294365167617798,1398.7520403914755,9.0,,
5120,0.0,500.0,1.0,-0.014913443708792329,0.008736656833207235,3.638594150543213,0.011201237794011831,0.126953125,3.7264461517333984,1373.9632323999567,10.0,,
5632,0.0,500.0,1.0,-0.009589216439053416,0.031465238775126636,3.648567169904709,0.002941625192761421,0.05224609375,4.09799599647522,1374.3302835933007,11.0,,
6144,4.5,500.0,1.0,-0.011608852073550224,0.009921118093188852,3.6348442137241364,0.007392472587525845,0.06494140625,4.484238147735596,1370.1324054572199,12.0,,
6656,1.5,500.0,1.0,-0.02069012983702123,0.011197411338798702,3.6391617208719254,0.016927999444305897,0.16943359375,4.863971948623657,1368.4289445549593,13.0,,
7168,0.0,500.0,1.0,-0.014337676926515996,0.0028612359092221595,3.647143840789795,0.008104514330625534,0.11181640625,5.251874923706055,1364.8459082003055,14.0,,
7680,0.0,500.0,1.0,-0.014420892344787717,0.0029354217695072293,3.655071035027504,0.004603223875164986,0.11376953125,5.616450071334839,1367.4117819006492,15.0,,
8192,0.5,500.0,1.0,-0.013026938191615045,0.0036698611947940663,3.6633769869804382,0.006807329598814249,0.06298828125,5.980947256088257,1369.682702294527,16.0,,
8704,0.0,500.0,1.0,-0.010716521763242781,0.0034527239622548223,3.6499807238578796,0.00859355041757226,0.07763671875,6.360843896865845,1368.371892334709,17.0,,
9216,0.0,500.0,1.0,-0.015172328858170658,0.007405077660223469,3.6471566557884216,0.006972216535359621,0.08447265625,6.735910177230835,1368.1892658177846,18.0,,
9728,1.5,500.0,1.0,-0.01814994541928172,0.0019676419797178824,3.643030732870102,0.011085954494774342,0.0771484375,7.115297079086304,1367.1951981587817,19.0,,
