machine,phase,env,method,regime,delay,seed,run_name,train_last50_mean,eval_last10_mean,entropy_last100_mean,q_table_size_final,updates,eval_points_used,metrics_path
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,0,mappo-heartbeat-only__delay-dropout__d30__s0,153.91,36.575,0.450509748486802,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s0/metrics.csv
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,1,mappo-heartbeat-only__delay-dropout__d30__s1,176.53,44.239999999999995,0.5585899549257011,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s1/metrics.csv
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,2,mappo-heartbeat-only__delay-dropout__d30__s2,25.51,6.511666666666666,0.841392866615206,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s2/metrics.csv
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,3,mappo-heartbeat-only__delay-dropout__d30__s3,49.69,10.695,0.49298735650256276,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s3/metrics.csv
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,0,mappo-heartbeat-only__delay-only__d30__s0,168.31,32.18,0.8168017761223019,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-only__d30__s0/metrics.csv
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,1,mappo-heartbeat-only__delay-only__d30__s1,68.52,10.383333333333333,0.7615791740082204,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-only__d30__s1/metrics.csv
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,2,mappo-heartbeat-only__delay-only__d30__s2,132.8,51.473333333333336,0.6630111573264003,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-only__d30__s2/metrics.csv
pk,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,3,mappo-heartbeat-only__delay-only__d30__s3,119.44,25.618333333333332,1.0281454386375843,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-only__d30__s3/metrics.csv
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-dropout,30,0,mappo-heartbeat-only__delay-dropout__d30__s0,219.02,57.111666666666665,0.5376193142309785,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s0/metrics.csv
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-dropout,30,1,mappo-heartbeat-only__delay-dropout__d30__s1,164.35,66.81833333333333,0.5875937016122044,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s1/metrics.csv
