step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,2.5,500.0,1.0,-0.010237870970740914,0.11207951267715544,1.6070062890648842,0.01199610996991396,0.0947265625,1.2200877666473389,419.6419421587328,1.0,,
1024,1.0,500.0,1.0,-0.008149352390319109,0.02534197916975245,1.6058843210339546,0.009990408085286617,0.0830078125,1.974250078201294,518.6779584341965,2.0,,
1536,0.5,500.0,1.0,-0.005281291552819312,0.006518913418403827,1.60487412661314,0.0013352232053875923,0.01904296875,3.050513982772827,503.52170443218927,3.0,,
2048,0.5,500.0,1.0,-0.004499602655414492,0.005440361666842364,1.6052432134747505,0.00018492783419787884,0.0244140625,4.628459692001343,442.47981753827185,4.0,,
2560,0.5,500.0,1.0,-0.009190090233460069,0.005175390237127431,1.5953214541077614,0.01271205977536738,0.1171875,6.661996841430664,384.26917048045914,5.0,,
3072,0.5,500.0,1.0,-0.0034521111520007253,0.002314120123628527,1.5956491976976395,0.0028201101813465357,0.0224609375,8.563945055007935,358.7131842004974,6.0,,
3584,0.0,500.0,1.0,-0.005470011034049094,0.002344412394450046,1.5862337425351143,0.009474362712353468,0.0546875,10.694538116455078,335.1243373928887,7.0,,
4096,0.5,500.0,1.0,-0.005558737553656101,0.003574558941181749,1.588103987276554,0.009345306549221277,0.12109375,12.973649978637695,315.71685737972274,8.0,,
4608,0.5,500.0,1.0,-0.009030990186147392,0.0023364610169664957,1.5846366360783577,0.008936558151617646,0.078125,15.92149305343628,289.420092985907,9.0,,
5120,0.5,500.0,1.0,-0.009148335899226367,0.003852104549878277,1.5942270830273628,0.01036818791180849,0.08349609375,18.50721001625061,276.64893819783134,10.0,,
5632,0.0,500.0,1.0,-0.005400699097663164,0.002453275832522195,1.595902606844902,-0.0012347344309091568,0.0107421875,20.280104875564575,277.71059541146536,11.0,,
6144,0.5,500.0,1.0,-0.007998422777745873,0.0014623541683249641,1.5967987105250359,0.00449148565530777,0.03515625,23.321396112442017,263.4490649863866,12.0,,
6656,0.0,500.0,1.0,-0.005117155029438436,0.0016652068588882685,1.5924624502658844,0.011076564667746425,0.060546875,26.360942840576172,252.49476243143812,13.0,,
7168,0.0,500.0,1.0,-0.008377088059205562,0.001006556980428286,1.5908856838941574,0.009775153128430247,0.10205078125,29.069230794906616,246.58375209762846,14.0,,
7680,0.5,500.0,1.0,-0.005606573075056076,0.0049568632239243016,1.5930577367544174,0.0037520488258451223,0.02880859375,31.491827964782715,243.87279165212442,15.0,,
8192,1.0,500.0,1.0,-0.006388857727870345,0.0018439617633703165,1.5876642987132072,0.006961599923670292,0.04736328125,35.20722007751465,232.679546467001,16.0,,
8704,0.0,500.0,1.0,-0.006364324828609824,0.0016903717441891786,1.5884896591305733,-0.0007090666331350803,0.05078125,37.558720111846924,231.74378610560132,17.0,,
9216,0.0,500.0,1.0,-0.007865284569561481,0.0017502550253993832,1.5827893391251564,0.007155360421165824,0.0810546875,39.6503119468689,232.4319670510882,18.0,,
9728,0.0,500.0,1.0,-0.009595705196261406,0.0009899682081595529,1.5737158581614494,0.003269253531470895,0.0810546875,43.04069995880127,226.0186290955231,19.0,,
