step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.5,500.0,1.0,-0.01448487036395818,0.12344057788141072,3.685472324490547,0.003972620237618685,0.181640625,0.21422505378723145,2390.0099028964137,1.0,,
1024,0.0,500.0,1.0,-0.013706855475902557,0.0086494151619263,3.685780256986618,0.0052444227039813995,0.0732421875,0.46317505836486816,2210.8271624447866,2.0,,
1536,2.5,500.0,1.0,-0.009407290606759489,0.030087844119407237,3.673693433403969,0.0032694810070097446,0.11767578125,0.7127158641815186,2155.136537845891,3.0,,
2048,1.5,500.0,1.0,-0.006256997585296631,0.006715251482091844,3.6725290417671204,-0.00023403624072670937,0.03857421875,0.9263761043548584,2210.7651421193086,4.0,,
2560,0.0,500.0,1.0,-0.017735679168254137,0.0091691947018262,3.672520026564598,0.007651859894394875,0.1650390625,1.14621901512146,2233.430056758156,5.0,,
3072,0.0,500.0,1.0,-0.011658838659059256,0.00621506389870774,3.66969658434391,0.008706359658390284,0.126953125,1.3568730354309082,2264.0290725686145,6.0,,
3584,0.0,500.0,1.0,-0.009302725491579622,0.006331824755761772,3.6713359653949738,0.00819370336830616,0.07861328125,1.5836598873138428,2263.1121926558835,7.0,,
4096,0.0,500.0,1.0,-0.012052537058480084,0.021117279189638793,3.674357831478119,0.0015438585542142391,0.10546875,1.799962043762207,2275.6035407495083,8.0,,
4608,2.5,500.0,1.0,-0.016809675958938897,0.005656793873640709,3.6690409034490585,0.008068064227700233,0.1669921875,2.017353057861328,2284.1812354279296,9.0,,
5120,0.0,500.0,1.0,-0.01778373622801155,0.0027863184877787717,3.6754172891378403,0.0021281717345118523,0.13916015625,2.2479050159454346,2277.6763091329312,10.0,,
5632,0.0,500.0,1.0,-0.011634102673269808,0.004117721735383384,3.670931965112686,0.009475838858634233,0.0791015625,2.515467882156372,2238.947290860258,11.0,,
6144,0.5,500.0,1.0,-0.011587677290663123,0.0029031435697106645,3.6717607975006104,0.006776181049644947,0.078125,2.7630770206451416,2223.607939298579,12.0,,
6656,0.0,500.0,1.0,-0.01795446575852111,0.0023279261731659062,3.67055207490921,0.011688788421452045,0.1806640625,3.006757974624634,2213.6800022392695,13.0,,
7168,0.0,500.0,1.0,-0.011163242685142905,0.0063636403501732275,3.6675999760627747,0.003038791473954916,0.04345703125,3.2407689094543457,2211.820774720679,14.0,,
7680,1.0,500.0,1.0,-0.012684078887104988,0.004118321412533987,3.669176697731018,0.005509595852345228,0.08056640625,3.4789810180664062,2207.542944361476,15.0,,
8192,0.5,500.0,1.0,-0.0159081012243405,0.0019123684760415927,3.6609141677618027,0.00703256344422698,0.0908203125,3.7236762046813965,2199.976461353175,16.0,,
8704,0.0,500.0,1.0,-0.014700631727464497,0.0017649009532760829,3.663575991988182,0.006948909256607294,0.091796875,3.978261947631836,2187.8901174874327,17.0,,
9216,1.5,500.0,1.0,-0.016894919564947486,0.021520284586586058,3.6651361137628555,0.014560363721102476,0.09716796875,4.206697225570679,2190.7923260984776,18.0,,
9728,2.0,500.0,1.0,-0.01428165752440691,0.007138630797271617,3.6669062972068787,0.005272041540592909,0.1103515625,4.453859090805054,2184.173275729211,19.0,,
10240,0.5,500.0,1.0,-0.015714452019892633,0.003111403108050581,3.6618780940771103,0.003339023794978857,0.08642578125,4.712043046951294,2173.15501958865,20.0,,
10752,0.5,500.0,1.0,-0.015558694489300251,0.002897174912504852,3.6584667712450027,0.01801061863079667,0.07763671875,4.958033084869385,2168.6019064318634,21.0,,
11264,0.0,500.0,1.0,-0.010673558979760855,0.0036428108433028683,3.6558625549077988,0.0038076844066381454,0.0341796875,5.210145950317383,2161.935597852847,22.0,,
11776,4.0,500.0,1.0,-0.018557352828793228,0.04111775243654847,3.6430230289697647,0.0053648618049919605,0.134765625,5.450943946838379,2160.359767931615,23.0,,
12288,0.0,500.0,1.0,-0.022466271417215466,0.0016159068181877956,3.6360719799995422,0.011528889182955027,0.12939453125,5.694697856903076,2157.7966573072117,24.0,,
12800,0.0,500.0,1.0,-0.014255828980822116,0.001055707412888296,3.630536139011383,0.0071871522814035416,0.068359375,5.9271180629730225,2159.565553445305,25.0,0.0,500.0
13312,0.0,500.0,1.0,-0.014263453311286867,0.0013157407411199529,3.6231888979673386,0.013211171142756939,0.103515625,10.836201190948486,1228.4747916197382,26.0,,
13824,7.0,500.0,1.0,-0.012670892872847617,0.08735930640250444,3.630852520465851,0.01482733292505145,0.1220703125,11.04557991027832,1251.5413506842006,27.0,,
14336,0.5,500.0,1.0,-0.013637286727316678,0.0024266157633974217,3.616677686572075,0.007419465575367212,0.125,11.269453048706055,1272.1114270622072,28.0,,
14848,0.0,500.0,1.0,-0.013866149354726076,0.009153116043307818,3.6110008656978607,0.0057959482073783875,0.1416015625,11.48774790763855,1292.5074713841097,29.0,,
15360,5.0,500.0,1.0,-0.015628433815436438,0.019561944995075464,3.6134190261363983,0.009380074217915535,0.14501953125,11.699655055999756,1312.8592190522031,30.0,,
15872,2.0,500.0,1.0,-0.009628199972212315,0.01388888168730773,3.573349803686142,0.006010401528328657,0.1376953125,11.926723003387451,1330.793043109327,31.0,,
16384,0.5,500.0,1.0,-0.013417138485237956,0.0032355039584217593,3.615297481417656,0.009571023285388947,0.146484375,12.14554214477539,1348.972306439845,32.0,,
16896,1.5,500.0,1.0,-0.016443496337160468,0.004334392710006796,3.5848430544137955,0.004276976455003023,0.14794921875,12.415939092636108,1360.8314179006416,33.0,,
17408,0.5,500.0,1.0,-0.017711064836475998,0.0013789546537736896,3.6006108075380325,0.009425646159797907,0.1259765625,12.678484201431274,1373.0347984370885,34.0,,
17920,1.5,500.0,1.0,-0.011977140791714191,0.019290449155960232,3.598261684179306,0.0027942038141191006,0.09521484375,12.950545072555542,1383.7255420218255,35.0,,
18432,7.0,500.0,1.0,-0.023788521881215274,0.06197772664017975,3.61392879486084,0.014385362155735493,0.2236328125,13.185996055603027,1397.8466186608503,36.0,,
18944,0.5,500.0,1.0,-0.013531489064916968,0.0023498499067500234,3.591530993580818,0.018386611714959145,0.1552734375,13.428797006607056,1410.6997068076485,37.0,,
19456,1.5,500.0,1.0,-0.012611464539077133,0.014293388871010393,3.6165542751550674,0.00451655313372612,0.0966796875,13.66537594795227,1423.744218534686,38.0,,
19968,0.5,500.0,1.0,-0.013550495263189077,0.002231386650237255,3.5982309728860855,0.004391109570860863,0.05419921875,13.903721809387207,1436.162221436166,39.0,,
20480,0.5,500.0,1.0,-0.012238710303790867,0.006212414198671468,3.61037378013134,0.007913033477962017,0.11572265625,14.134920120239258,1448.8939325999772,40.0,,
20992,1.5,500.0,1.0,-0.017029829206876457,0.029276906163431704,3.582979664206505,0.004631807561963797,0.12939453125,14.367530822753906,1461.07220920347,41.0,,
21504,4.0,500.0,1.0,-0.012838699505664408,0.004389547146274708,3.5697020143270493,0.004499275237321854,0.11962890625,14.60122299194336,1472.75334483046,42.0,,
22016,1.0,500.0,1.0,-0.014349470031447709,0.056955428794026375,3.577929899096489,0.017248892225325108,0.1318359375,14.841021060943604,1483.455882825909,43.0,,
22528,4.0,500.0,1.0,-0.0161495121428743,0.0014523973295581527,3.5689783841371536,0.0024258876219391823,0.10791015625,15.146185159683228,1487.371226648279,44.0,,
23040,1.5,500.0,1.0,-0.01975892682094127,0.012866813543951139,3.581964984536171,0.008646543603390455,0.0947265625,15.386125087738037,1497.4530538791546,45.0,,
23552,2.0,500.0,1.0,-0.019427087041549385,0.007628333696629852,3.5860041975975037,0.019719212781637907,0.14697265625,15.632061004638672,1506.6471396837026,46.0,,
24064,1.0,500.0,1.0,-0.015663318437873386,0.013150177721399814,3.5497976392507553,0.0021973205730319023,0.11572265625,15.896992921829224,1513.7454057085295,47.0,,
24576,1.5,500.0,1.0,-0.013804333575535566,0.003739815467270091,3.500818282365799,0.004231021273881197,0.13623046875,16.14803695678711,1521.9187363619806,48.0,,
25088,1.0,500.0,1.0,-0.013037439901381731,0.0023587969699292444,3.5102780908346176,0.0038609993644058704,0.1474609375,16.381076097488403,1531.5233169478145,49.0,,
25600,0.0,500.0,1.0,-0.01659277523867786,0.0011782059518736787,3.4977578222751617,0.009412707760930061,0.1962890625,16.616353034973145,1540.6509446518494,50.0,8.333333333333334,500.0
26112,1.0,500.0,1.0,-0.012579564994666725,0.002860505221178755,3.527800753712654,0.00109943188726902,0.11669921875,21.623883962631226,1207.5536497108844,51.0,,
26624,0.0,500.0,1.0,-0.011007064254954457,0.0006151690813567257,3.475530281662941,0.0028939321637153625,0.060546875,21.864145040512085,1217.7013988275498,52.0,,
27136,0.0,500.0,1.0,-0.015414149907883257,0.0009720500420371536,3.4400093406438828,0.010786294471472502,0.14453125,22.10123109817505,1227.80490731309,53.0,,
27648,2.5,500.0,1.0,-0.01871961762662977,0.012268547608982772,3.435921013355255,0.00567993801087141,0.197265625,22.345454931259155,1237.2985953990622,54.0,,
28160,0.0,500.0,1.0,-0.015258151572197676,0.0007563350445707329,3.4291022270917892,0.0061021167784929276,0.193359375,22.588233947753906,1246.666740973795,55.0,,
28672,0.0,500.0,1.0,-0.01517652056645602,0.000603736787525122,3.4078530222177505,0.0058295545168221,0.1083984375,22.808151960372925,1257.0943954518968,56.0,,
29184,1.0,500.0,1.0,-0.027195170696359128,0.018146825779695064,3.4499779492616653,0.017207219265401363,0.22265625,23.0290310382843,1267.2699928834807,57.0,,
29696,5.0,500.0,1.0,-0.014255946385674179,0.05228015943430364,3.5305588245391846,0.010375774931162596,0.09765625,23.25364398956299,1277.047159289467,58.0,,
30208,0.5,500.0,1.0,-0.01278516772435978,0.002074916090350598,3.52117457985878,0.0081594861112535,0.06884765625,23.56338405609131,1281.9890355346056,59.0,,
30720,0.5,500.0,1.0,-0.01372489903587848,0.006404693020158447,3.508232221007347,-0.00047159986570477486,0.060546875,23.83372211456299,1288.9300232811445,60.0,,
31232,1.0,500.0,1.0,-0.019504877040162683,0.0007648447499377653,3.5077858567237854,0.005676766391843557,0.13720703125,24.087764263153076,1296.5918986418935,61.0,,
